lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92611,40.64528,0.00000,3.650116E-01,3.372580E-01,3.102551E-01,2.851199E-01,2.623202E-01,2.392340E-01,2.167364E-01,1.954282E-01,1.752109E-01,1.563256E-01,1.388017E-01,1.227456E-01,1.086148E-01,9.570615E-02,8.298624E-02,7.219612E-02,6.321531E-02,5.506970E-02,4.757514E-02,4.112928E-02,3.535160E-02,2.992612E-02,2.520106E-02,2.110823E-02,1.763720E-02,1.470347E-02,1.252414E-02,1.064142E-02,8.578771E-03,6.798796E-03
22.92631,40.64517,0.00000,3.650215E-01,3.372678E-01,3.102647E-01,2.851313E-01,2.623313E-01,2.392434E-01,2.167452E-01,1.954366E-01,1.752189E-01,1.563330E-01,1.388087E-01,1.227530E-01,1.086213E-01,9.571040E-02,8.299128E-02,7.219964E-02,6.321931E-02,5.507338E-02,4.757960E-02,4.113346E-02,3.535409E-02,2.992829E-02,2.520296E-02,2.110987E-02,1.763908E-02,1.470650E-02,1.252698E-02,1.064410E-02,8.579503E-03,6.799391E-03
22.92651,40.64507,0.00000,3.650307E-01,3.372771E-01,3.102738E-01,2.851246E-01,2.623271E-01,2.392521E-01,2.167540E-01,1.954443E-01,1.752263E-01,1.563401E-01,1.388153E-01,1.227579E-01,1.086266E-01,9.571429E-02,8.299590E-02,7.220280E-02,6.322180E-02,5.507693E-02,4.758254E-02,4.113634E-02,3.535645E-02,2.993037E-02,2.520478E-02,2.111143E-02,1.764092E-02,1.470859E-02,1.252895E-02,1.064605E-02,8.580210E-03,6.799966E-03
22.92671,40.64496,0.00000,3.650405E-01,3.372868E-01,3.102835E-01,2.851339E-01,2.623363E-01,2.392614E-01,2.167623E-01,1.954526E-01,1.752342E-01,1.563476E-01,1.388224E-01,1.227653E-01,1.086328E-01,9.571854E-02,8.300097E-02,7.220627E-02,6.322572E-02,5.508062E-02,4.758678E-02,4.114047E-02,3.535893E-02,2.993253E-02,2.520666E-02,2.111308E-02,1.764280E-02,1.471165E-02,1.253185E-02,1.064875E-02,8.580935E-03,6.800563E-03
22.92691,40.64486,0.00000,3.650495E-01,3.372960E-01,3.102926E-01,2.851452E-01,2.623472E-01,2.392697E-01,2.167709E-01,1.954604E-01,1.752418E-01,1.563547E-01,1.388289E-01,1.227727E-01,1.086386E-01,9.572242E-02,8.300561E-02,7.220953E-02,6.322964E-02,5.508414E-02,4.759116E-02,4.114456E-02,3.536131E-02,2.993461E-02,2.520848E-02,2.111467E-02,1.764464E-02,1.471463E-02,1.253465E-02,1.065140E-02,8.581627E-03,6.801158E-03
22.92712,40.64475,0.00000,3.650595E-01,3.373060E-01,3.103024E-01,2.851570E-01,2.623585E-01,2.392794E-01,2.167798E-01,1.954690E-01,1.752498E-01,1.563622E-01,1.388362E-01,1.227809E-01,1.086448E-01,9.572667E-02,8.301090E-02,7.221305E-02,6.323384E-02,5.508795E-02,4.759561E-02,4.114890E-02,3.536387E-02,2.993683E-02,2.521043E-02,2.111636E-02,1.764661E-02,1.471780E-02,1.253767E-02,1.065423E-02,8.582380E-03,6.801790E-03
22.92732,40.64465,0.00000,3.650685E-01,3.373150E-01,3.103114E-01,2.851686E-01,2.623694E-01,2.392878E-01,2.167883E-01,1.954767E-01,1.752572E-01,1.563693E-01,1.388428E-01,1.227884E-01,1.086505E-01,9.573061E-02,8.301579E-02,7.221639E-02,6.323767E-02,5.509145E-02,4.759998E-02,4.115298E-02,3.536624E-02,2.993892E-02,2.521225E-02,2.111794E-02,1.764845E-02,1.472084E-02,1.254051E-02,1.065691E-02,8.583097E-03,6.802366E-03
22.92752,40.64454,0.00000,3.650784E-01,3.373248E-01,3.103212E-01,2.851561E-01,2.623577E-01,2.392973E-01,2.167971E-01,1.954851E-01,1.752651E-01,1.563767E-01,1.388498E-01,1.227888E-01,1.086565E-01,9.573485E-02,8.302093E-02,7.221995E-02,6.323949E-02,5.509517E-02,4.760290E-02,4.115609E-02,3.536873E-02,2.994110E-02,2.521414E-02,2.111961E-02,1.765035E-02,1.472395E-02,1.254345E-02,1.065968E-02,8.583813E-03,6.802974E-03
22.92772,40.64443,0.00000,3.650883E-01,3.373348E-01,3.103311E-01,2.851681E-01,2.623684E-01,2.393068E-01,2.168060E-01,1.954934E-01,1.752731E-01,1.563842E-01,1.388569E-01,1.227967E-01,1.086623E-01,9.573905E-02,8.302575E-02,7.222329E-02,6.324347E-02,5.509892E-02,4.760725E-02,4.116021E-02,3.537119E-02,2.994327E-02,2.521606E-02,2.112127E-02,1.765224E-02,1.472708E-02,1.254640E-02,1.066247E-02,8.584565E-03,6.803598E-03
22.92792,40.64433,0.00000,3.650973E-01,3.373438E-01,3.103399E-01,2.851792E-01,2.623797E-01,2.393149E-01,2.168142E-01,1.955011E-01,1.752805E-01,1.563913E-01,1.388635E-01,1.228043E-01,1.086852E-01,9.583323E-02,8.303060E-02,7.265981E-02,6.338447E-02,5.510240E-02,4.761168E-02,4.116438E-02,3.537360E-02,2.994535E-02,2.521788E-02,2.112286E-02,1.765409E-02,1.473013E-02,1.254929E-02,1.066520E-02,8.585267E-03,6.804193E-03
