lon,lat,PGV,PGA
22.92611,40.64528,1.000000E+01,3.474917E-01
22.92631,40.64517,1.000000E+01,3.475156E-01
22.92651,40.64507,1.000000E+01,3.475399E-01
22.92671,40.64496,1.000000E+01,3.475641E-01
22.92691,40.64486,1.000000E+01,3.475887E-01
22.92712,40.64475,1.000000E+01,3.476145E-01
22.92732,40.64465,1.000000E+01,3.476395E-01
22.92752,40.64454,1.000000E+01,3.476640E-01
22.92772,40.64443,1.000000E+01,3.476887E-01
22.92792,40.64433,1.000000E+01,3.477139E-01
22.92812,40.64422,1.000000E+01,3.477388E-01
22.92833,40.64412,1.000000E+01,3.477657E-01
22.92853,40.64401,1.000000E+01,3.477908E-01
22.92873,40.64391,1.000000E+01,3.478165E-01
22.92893,40.64380,1.000000E+01,3.478418E-01
22.92913,40.64370,1.000000E+01,3.478684E-01
22.92933,40.64359,1.000000E+01,3.478948E-01
22.92953,40.64349,1.000000E+01,3.479216E-01
22.92974,40.64338,1.000000E+01,3.479497E-01
22.92994,40.64328,1.000000E+01,3.479767E-01
22.93014,40.64317,1.000000E+01,3.480037E-01
22.93034,40.64307,1.000000E+01,3.480313E-01
22.93054,40.64296,1.000000E+01,3.480588E-01
22.93074,40.64286,1.000000E+01,3.480867E-01
22.93094,40.64275,1.000000E+01,3.481144E-01
22.93115,40.64265,1.000000E+01,3.481442E-01
22.93135,40.64254,1.000000E+01,3.481714E-01
22.93155,40.64244,1.000000E+01,3.481998E-01
22.93175,40.64233,1.000000E+01,3.482278E-01
22.93195,40.64222,1.000000E+01,3.482561E-01
22.93215,40.64212,1.000000E+01,3.482849E-01
22.93235,40.64201,1.000000E+01,3.483133E-01
22.93256,40.64191,1.000000E+01,3.483440E-01
22.93276,40.64180,1.000000E+01,3.483726E-01
22.93296,40.64170,1.000000E+01,3.484019E-01
22.93316,40.64159,1.000000E+01,3.521272E-01
22.93336,40.64149,1.000000E+01,3.463720E-01
22.93356,40.64139,1.000000E+01,3.464012E-01
22.93377,40.64128,1.000000E+01,3.464319E-01
22.93397,40.64118,1.000000E+01,3.464614E-01
22.93417,40.64107,1.000000E+01,3.464907E-01
22.93437,40.64097,1.000000E+01,3.465205E-01
22.93457,40.64086,1.000000E+01,3.465501E-01
22.93477,40.64076,1.000000E+01,3.465802E-01
22.93497,40.64065,1.000000E+01,3.466101E-01
22.93518,40.64055,1.000000E+01,3.466422E-01
22.93538,40.64044,1.000000E+01,3.466722E-01
22.93558,40.64034,1.000000E+01,3.467027E-01
22.93578,40.64023,1.000000E+01,3.467331E-01
22.93598,40.64013,1.000000E+01,3.467638E-01
22.93618,40.64002,1.000000E+01,3.467944E-01
22.93639,40.63992,1.000000E+01,3.468271E-01
22.93659,40.63981,1.000000E+01,3.468577E-01
22.93679,40.63971,1.000000E+01,3.468890E-01
