lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,1.000000E+01,1.000000E+01,9.302771E+00,5.708751E-01,3.474917E-01,1.635469E-01
22.92631,40.64517,1.000000E+01,1.000000E+01,9.303125E+00,5.711389E-01,3.475156E-01,1.635733E-01
22.92651,40.64507,1.000000E+01,1.000000E+01,9.303470E+00,5.714021E-01,3.475399E-01,1.635979E-01
22.92671,40.64496,1.000000E+01,1.000000E+01,9.303823E+00,5.715055E-01,3.475641E-01,1.636245E-01
22.92691,40.64486,1.000000E+01,1.000000E+01,9.304164E+00,5.715271E-01,3.475887E-01,1.636499E-01
22.92712,40.64475,1.000000E+01,1.000000E+01,9.304533E+00,5.715495E-01,3.476145E-01,1.636774E-01
22.92732,40.64465,1.000000E+01,1.000000E+01,9.304881E+00,5.715722E-01,3.476395E-01,1.637030E-01
22.92752,40.64454,1.000000E+01,1.000000E+01,9.305233E+00,5.715933E-01,3.476640E-01,1.637305E-01
22.92772,40.64443,1.000000E+01,1.000000E+01,9.305600E+00,5.716149E-01,3.476887E-01,1.637578E-01
22.92792,40.64433,1.000000E+01,1.000000E+01,9.305945E+00,5.716386E-01,3.477139E-01,1.637841E-01
22.92812,40.64422,1.000000E+01,1.000000E+01,9.341630E+00,5.716615E-01,3.477388E-01,1.638118E-01
22.92833,40.64412,1.000000E+01,1.000000E+01,9.341985E+00,5.716906E-01,3.477657E-01,1.638388E-01
22.92853,40.64401,1.000000E+01,1.000000E+01,9.342359E+00,5.717165E-01,3.477908E-01,1.638670E-01
22.92873,40.64391,1.000000E+01,1.000000E+01,9.342710E+00,5.717446E-01,3.478165E-01,1.638937E-01
22.92893,40.64380,1.000000E+01,1.000000E+01,9.343082E+00,5.717713E-01,3.478418E-01,1.639222E-01
22.92913,40.64370,1.000000E+01,1.000000E+01,9.343436E+00,5.718000E-01,3.478684E-01,1.639492E-01
22.92933,40.64359,1.000000E+01,1.000000E+01,9.343797E+00,5.718272E-01,3.478948E-01,1.639778E-01
22.92953,40.64349,1.000000E+01,1.000000E+01,9.344158E+00,5.718565E-01,3.479216E-01,1.640053E-01
22.92974,40.64338,1.000000E+01,1.000000E+01,9.344542E+00,5.718868E-01,3.479497E-01,1.640350E-01
22.92994,40.64328,1.000000E+01,1.000000E+01,9.344901E+00,5.719168E-01,3.479767E-01,1.640628E-01
22.93014,40.64317,1.000000E+01,1.000000E+01,9.345267E+00,5.719451E-01,3.480037E-01,1.640921E-01
22.93034,40.64307,1.000000E+01,1.000000E+01,9.345628E+00,5.719759E-01,3.480313E-01,1.641200E-01
22.93054,40.64296,1.000000E+01,1.000000E+01,9.345997E+00,5.720051E-01,3.480588E-01,1.641497E-01
22.93074,40.64286,1.000000E+01,1.000000E+01,9.346354E+00,5.720364E-01,3.480867E-01,1.641780E-01
22.93094,40.64275,1.000000E+01,1.000000E+01,9.346724E+00,5.720661E-01,3.481144E-01,1.642079E-01
22.93115,40.64265,1.000000E+01,1.000000E+01,9.347095E+00,5.721007E-01,3.481442E-01,1.642372E-01
22.93135,40.64254,1.000000E+01,1.000000E+01,9.347467E+00,5.721316E-01,3.481714E-01,1.642674E-01
22.93155,40.64244,1.000000E+01,1.000000E+01,9.347836E+00,5.721645E-01,3.481998E-01,1.642963E-01
22.93175,40.64233,1.000000E+01,1.000000E+01,9.348202E+00,5.721959E-01,3.482278E-01,1.643268E-01
22.93195,40.64222,1.000000E+01,1.000000E+01,9.356339E+00,5.722275E-01,3.482561E-01,1.643576E-01
22.93215,40.64212,1.000000E+01,1.000000E+01,9.356697E+00,5.722615E-01,3.482849E-01,1.643869E-01
22.93235,40.64201,1.000000E+01,1.000000E+01,9.357075E+00,5.722939E-01,3.483133E-01,1.644179E-01
22.93256,40.64191,1.000000E+01,1.000000E+01,9.357456E+00,5.723317E-01,3.483440E-01,1.644483E-01
22.93276,40.64180,1.000000E+01,1.000000E+01,9.357834E+00,5.726321E-01,3.483726E-01,1.644795E-01
22.93296,40.64170,1.000000E+01,1.000000E+01,9.358197E+00,5.729397E-01,3.484019E-01,1.645096E-01
22.93316,40.64159,1.000000E+01,1.000000E+01,9.745925E+00,5.788985E-01,3.521272E-01,1.662033E-01
22.93336,40.64149,1.000000E+01,1.000000E+01,9.147015E+00,5.703373E-01,3.463720E-01,1.636306E-01
