lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.287214E-01,9.030144E-01,8.685603E-01,8.243259E-01,7.699288E-01,7.058198E-01,6.333783E-01,5.549134E-01,4.734922E-01,3.926568E-01,3.159800E-01,2.465183E-01,1.864060E-01,1.366562E-01,9.719606E-02,6.711567E-02,4.502353E-02,2.935130E-02,1.859208E-02,1.143401E-02,6.817667E-03,3.931792E-03,2.186093E-03,1.165813E-03,5.925341E-04,2.842820E-04,1.274645E-04,5.262971E-05,1.965032E-05,6.454243E-06
22.92631,40.64517,0.00000,9.287248E-01,9.030192E-01,8.685667E-01,8.243339E-01,7.699384E-01,7.058309E-01,6.333908E-01,5.549271E-01,4.735064E-01,3.926711E-01,3.159939E-01,2.465311E-01,1.864173E-01,1.366653E-01,9.720324E-02,6.712107E-02,4.502749E-02,2.935426E-02,1.859438E-02,1.143591E-02,6.819274E-03,3.933134E-03,2.187161E-03,1.166620E-03,5.930995E-04,2.846523E-04,1.276840E-04,5.274727E-05,1.970798E-05,6.479280E-06
22.92651,40.64507,0.00000,9.286947E-01,9.029827E-01,8.685288E-01,8.243017E-01,7.699174E-01,7.058232E-01,6.333947E-01,5.549386E-01,4.735216E-01,3.926885E-01,3.160114E-01,2.465480E-01,1.864329E-01,1.366791E-01,9.721389E-02,6.712870E-02,4.503278E-02,2.935782E-02,1.859687E-02,1.143782E-02,6.820840E-03,3.934435E-03,2.188200E-03,1.167407E-03,5.936535E-04,2.850164E-04,1.279007E-04,5.286371E-05,1.976542E-05,6.504222E-06
22.92671,40.64496,0.00000,9.286979E-01,9.029872E-01,8.685350E-01,8.243092E-01,7.699266E-01,7.058339E-01,6.334065E-01,5.549514E-01,4.735354E-01,3.927024E-01,3.160250E-01,2.465605E-01,1.864439E-01,1.366883E-01,9.722108E-02,6.713408E-02,4.503674E-02,2.936075E-02,1.859917E-02,1.143973E-02,6.822456E-03,3.935789E-03,2.189282E-03,1.168225E-03,5.942267E-04,2.853920E-04,1.281235E-04,5.298423E-05,1.982442E-05,6.529670E-06
22.92691,40.64486,0.00000,9.287010E-01,9.029915E-01,8.685408E-01,8.243166E-01,7.699354E-01,7.058442E-01,6.334183E-01,5.549643E-01,4.735489E-01,3.927162E-01,3.160382E-01,2.465728E-01,1.864548E-01,1.366972E-01,9.722813E-02,6.713935E-02,4.504063E-02,2.936366E-02,1.860144E-02,1.144161E-02,6.824037E-03,3.937109E-03,2.190337E-03,1.169024E-03,5.947890E-04,2.857615E-04,1.283435E-04,5.310388E-05,1.988305E-05,6.555017E-06
22.92712,40.64475,0.00000,9.287046E-01,9.029964E-01,8.685473E-01,8.243248E-01,7.699451E-01,7.058555E-01,6.334310E-01,5.549780E-01,4.735636E-01,3.927308E-01,3.160525E-01,2.465860E-01,1.864662E-01,1.367067E-01,9.723563E-02,6.714498E-02,4.504475E-02,2.936674E-02,1.860384E-02,1.144361E-02,6.825723E-03,3.938523E-03,2.191468E-03,1.169881E-03,5.953910E-04,2.861568E-04,1.285785E-04,5.323153E-05,1.994553E-05,6.582006E-06
22.92732,40.64465,0.00000,9.287077E-01,9.030008E-01,8.685531E-01,8.243321E-01,7.699541E-01,7.058658E-01,6.334426E-01,5.549909E-01,4.735770E-01,3.927445E-01,3.160659E-01,2.465983E-01,1.864771E-01,1.367157E-01,9.724267E-02,6.715031E-02,4.504868E-02,2.936965E-02,1.860612E-02,1.144548E-02,6.827318E-03,3.939858E-03,2.192536E-03,1.170691E-03,5.959613E-04,2.865317E-04,1.288018E-04,5.335303E-05,2.000509E-05,6.607766E-06
22.92752,40.64454,0.00000,9.287096E-01,9.030036E-01,8.685569E-01,8.243368E-01,7.699597E-01,7.058725E-01,6.334503E-01,5.549994E-01,4.735864E-01,3.927546E-01,3.160763E-01,2.466086E-01,1.864866E-01,1.367240E-01,9.724936E-02,6.715543E-02,4.505251E-02,2.937257E-02,1.860842E-02,1.144742E-02,6.828960E-03,3.941240E-03,2.193643E-03,1.171532E-03,5.965513E-04,2.869183E-04,1.290313E-04,5.347780E-05,2.006602E-05,6.634086E-06
22.92772,40.64443,0.00000,9.287131E-01,9.030085E-01,8.685633E-01,8.243449E-01,7.699695E-01,7.058837E-01,6.334628E-01,5.550131E-01,4.736007E-01,3.927689E-01,3.160902E-01,2.466214E-01,1.864978E-01,1.367331E-01,9.725651E-02,6.716082E-02,4.505648E-02,2.937552E-02,1.861074E-02,1.144935E-02,6.830611E-03,3.942633E-03,2.194759E-03,1.172377E-03,5.971454E-04,2.873078E-04,1.292625E-04,5.360353E-05,2.012757E-05,6.660619E-06
22.92792,40.64433,0.00000,9.289479E-01,9.032423E-01,8.687930E-01,8.245659E-01,7.701765E-01,7.060714E-01,6.336264E-01,5.551499E-01,4.737101E-01,3.928527E-01,3.161516E-01,2.466650E-01,1.865275E-01,1.367529E-01,9.726937E-02,6.716898E-02,4.506168E-02,2.937899E-02,1.861325E-02,1.145133E-02,6.832248E-03,3.943995E-03,2.195849E-03,1.173204E-03,5.977281E-04,2.876910E-04,1.294908E-04,5.372800E-05,2.018869E-05,6.687033E-06
22.92812,40.64422,0.00000,9.298807E-01,9.042716E-01,8.699154E-01,8.257622E-01,7.714099E-01,7.072904E-01,6.347722E-01,5.561674E-01,4.745595E-01,3.935166E-01,3.166362E-01,2.469950E-01,1.867372E-01,1.368774E-01,9.733883E-02,6.720556E-02,4.508009E-02,2.938814E-02,1.861800E-02,1.145415E-02,6.834191E-03,3.945476E-03,2.196995E-03,1.174063E-03,5.983309E-04,2.880862E-04,1.297254E-04,5.385558E-05,2.025117E-05,6.714051E-06
22.92833,40.64412,0.00000,9.299337E-01,9.043396E-01,8.700013E-01,8.258680E-01,7.715344E-01,7.074305E-01,6.349210E-01,5.563161E-01,4.746986E-01,3.936383E-01,3.167362E-01,2.470718E-01,1.867928E-01,1.369153E-01,9.736338E-02,6.722075E-02,4.508927E-02,2.939371E-02,1.862153E-02,1.145662E-02,6.836069E-03,3.946966E-03,2.198159E-03,1.174938E-03,5.989460E-04,2.884907E-04,1.299662E-04,5.398712E-05,2.031588E-05,6.742237E-06
22.92853,40.64401,0.00000,9.299374E-01,9.043447E-01,8.700081E-01,8.258763E-01,7.715445E-01,7.074420E-01,6.349338E-01,5.563299E-01,4.747131E-01,3.936530E-01,3.167502E-01,2.470847E-01,1.868040E-01,1.369246E-01,9.737061E-02,6.722616E-02,4.509324E-02,2.939667E-02,1.862387E-02,1.145858E-02,6.837745E-03,3.948385E-03,2.199301E-03,1.175806E-03,5.995575E-04,2.888923E-04,1.302043E-04,5.411668E-05,2.037931E-05,6.769904E-06
22.92873,40.64391,0.00000,9.299407E-01,9.043493E-01,8.700141E-01,8.258839E-01,7.715538E-01,7.074527E-01,6.349459E-01,5.563430E-01,4.747270E-01,3.936669E-01,3.167638E-01,2.470971E-01,1.868149E-01,1.369336E-01,9.737769E-02,6.723150E-02,4.509714E-02,2.939958E-02,1.862617E-02,1.146049E-02,6.839385E-03,3.949771E-03,2.200417E-03,1.176655E-03,6.001575E-04,2.892873E-04,1.304393E-04,5.424499E-05,2.044232E-05,6.797444E-06
22.92893,40.64380,0.00000,9.299554E-01,9.043689E-01,8.700395E-01,8.259155E-01,7.715911E-01,7.074946E-01,6.349900E-01,5.563872E-01,4.747682E-01,3.937034E-01,3.167942E-01,2.471212E-01,1.868332E-01,1.369469E-01,9.738701E-02,6.723786E-02,4.510150E-02,2.940269E-02,1.862855E-02,1.146247E-02,6.841077E-03,3.951205E-03,2.201574E-03,1.177535E-03,6.007780E-04,2.896945E-04,1.306808E-04,5.437649E-05,2.050675E-05,6.825560E-06
22.92913,40.64370,0.00000,9.299588E-01,9.043736E-01,8.700455E-01,8.259231E-01,7.716002E-01,7.075053E-01,6.350021E-01,5.564002E-01,4.747819E-01,3.937173E-01,3.168076E-01,2.471338E-01,1.868441E-01,1.369560E-01,9.739412E-02,6.724321E-02,4.510543E-02,2.940561E-02,1.863084E-02,1.146440E-02,6.842727E-03,3.952604E-03,2.202704E-03,1.178395E-03,6.013864E-04,2.900953E-04,1.309192E-04,5.450666E-05,2.057075E-05,6.853566E-06
22.92933,40.64359,0.00000,9.299624E-01,9.043787E-01,8.700523E-01,8.259315E-01,7.716103E-01,7.075168E-01,6.350150E-01,5.564142E-01,4.747964E-01,3.937319E-01,3.168217E-01,2.471467E-01,1.868554E-01,1.369653E-01,9.740136E-02,6.724863E-02,4.510939E-02,2.940856E-02,1.863318E-02,1.146638E-02,6.844433E-03,3.954054E-03,2.203876E-03,1.179286E-03,6.020155E-04,2.905084E-04,1.311641E-04,5.464008E-05,2.063623E-05,6.882152E-06
22.92953,40.64349,0.00000,9.299657E-01,9.043833E-01,8.700584E-01,8.259391E-01,7.716195E-01,7.075275E-01,6.350270E-01,5.564273E-01,4.748103E-01,3.937458E-01,3.168352E-01,2.471591E-01,1.868661E-01,1.369743E-01,9.740848E-02,6.725396E-02,4.511330E-02,2.941150E-02,1.863549E-02,1.146831E-02,6.846098E-03,3.955468E-03,2.205019E-03,1.180157E-03,6.026327E-04,2.909148E-04,1.314060E-04,5.477213E-05,2.070125E-05,6.910581E-06
22.92974,40.64338,0.00000,9.299684E-01,9.043870E-01,8.700633E-01,8.259451E-01,7.716266E-01,7.075356E-01,6.350359E-01,5.564368E-01,4.748202E-01,3.937559E-01,3.168453E-01,2.471687E-01,1.868749E-01,1.369819E-01,9.741469E-02,6.725878E-02,4.511700E-02,2.941436E-02,1.863783E-02,1.147033E-02,6.847861E-03,3.956975E-03,2.206244E-03,1.181090E-03,6.032933E-04,2.913497E-04,1.316642E-04,5.491368E-05,2.077055E-05,6.940845E-06
22.92994,40.64328,0.00000,9.299716E-01,9.043916E-01,8.700693E-01,8.259528E-01,7.716359E-01,7.075463E-01,6.350478E-01,5.564498E-01,4.748339E-01,3.937700E-01,3.168588E-01,2.471812E-01,1.868859E-01,1.369909E-01,9.742177E-02,6.726415E-02,4.512091E-02,2.941729E-02,1.864014E-02,1.147227E-02,6.849536E-03,3.958405E-03,2.207401E-03,1.181973E-03,6.039196E-04,2.917622E-04,1.319096E-04,5.504956E-05,2.083656E-05,6.969731E-06
22.93014,40.64317,0.00000,9.299753E-01,9.043967E-01,8.700760E-01,8.259611E-01,7.716458E-01,7.075578E-01,6.350608E-01,5.564635E-01,4.748485E-01,3.937845E-01,3.168728E-01,2.471941E-01,1.868971E-01,1.370002E-01,9.742900E-02,6.726957E-02,4.512489E-02,2.942026E-02,1.864249E-02,1.147426E-02,6.851269E-03,3.959884E-03,2.208601E-03,1.182888E-03,6.045679E-04,2.921872E-04,1.321618E-04,5.518890E-05,2.090402E-05,6.999264E-06
22.93034,40.64307,0.00000,9.299786E-01,9.044014E-01,8.700821E-01,8.259687E-01,7.716550E-01,7.075684E-01,6.350728E-01,5.564767E-01,4.748623E-01,3.937984E-01,3.168862E-01,2.472065E-01,1.869081E-01,1.370092E-01,9.743613E-02,6.727487E-02,4.512880E-02,2.942318E-02,1.864480E-02,1.147622E-02,6.852958E-03,3.961326E-03,2.209772E-03,1.183782E-03,6.052039E-04,2.926055E-04,1.324109E-04,5.532681E-05,2.097134E-05,7.028720E-06
22.93054,40.64296,0.00000,9.299823E-01,9.044064E-01,8.700888E-01,8.259772E-01,7.716650E-01,7.075799E-01,6.350858E-01,5.564906E-01,4.748767E-01,3.938130E-01,3.169003E-01,2.472194E-01,1.869192E-01,1.370185E-01,9.744339E-02,6.728029E-02,4.513273E-02,2.942616E-02,1.864715E-02,1.147822E-02,6.854701E-03,3.962819E-03,2.210986E-03,1.184708E-03,6.058609E-04,2.930365E-04,1.326675E-04,5.546824E-05,2.104016E-05,7.058945E-06
22.93074,40.64286,0.00000,9.299856E-01,9.044111E-01,8.700948E-01,8.259848E-01,7.716743E-01,7.075907E-01,6.350976E-01,5.565037E-01,4.748904E-01,3.938267E-01,3.169138E-01,2.472318E-01,1.869301E-01,1.370276E-01,9.745045E-02,6.728562E-02,4.513664E-02,2.942908E-02,1.864948E-02,1.148019E-02,6.856401E-03,3.964275E-03,2.212171E-03,1.185614E-03,6.065055E-04,2.934607E-04,1.329214E-04,5.560820E-05,2.110850E-05,7.089021E-06
22.93094,40.64275,0.00000,9.299893E-01,9.044161E-01,8.701016E-01,8.259931E-01,7.716843E-01,7.076021E-01,6.351106E-01,5.565176E-01,4.749051E-01,3.938414E-01,3.169278E-01,2.472447E-01,1.869413E-01,1.370368E-01,9.745774E-02,6.729102E-02,4.514062E-02,2.943205E-02,1.865183E-02,1.148220E-02,6.858159E-03,3.965782E-03,2.213398E-03,1.186551E-03,6.071712E-04,2.938975E-04,1.331821E-04,5.575188E-05,2.117840E-05,7.119731E-06
22.93115,40.64265,0.00000,9.299925E-01,9.044207E-01,8.701077E-01,8.260007E-01,7.716935E-01,7.076130E-01,6.351228E-01,5.565308E-01,4.749189E-01,3.938557E-01,3.169417E-01,2.472576E-01,1.869527E-01,1.370462E-01,9.746508E-02,6.729660E-02,4.514470E-02,2.943511E-02,1.865425E-02,1.148425E-02,6.859935E-03,3.967305E-03,2.214638E-03,1.187502E-03,6.078489E-04,2.943440E-04,1.334497E-04,5.589989E-05,2.125073E-05,7.151769E-06
22.93135,40.64254,0.00000,9.299960E-01,9.044257E-01,8.701146E-01,8.260095E-01,7.717041E-01,7.076252E-01,6.351361E-01,5.565454E-01,4.749345E-01,3.938715E-01,3.169573E-01,2.472720E-01,1.869652E-01,1.370564E-01,9.747283E-02,6.730219E-02,4.514867E-02,2.943803E-02,1.865657E-02,1.148623E-02,6.861690E-03,3.968819E-03,2.215875E-03,1.188451E-03,6.085235E-04,2.947869E-04,1.337140E-04,5.604571E-05,2.132168E-05,7.183153E-06
22.93155,40.64244,0.00000,9.300041E-01,9.044369E-01,8.701293E-01,8.260281E-01,7.717261E-01,7.076500E-01,6.351630E-01,5.565730E-01,4.749617E-01,3.938969E-01,3.169799E-01,2.472910E-01,1.869803E-01,1.370678E-01,9.748110E-02,6.730798E-02,4.515270E-02,2.944093E-02,1.865884E-02,1.148816E-02,6.863388E-03,3.970291E-03,2.217083E-03,1.189379E-03,6.091853E-04,2.952232E-04,1.339755E-04,5.619031E-05,2.139208E-05,7.214346E-06
22.93175,40.64233,0.00000,9.302463E-01,9.047071E-01,8.704262E-01,8.263460E-01,7.720546E-01,7.079745E-01,6.354671E-01,5.568421E-01,4.751848E-01,3.940701E-01,3.171055E-01,2.473765E-01,1.870352E-01,1.371011E-01,9.750058E-02,6.731912E-02,4.515912E-02,2.944487E-02,1.866155E-02,1.149030E-02,6.865201E-03,3.971834E-03,2.218338E-03,1.190341E-03,6.098689E-04,2.956726E-04,1.342442E-04,5.633853E-05,2.146400E-05,7.246181E-06
22.93195,40.64222,0.00000,9.303277E-01,9.047989E-01,8.705290E-01,8.264588E-01,7.721744E-01,7.080969E-01,6.355866E-01,5.569527E-01,4.752817E-01,3.941503E-01,3.171682E-01,2.474228E-01,1.870675E-01,1.371228E-01,9.751441E-02,6.732777E-02,4.516454E-02,2.944842E-02,1.866414E-02,1.149240E-02,6.867008E-03,3.973383E-03,2.219600E-03,1.191307E-03,6.105569E-04,2.961250E-04,1.345147E-04,5.648781E-05,2.153662E-05,7.278265E-06
