lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92611,40.64528,0.00000,3.922723E-01,3.661081E-01,3.404916E-01,3.155265E-01,2.913103E-01,2.679310E-01,2.454736E-01,2.240096E-01,2.036021E-01,1.843002E-01,1.661402E-01,1.491465E-01,1.333301E-01,1.186900E-01,1.052125E-01,9.287152E-02,8.163161E-02,7.145049E-02,6.227721E-02,5.405436E-02,4.672217E-02,4.021794E-02,3.447661E-02,2.943455E-02,2.502735E-02,2.119411E-02,1.787616E-02,1.501711E-02,1.256511E-02,1.047180E-02
22.92631,40.64517,0.00000,3.922833E-01,3.661190E-01,3.405025E-01,3.155371E-01,2.913205E-01,2.679411E-01,2.454833E-01,2.240188E-01,2.036109E-01,1.843085E-01,1.661480E-01,1.491539E-01,1.333369E-01,1.186964E-01,1.052184E-01,9.287700E-02,8.163671E-02,7.145521E-02,6.228155E-02,5.405840E-02,4.672590E-02,4.022136E-02,3.447978E-02,2.943748E-02,2.503003E-02,2.119657E-02,1.787842E-02,1.501915E-02,1.256697E-02,1.047348E-02
22.92651,40.64507,0.00000,3.922858E-01,3.661215E-01,3.405048E-01,3.155396E-01,2.913234E-01,2.679443E-01,2.454869E-01,2.240227E-01,2.036152E-01,1.843131E-01,1.661528E-01,1.491588E-01,1.333418E-01,1.187012E-01,1.052231E-01,9.288145E-02,8.164087E-02,7.145901E-02,6.228504E-02,5.406156E-02,4.672878E-02,4.022403E-02,3.448210E-02,2.943959E-02,2.503198E-02,2.119834E-02,1.788003E-02,1.502064E-02,1.256833E-02,1.047473E-02
22.92671,40.64496,0.00000,3.922958E-01,3.661315E-01,3.405147E-01,3.155493E-01,2.913330E-01,2.679537E-01,2.454959E-01,2.240314E-01,2.036235E-01,1.843210E-01,1.661602E-01,1.491658E-01,1.333484E-01,1.187074E-01,1.052288E-01,9.288680E-02,8.164583E-02,7.146365E-02,6.228934E-02,5.406553E-02,4.673248E-02,4.022745E-02,3.448526E-02,2.944251E-02,2.503467E-02,2.120081E-02,1.788229E-02,1.502270E-02,1.257020E-02,1.047643E-02
22.92691,40.64486,0.00000,3.923063E-01,3.661420E-01,3.405251E-01,3.155594E-01,2.913428E-01,2.679632E-01,2.455052E-01,2.240403E-01,2.036319E-01,1.843290E-01,1.661678E-01,1.491728E-01,1.333550E-01,1.187136E-01,1.052346E-01,9.289215E-02,8.165076E-02,7.146822E-02,6.229356E-02,5.406945E-02,4.673609E-02,4.023079E-02,3.448834E-02,2.944535E-02,2.503729E-02,2.120321E-02,1.788448E-02,1.502471E-02,1.257203E-02,1.047809E-02
22.92712,40.64475,0.00000,3.923177E-01,3.661532E-01,3.405361E-01,3.155704E-01,2.913534E-01,2.679735E-01,2.455151E-01,2.240498E-01,2.036410E-01,1.843375E-01,1.661759E-01,1.491804E-01,1.333621E-01,1.187201E-01,1.052407E-01,9.289780E-02,8.165604E-02,7.147308E-02,6.229806E-02,5.407362E-02,4.673996E-02,4.023436E-02,3.449164E-02,2.944838E-02,2.504008E-02,2.120579E-02,1.788684E-02,1.502685E-02,1.257399E-02,1.047986E-02
22.92732,40.64465,0.00000,3.923282E-01,3.661636E-01,3.405464E-01,3.155804E-01,2.913634E-01,2.679830E-01,2.455243E-01,2.240587E-01,2.036494E-01,1.843456E-01,1.661835E-01,1.491875E-01,1.333687E-01,1.187263E-01,1.052464E-01,9.290311E-02,8.166093E-02,7.147765E-02,6.230230E-02,5.407753E-02,4.674358E-02,4.023772E-02,3.449473E-02,2.945123E-02,2.504271E-02,2.120820E-02,1.788905E-02,1.502887E-02,1.257583E-02,1.048153E-02
22.92752,40.64454,0.00000,3.923306E-01,3.661659E-01,3.405488E-01,3.155828E-01,2.913656E-01,2.679854E-01,2.455267E-01,2.240612E-01,2.036519E-01,1.843482E-01,1.661861E-01,1.491902E-01,1.333715E-01,1.187291E-01,1.052493E-01,9.290601E-02,8.166385E-02,7.148056E-02,6.230516E-02,5.408037E-02,4.674636E-02,4.024041E-02,3.449736E-02,2.945375E-02,2.504511E-02,2.121046E-02,1.789118E-02,1.503084E-02,1.257764E-02,1.048319E-02
22.92772,40.64443,0.00000,3.923416E-01,3.661770E-01,3.405595E-01,3.155934E-01,2.913759E-01,2.679954E-01,2.455364E-01,2.240703E-01,2.036607E-01,1.843565E-01,1.661939E-01,1.491976E-01,1.333783E-01,1.187355E-01,1.052552E-01,9.291149E-02,8.166894E-02,7.148528E-02,6.230953E-02,5.408441E-02,4.675011E-02,4.024389E-02,3.450055E-02,2.945672E-02,2.504784E-02,2.121296E-02,1.789347E-02,1.503293E-02,1.257955E-02,1.048492E-02
22.92792,40.64433,0.00000,3.925020E-01,3.663248E-01,3.406951E-01,3.157169E-01,2.914882E-01,2.680967E-01,2.456273E-01,2.241516E-01,2.037329E-01,1.844205E-01,1.662503E-01,1.492471E-01,1.334216E-01,1.187733E-01,1.052880E-01,9.293987E-02,8.169346E-02,7.150640E-02,6.232772E-02,5.410001E-02,4.676350E-02,4.025537E-02,3.451038E-02,2.946510E-02,2.505500E-02,2.121908E-02,1.789868E-02,1.503736E-02,1.258332E-02,1.048812E-02
22.92812,40.64422,0.00000,3.939019E-01,3.676339E-01,3.419110E-01,3.168391E-01,2.925170E-01,2.690338E-01,2.464757E-01,2.249147E-01,2.044152E-01,1.850269E-01,1.667861E-01,1.497179E-01,1.338331E-01,1.191308E-01,1.055971E-01,9.320573E-02,8.192088E-02,7.170006E-02,6.249178E-02,5.423830E-02,4.687949E-02,4.035215E-02,3.459071E-02,2.953145E-02,2.510949E-02,2.126357E-02,1.793481E-02,1.506652E-02,1.260673E-02,1.050679E-02
22.92833,40.64412,0.00000,3.941461E-01,3.678693E-01,3.421363E-01,3.170530E-01,2.927187E-01,2.692226E-01,2.466513E-01,2.250770E-01,2.045642E-01,1.851629E-01,1.669094E-01,1.498289E-01,1.339327E-01,1.192196E-01,1.056757E-01,9.327510E-02,8.198185E-02,7.175333E-02,6.253809E-02,5.427840E-02,4.691406E-02,4.038182E-02,3.461609E-02,2.955304E-02,2.512778E-02,2.127902E-02,1.794778E-02,1.507737E-02,1.261576E-02,1.051428E-02
