lon,lat,PGV,PGA
22.92611,40.64528,1.000000E+01,1.837796E-01
22.92631,40.64517,1.000000E+01,1.838025E-01
22.92651,40.64507,1.000000E+01,1.838249E-01
22.92671,40.64496,1.000000E+01,1.838479E-01
22.92691,40.64486,1.000000E+01,1.838704E-01
22.92712,40.64475,1.000000E+01,1.838944E-01
22.92732,40.64465,1.000000E+01,1.839170E-01
22.92752,40.64454,1.000000E+01,1.839404E-01
22.92772,40.64443,1.000000E+01,1.839638E-01
22.92792,40.64433,1.000000E+01,1.839872E-01
22.92812,40.64422,1.000000E+01,1.840164E-01
22.92833,40.64412,1.000000E+01,1.840439E-01
22.92853,40.64401,1.000000E+01,1.840677E-01
22.92873,40.64391,1.000000E+01,1.840909E-01
22.92893,40.64380,1.000000E+01,1.841150E-01
22.92913,40.64370,1.000000E+01,1.841384E-01
22.92933,40.64359,1.000000E+01,1.841626E-01
22.92953,40.64349,1.000000E+01,1.841862E-01
22.92974,40.64338,1.000000E+01,1.842112E-01
22.92994,40.64328,1.000000E+01,1.842350E-01
22.93014,40.64317,1.000000E+01,1.842595E-01
22.93034,40.64307,1.000000E+01,1.842835E-01
22.93054,40.64296,1.000000E+01,1.843082E-01
22.93074,40.64286,1.000000E+01,1.843324E-01
22.93094,40.64275,1.000000E+01,1.843572E-01
22.93115,40.64265,1.000000E+01,1.843824E-01
22.93135,40.64254,1.000000E+01,1.844072E-01
22.93155,40.64244,1.000000E+01,1.844313E-01
22.93175,40.64233,1.000000E+01,1.844572E-01
22.93195,40.64222,1.000000E+01,1.844829E-01
22.93215,40.64212,1.000000E+01,1.845076E-01
22.93235,40.64201,1.000000E+01,1.845331E-01
22.93256,40.64191,1.000000E+01,1.845590E-01
22.93276,40.64180,1.000000E+01,1.845850E-01
22.93296,40.64170,1.000000E+01,1.846101E-01
22.93316,40.64159,1.000000E+01,1.792425E-01
22.93336,40.64149,1.000000E+01,1.799489E-01
22.93356,40.64139,1.000000E+01,1.799735E-01
22.93377,40.64128,1.000000E+01,1.799998E-01
22.93397,40.64118,1.000000E+01,1.800242E-01
22.93417,40.64107,1.000000E+01,1.800497E-01
22.93437,40.64097,1.000000E+01,1.800746E-01
22.93457,40.64086,1.000000E+01,1.801003E-01
22.93477,40.64076,1.000000E+01,1.801255E-01
22.93497,40.64065,1.000000E+01,1.801513E-01
22.93518,40.64055,1.000000E+01,1.801774E-01
22.93538,40.64044,1.000000E+01,1.802033E-01
22.93558,40.64034,1.000000E+01,1.802287E-01
22.93578,40.64023,1.000000E+01,1.802548E-01
22.93598,40.64013,1.000000E+01,1.802803E-01
22.93618,40.64002,1.000000E+01,1.803066E-01
22.93639,40.63992,1.000000E+01,1.803332E-01
22.93659,40.63981,1.000000E+01,1.803595E-01
22.93679,40.63971,1.000000E+01,1.803853E-01
22.93699,40.63960,1.000000E+01,1.804119E-01
22.93719,40.63950,1.000000E+01,1.804378E-01
22.93739,40.63939,1.000000E+01,1.804644E-01
22.93759,40.63928,1.000000E+01,1.804911E-01
22.93780,40.63918,1.000000E+01,1.805182E-01
22.93800,40.63907,1.000000E+01,1.805451E-01
22.93820,40.63897,1.000000E+01,1.805702E-01
22.93840,40.63886,1.000000E+01,1.805959E-01
22.93860,40.63876,1.000000E+01,1.806223E-01
22.93880,40.63865,1.000000E+01,1.806493E-01
22.93900,40.63855,1.000000E+01,1.806759E-01
22.93921,40.63844,1.000000E+01,1.807041E-01
22.93941,40.63834,1.000000E+01,1.807307E-01
22.93961,40.63823,1.000000E+01,1.807579E-01
22.93981,40.63813,1.000000E+01,1.807846E-01
22.94001,40.63802,1.000000E+01,1.808120E-01
22.94021,40.63792,1.000000E+01,1.808388E-01
22.94042,40.63781,1.000000E+01,1.808674E-01
22.94062,40.63771,1.000000E+01,1.808943E-01
22.94082,40.63760,1.000000E+01,1.809218E-01
22.94102,40.63750,1.000000E+01,1.809489E-01
22.94122,40.63739,1.000000E+01,1.809766E-01
22.94142,40.63729,1.000000E+01,1.810036E-01
22.94162,40.63718,1.000000E+01,1.810314E-01
22.94183,40.63708,1.000000E+01,1.702521E-01
22.94203,40.63697,1.000000E+01,1.702779E-01
22.94223,40.63686,1.000000E+01,1.703038E-01
