lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.92611,40.64528,7.859942E-01,4.177895E-01,1.837796E-01
22.92631,40.64517,7.863605E-01,4.179043E-01,1.838025E-01
22.92651,40.64507,7.867201E-01,4.180162E-01,1.838249E-01
22.92671,40.64496,7.870917E-01,4.181325E-01,1.838479E-01
22.92691,40.64486,7.874570E-01,4.182462E-01,1.838704E-01
22.92712,40.64475,7.878478E-01,4.183681E-01,1.838944E-01
22.92732,40.64465,7.882186E-01,4.184834E-01,1.839170E-01
22.92752,40.64454,7.886015E-01,4.186029E-01,1.839404E-01
22.92772,40.64443,7.889872E-01,4.187233E-01,1.839638E-01
22.92792,40.64433,7.893664E-01,4.188410E-01,1.839872E-01
22.92812,40.64422,7.897578E-01,4.189641E-01,1.840164E-01
22.92833,40.64412,7.901585E-01,4.190893E-01,1.840439E-01
22.92853,40.64401,7.905562E-01,4.192129E-01,1.840677E-01
22.92873,40.64391,7.909474E-01,4.193337E-01,1.840909E-01
22.92893,40.64380,7.913511E-01,4.194590E-01,1.841150E-01
22.92913,40.64370,7.917481E-01,4.195815E-01,1.841384E-01
22.92933,40.64359,7.921578E-01,4.197086E-01,1.841626E-01
22.92953,40.64349,7.925606E-01,4.198327E-01,1.841862E-01
22.92974,40.64338,7.929918E-01,4.199658E-01,1.842112E-01
22.92994,40.64328,7.934009E-01,4.200915E-01,1.842350E-01
22.93014,40.64317,7.938231E-01,4.202220E-01,1.842595E-01
22.93034,40.64307,7.942383E-01,4.203495E-01,1.842835E-01
22.93054,40.64296,7.946666E-01,4.204815E-01,1.843082E-01
22.93074,40.64286,7.950878E-01,4.206108E-01,1.843324E-01
22.93094,40.64275,7.955222E-01,4.207445E-01,1.843572E-01
22.93115,40.64265,7.959656E-01,4.208800E-01,1.843824E-01
22.93135,40.64254,7.964060E-01,4.210153E-01,1.844072E-01
22.93155,40.64244,7.968395E-01,4.211474E-01,1.844313E-01
