lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.287136E-01,9.020945E-01,8.661916E-01,8.204570E-01,7.651833E-01,7.013006E-01,6.301450E-01,5.534313E-01,4.734249E-01,3.931884E-01,3.101550E-01,2.379367E-01,1.752088E-01,1.260389E-01,8.750193E-02,5.978411E-02,4.129721E-02,2.666982E-02,1.699594E-02,1.031613E-02,6.121858E-03,3.377894E-03,1.628628E-03,7.692738E-04,3.180421E-04,1.203058E-04,4.389554E-05,1.307300E-05,2.678029E-06,4.565699E-08
22.92631,40.64517,0.00000,9.287173E-01,9.021002E-01,8.661998E-01,8.204673E-01,7.651953E-01,7.013143E-01,6.301608E-01,5.534486E-01,4.734428E-01,3.932060E-01,3.101680E-01,2.379486E-01,1.752198E-01,1.260481E-01,8.750927E-02,5.978847E-02,4.129993E-02,2.667247E-02,1.699817E-02,1.031841E-02,6.124178E-03,3.378485E-03,1.628898E-03,7.706555E-04,3.180833E-04,1.206827E-04,4.407492E-05,1.314450E-05,2.701441E-06,5.205173E-08
22.92651,40.64507,0.00000,9.286594E-01,9.020183E-01,8.661035E-01,8.203765E-01,7.651308E-01,7.012848E-01,6.301607E-01,5.534655E-01,4.734648E-01,3.932320E-01,3.101799E-01,2.379599E-01,1.752304E-01,1.260698E-01,8.751626E-02,5.979840E-02,4.130568E-02,2.667506E-02,1.700064E-02,1.032052E-02,6.126345E-03,3.379067E-03,1.629174E-03,7.720224E-04,3.181272E-04,1.210590E-04,4.425448E-05,1.321617E-05,2.725075E-06,5.842181E-08
22.92671,40.64496,0.00000,9.286626E-01,9.020230E-01,8.661103E-01,8.203849E-01,7.651409E-01,7.012964E-01,6.301742E-01,5.534801E-01,4.734811E-01,3.932485E-01,3.101928E-01,2.379723E-01,1.752414E-01,1.260794E-01,8.752359E-02,5.980278E-02,4.130840E-02,2.667770E-02,1.700283E-02,1.032284E-02,6.128682E-03,3.379650E-03,1.629449E-03,7.734264E-04,3.181691E-04,1.214405E-04,4.443632E-05,1.328871E-05,2.748873E-06,6.491300E-08
22.92691,40.64486,0.00000,9.286662E-01,9.020283E-01,8.661177E-01,8.203944E-01,7.651522E-01,7.013102E-01,6.301895E-01,5.534971E-01,4.734982E-01,3.932672E-01,3.102048E-01,2.379835E-01,1.752518E-01,1.260885E-01,8.753060E-02,5.980712E-02,4.131110E-02,2.668027E-02,1.700497E-02,1.032506E-02,6.130910E-03,3.380245E-03,1.629726E-03,7.748150E-04,3.182139E-04,1.218214E-04,4.461831E-05,1.336140E-05,2.772888E-06,7.137832E-08
22.92712,40.64475,0.00000,9.286701E-01,9.020341E-01,8.661259E-01,8.204051E-01,7.651646E-01,7.013245E-01,6.302057E-01,5.535143E-01,4.735181E-01,3.932858E-01,3.102178E-01,2.379954E-01,1.752631E-01,1.260981E-01,8.753810E-02,5.981176E-02,4.131400E-02,2.668303E-02,1.700724E-02,1.032748E-02,6.133322E-03,3.380872E-03,1.630016E-03,7.762925E-04,3.182608E-04,1.222252E-04,4.481127E-05,1.343847E-05,2.798297E-06,7.825518E-08
22.92732,40.64465,0.00000,9.286737E-01,9.020394E-01,8.661332E-01,8.204146E-01,7.651767E-01,7.013377E-01,6.302210E-01,5.535315E-01,4.735355E-01,3.933037E-01,3.102297E-01,2.380081E-01,1.752735E-01,1.261075E-01,8.754512E-02,5.981640E-02,4.131683E-02,2.668558E-02,1.700945E-02,1.032971E-02,6.135574E-03,3.381466E-03,1.630299E-03,7.776965E-04,3.183067E-04,1.226107E-04,4.499573E-05,1.351222E-05,2.822701E-06,8.481750E-08
22.92752,40.64454,0.00000,9.286733E-01,9.020395E-01,8.661332E-01,8.204139E-01,7.651751E-01,7.013366E-01,6.302199E-01,5.535308E-01,4.735370E-01,3.933082E-01,3.102427E-01,2.380198E-01,1.752846E-01,1.261158E-01,8.755244E-02,5.982065E-02,4.131953E-02,2.668825E-02,1.701167E-02,1.033209E-02,6.137976E-03,3.382066E-03,1.630578E-03,7.791320E-04,3.183503E-04,1.230016E-04,4.518258E-05,1.359068E-05,2.848071E-06,9.150278E-08
22.92772,40.64443,0.00000,9.286772E-01,9.020454E-01,8.661410E-01,8.204241E-01,7.651878E-01,7.013509E-01,6.302353E-01,5.535487E-01,4.735550E-01,3.933262E-01,3.102556E-01,2.380325E-01,1.752958E-01,1.261251E-01,8.755980E-02,5.982494E-02,4.132224E-02,2.669092E-02,1.701389E-02,1.033446E-02,6.140402E-03,3.382673E-03,1.630859E-03,7.805757E-04,3.183959E-04,1.233949E-04,4.537070E-05,1.367011E-05,2.875492E-06,9.823606E-08
22.92792,40.64433,0.00000,9.286810E-01,9.020507E-01,8.661485E-01,8.204337E-01,7.651992E-01,7.013646E-01,6.302509E-01,5.535656E-01,4.735732E-01,3.933442E-01,3.102675E-01,2.380441E-01,1.753062E-01,1.261344E-01,8.756676E-02,5.982941E-02,4.132490E-02,2.669349E-02,1.701608E-02,1.033675E-02,6.142703E-03,3.383274E-03,1.631143E-03,7.820032E-04,3.184446E-04,1.237872E-04,4.555883E-05,1.374957E-05,2.903060E-06,1.049402E-07
22.92812,40.64422,0.00000,9.286848E-01,9.020565E-01,8.661564E-01,8.204441E-01,7.652119E-01,7.013788E-01,6.302668E-01,5.535830E-01,4.735911E-01,3.933626E-01,3.111420E-01,2.385768E-01,1.756051E-01,1.261437E-01,8.764981E-02,5.983390E-02,4.132757E-02,2.674499E-02,1.701828E-02,1.033915E-02,6.145158E-03,3.383878E-03,1.631426E-03,7.834626E-04,3.184914E-04,1.241851E-04,4.574947E-05,1.383017E-05,2.930938E-06,1.117685E-07
22.92833,40.64412,0.00000,9.286864E-01,9.020593E-01,8.661607E-01,8.204495E-01,7.652178E-01,7.013863E-01,6.302745E-01,5.535923E-01,4.736019E-01,3.933745E-01,3.111544E-01,2.385883E-01,1.756158E-01,1.261535E-01,8.765705E-02,5.983860E-02,4.133052E-02,2.674767E-02,1.702052E-02,1.034151E-02,6.147513E-03,3.384927E-03,1.631943E-03,7.846829E-04,3.185452E-04,1.246004E-04,4.594908E-05,1.391453E-05,2.960317E-06,1.188683E-07
22.92853,40.64401,0.00000,9.286903E-01,9.020652E-01,8.661686E-01,8.204594E-01,7.652299E-01,7.014000E-01,6.302901E-01,5.536090E-01,4.736204E-01,3.933928E-01,3.111677E-01,2.386006E-01,1.756271E-01,1.261625E-01,8.766440E-02,5.984297E-02,4.133325E-02,2.675036E-02,1.702279E-02,1.034393E-02,6.149993E-03,3.385535E-03,1.632229E-03,7.848102E-04,3.185933E-04,1.250030E-04,4.614235E-05,1.399632E-05,2.988665E-06,1.257931E-07
22.92873,40.64391,0.00000,9.286939E-01,9.020705E-01,8.661758E-01,8.204687E-01,7.652416E-01,7.014136E-01,6.303058E-01,5.536256E-01,4.736383E-01,3.934106E-01,3.111801E-01,2.386129E-01,1.756378E-01,1.261719E-01,8.767145E-02,5.984754E-02,4.133593E-02,2.675297E-02,1.702495E-02,1.034623E-02,6.152360E-03,3.386154E-03,1.632518E-03,7.849407E-04,3.186436E-04,1.254047E-04,4.633553E-05,1.407810E-05,3.017668E-06,1.326858E-07
22.92893,40.64380,0.00000,9.287180E-01,9.021038E-01,8.662207E-01,8.205271E-01,7.653120E-01,7.014927E-01,6.303861E-01,5.537031E-01,4.737031E-01,3.934621E-01,3.111933E-01,2.386249E-01,1.756490E-01,1.261874E-01,8.767889E-02,5.985185E-02,4.133885E-02,2.675543E-02,1.702722E-02,1.034867E-02,6.154866E-03,3.386758E-03,1.632806E-03,7.850679E-04,3.186927E-04,1.258121E-04,4.653129E-05,1.416107E-05,3.047159E-06,1.397041E-07
22.92913,40.64370,0.00000,9.287216E-01,9.021091E-01,8.662281E-01,8.205363E-01,7.653232E-01,7.015061E-01,6.304019E-01,5.537189E-01,4.737212E-01,3.934800E-01,3.112056E-01,2.386364E-01,1.756595E-01,1.261969E-01,8.768592E-02,5.985641E-02,4.134171E-02,2.675768E-02,1.702941E-02,1.035101E-02,6.157247E-03,3.387375E-03,1.633098E-03,7.852000E-04,3.187456E-04,1.262184E-04,4.672694E-05,1.424401E-05,3.076813E-06,1.466889E-07
22.92933,40.64359,0.00000,9.287255E-01,9.021147E-01,8.662360E-01,8.205466E-01,7.653354E-01,7.015204E-01,6.304181E-01,5.537367E-01,4.737388E-01,3.934984E-01,3.112190E-01,2.386496E-01,1.756708E-01,1.262061E-01,8.769329E-02,5.986077E-02,4.134438E-02,2.675989E-02,1.703166E-02,1.035347E-02,6.159784E-03,3.387986E-03,1.633389E-03,7.853291E-04,3.187960E-04,1.266304E-04,4.692520E-05,1.432815E-05,3.106767E-06,1.537998E-07
22.92953,40.64349,0.00000,9.287290E-01,9.021202E-01,8.662434E-01,8.205560E-01,7.653471E-01,7.015337E-01,6.304327E-01,5.537534E-01,4.737569E-01,3.935160E-01,3.112314E-01,2.386611E-01,1.756815E-01,1.262155E-01,8.770034E-02,5.986526E-02,4.134704E-02,2.676216E-02,1.703386E-02,1.035581E-02,6.162201E-03,3.388605E-03,1.633686E-03,7.854645E-04,3.188503E-04,1.270413E-04,4.712329E-05,1.441225E-05,3.136945E-06,1.608757E-07
22.92974,40.64338,0.00000,9.287302E-01,9.021222E-01,8.662465E-01,8.205594E-01,7.653506E-01,7.015375E-01,6.304366E-01,5.537565E-01,4.737600E-01,3.935196E-01,3.112447E-01,2.386733E-01,1.756929E-01,1.262211E-01,8.770795E-02,5.986980E-02,4.134975E-02,2.676451E-02,1.703619E-02,1.035834E-02,6.164819E-03,3.389257E-03,1.633998E-03,7.856051E-04,3.189068E-04,1.274770E-04,4.733336E-05,1.450149E-05,3.169316E-06,1.683946E-07
22.92994,40.64328,0.00000,9.287336E-01,9.021276E-01,8.662537E-01,8.205691E-01,7.653626E-01,7.015508E-01,6.304511E-01,5.537727E-01,4.737776E-01,3.935382E-01,3.112572E-01,2.386855E-01,1.757035E-01,1.262305E-01,8.771497E-02,5.987431E-02,4.135244E-02,2.676682E-02,1.703839E-02,1.036071E-02,6.167258E-03,3.389876E-03,1.634298E-03,7.857428E-04,3.189627E-04,1.278925E-04,4.753396E-05,1.458675E-05,3.200347E-06,1.755624E-07
22.93014,40.64317,0.00000,9.287375E-01,9.021335E-01,8.662615E-01,8.205791E-01,7.653747E-01,7.015647E-01,6.304676E-01,5.537894E-01,4.737957E-01,3.935560E-01,3.112704E-01,2.386974E-01,1.757146E-01,1.262399E-01,8.772226E-02,5.987874E-02,4.135513E-02,2.676907E-02,1.704064E-02,1.036319E-02,6.169865E-03,3.390505E-03,1.634596E-03,7.858761E-04,3.190161E-04,1.283141E-04,4.773730E-05,1.467335E-05,3.231678E-06,1.828573E-07
22.93034,40.64307,0.00000,9.287411E-01,9.021388E-01,8.662691E-01,8.205885E-01,7.653859E-01,7.015783E-01,6.304827E-01,5.538062E-01,4.738139E-01,3.935737E-01,3.112829E-01,2.387091E-01,1.757254E-01,1.262493E-01,8.772936E-02,5.988314E-02,4.135790E-02,2.677131E-02,1.704284E-02,1.036557E-02,6.172327E-03,3.391129E-03,1.634899E-03,7.860153E-04,3.190735E-04,1.287342E-04,4.794035E-05,1.475983E-05,3.263162E-06,1.901138E-07
