lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92611,40.64528,0.00000,3.962796E-01,3.680781E-01,3.404897E-01,3.136487E-01,2.881511E-01,2.654583E-01,2.428593E-01,2.204477E-01,1.992273E-01,1.791284E-01,1.602480E-01,1.426860E-01,1.264621E-01,1.121839E-01,9.866954E-02,8.698734E-02,7.518089E-02,6.555974E-02,5.753259E-02,4.983691E-02,4.318693E-02,3.731108E-02,3.195639E-02,2.704528E-02,2.277271E-02,1.907590E-02,1.593547E-02,1.327256E-02,1.130066E-02,9.585658E-03
22.92631,40.64517,0.00000,3.962895E-01,3.680879E-01,3.404994E-01,3.136585E-01,2.881623E-01,2.654694E-01,2.428685E-01,2.204567E-01,1.992358E-01,1.791364E-01,1.602555E-01,1.426930E-01,1.264686E-01,1.121910E-01,9.867510E-02,8.699421E-02,7.518557E-02,6.556373E-02,5.753637E-02,4.984029E-02,4.319118E-02,3.731506E-02,3.195861E-02,2.704722E-02,2.277438E-02,1.907737E-02,1.593839E-02,1.327551E-02,1.130345E-02,9.587809E-03
22.92651,40.64507,0.00000,3.962985E-01,3.680969E-01,3.405086E-01,3.136675E-01,2.881561E-01,2.654645E-01,2.428776E-01,2.204651E-01,1.992439E-01,1.791438E-01,1.602625E-01,1.426997E-01,1.264749E-01,1.121948E-01,9.868052E-02,8.700056E-02,7.518997E-02,6.556603E-02,5.753844E-02,4.984351E-02,4.319382E-02,3.731773E-02,3.196073E-02,2.704909E-02,2.277602E-02,1.907879E-02,1.594025E-02,1.327759E-02,1.130541E-02,9.589013E-03
22.92671,40.64496,0.00000,3.963085E-01,3.681070E-01,3.405185E-01,3.136772E-01,2.881656E-01,2.654741E-01,2.428866E-01,2.204739E-01,1.992526E-01,1.791516E-01,1.602701E-01,1.427068E-01,1.264814E-01,1.122015E-01,9.868582E-02,8.700708E-02,7.519466E-02,6.557008E-02,5.754215E-02,4.984684E-02,4.319809E-02,3.732179E-02,3.196294E-02,2.705102E-02,2.277770E-02,1.908026E-02,1.594318E-02,1.328057E-02,1.130821E-02,9.591186E-03
22.92691,40.64486,0.00000,3.963174E-01,3.681159E-01,3.405274E-01,3.136862E-01,2.881765E-01,2.654849E-01,2.428953E-01,2.204825E-01,1.992603E-01,1.791591E-01,1.602770E-01,1.427134E-01,1.264876E-01,1.122086E-01,9.869143E-02,8.701366E-02,7.519905E-02,6.557393E-02,5.754590E-02,4.985004E-02,4.320223E-02,3.732578E-02,3.196508E-02,2.705289E-02,2.277932E-02,1.908167E-02,1.594603E-02,1.328346E-02,1.131095E-02,9.593276E-03
22.92712,40.64475,0.00000,3.963274E-01,3.681259E-01,3.405374E-01,3.136960E-01,2.881886E-01,2.654960E-01,2.429045E-01,2.204915E-01,1.992687E-01,1.791670E-01,1.602847E-01,1.427206E-01,1.264943E-01,1.122160E-01,9.869671E-02,8.702046E-02,7.520371E-02,6.557810E-02,5.754981E-02,4.985346E-02,4.320676E-02,3.733002E-02,3.196735E-02,2.705488E-02,2.278106E-02,1.908320E-02,1.594910E-02,1.328657E-02,1.131389E-02,9.595539E-03
22.92732,40.64465,0.00000,3.963362E-01,3.681349E-01,3.405464E-01,3.137049E-01,2.882001E-01,2.655067E-01,2.429134E-01,2.204999E-01,1.992769E-01,1.791745E-01,1.602918E-01,1.427271E-01,1.265005E-01,1.122231E-01,9.870213E-02,8.702691E-02,7.520817E-02,6.558201E-02,5.755369E-02,4.985663E-02,4.321089E-02,3.733404E-02,3.196948E-02,2.705674E-02,2.278268E-02,1.908460E-02,1.595197E-02,1.328952E-02,1.131665E-02,9.597661E-03
22.92752,40.64454,0.00000,3.963461E-01,3.681450E-01,3.405564E-01,3.137147E-01,2.881877E-01,2.654954E-01,2.429225E-01,2.205083E-01,1.992852E-01,1.791825E-01,1.602992E-01,1.427342E-01,1.265071E-01,1.122234E-01,9.870772E-02,8.703358E-02,7.521275E-02,6.558353E-02,5.755544E-02,4.986000E-02,4.321372E-02,3.733699E-02,3.197173E-02,2.705870E-02,2.278438E-02,1.908608E-02,1.595498E-02,1.329257E-02,1.131952E-02,9.599866E-03
22.92772,40.64443,0.00000,3.963558E-01,3.681547E-01,3.405661E-01,3.137245E-01,2.881988E-01,2.655064E-01,2.429313E-01,2.205173E-01,1.992937E-01,1.791904E-01,1.603067E-01,1.427412E-01,1.265137E-01,1.122305E-01,9.871333E-02,8.704005E-02,7.521736E-02,6.558741E-02,5.755928E-02,4.986334E-02,4.321805E-02,3.734112E-02,3.197396E-02,2.706064E-02,2.278607E-02,1.908756E-02,1.595796E-02,1.329563E-02,1.132242E-02,9.602114E-03
22.92792,40.64433,0.00000,3.963650E-01,3.681639E-01,3.405753E-01,3.137335E-01,2.882104E-01,2.655171E-01,2.429402E-01,2.205257E-01,1.993013E-01,1.791979E-01,1.603137E-01,1.427479E-01,1.265199E-01,1.122377E-01,9.900368E-02,8.704653E-02,7.522172E-02,6.578318E-02,5.756310E-02,4.986656E-02,4.322223E-02,3.734512E-02,3.197610E-02,2.706253E-02,2.278771E-02,1.908899E-02,1.596087E-02,1.329862E-02,1.132521E-02,9.604272E-03
22.92812,40.64422,0.00000,3.996559E-01,3.712167E-01,3.433850E-01,3.163005E-01,2.900952E-01,2.655282E-01,2.436946E-01,2.221770E-01,2.007600E-01,1.805085E-01,1.614586E-01,1.437419E-01,1.273783E-01,1.123448E-01,9.924728E-02,8.705338E-02,7.566105E-02,6.578659E-02,5.756690E-02,5.015161E-02,4.322653E-02,3.734924E-02,3.214513E-02,2.720218E-02,2.290231E-02,1.918234E-02,1.598052E-02,1.330170E-02,1.132812E-02,9.606544E-03
22.92833,40.64412,0.00000,3.996654E-01,3.712264E-01,3.433948E-01,3.163102E-01,2.901047E-01,2.655325E-01,2.436989E-01,2.221858E-01,2.007687E-01,1.805162E-01,1.614659E-01,1.437490E-01,1.273848E-01,1.123510E-01,9.925199E-02,8.740700E-02,7.566578E-02,6.578954E-02,5.757028E-02,5.015498E-02,4.323070E-02,3.735324E-02,3.214739E-02,2.720415E-02,2.290403E-02,1.918386E-02,1.598181E-02,1.330482E-02,1.133108E-02,9.608806E-03
22.92853,40.64401,0.00000,3.996759E-01,3.712367E-01,3.434054E-01,3.163204E-01,2.901149E-01,2.655436E-01,2.437092E-01,2.221952E-01,2.007775E-01,1.805246E-01,1.614736E-01,1.437562E-01,1.273916E-01,1.123572E-01,9.925862E-02,8.741310E-02,7.567053E-02,6.579284E-02,5.757408E-02,5.015839E-02,4.323503E-02,3.735740E-02,3.214966E-02,2.720614E-02,2.290576E-02,1.918537E-02,1.598311E-02,1.330793E-02,1.133400E-02,9.611111E-03
22.92873,40.64391,0.00000,3.996855E-01,3.712462E-01,3.434148E-01,3.163300E-01,2.901242E-01,2.655540E-01,2.437197E-01,2.222042E-01,2.007856E-01,1.805323E-01,1.614810E-01,1.437630E-01,1.273981E-01,1.123630E-01,9.926508E-02,8.741932E-02,7.567494E-02,6.579579E-02,5.757783E-02,5.016166E-02,4.323931E-02,3.736138E-02,3.215184E-02,2.720805E-02,2.290742E-02,1.918682E-02,1.598437E-02,1.331098E-02,1.133688E-02,9.613323E-03
22.92893,40.64380,0.00000,3.996961E-01,3.712567E-01,3.434252E-01,3.163401E-01,2.901343E-01,2.656940E-01,2.438491E-01,2.222135E-01,2.007944E-01,1.805404E-01,1.614886E-01,1.437702E-01,1.274049E-01,1.123694E-01,9.927893E-02,8.743075E-02,7.567956E-02,6.579912E-02,5.760617E-02,5.016510E-02,4.325066E-02,3.737073E-02,3.215414E-02,2.721004E-02,2.290915E-02,1.918832E-02,1.598568E-02,1.331413E-02,1.133984E-02,9.615997E-03
22.92913,40.64370,0.00000,3.997056E-01,3.712664E-01,3.434349E-01,3.163496E-01,2.901436E-01,2.657049E-01,2.438595E-01,2.222221E-01,2.008028E-01,1.805482E-01,1.614959E-01,1.437772E-01,1.274113E-01,1.123754E-01,9.928530E-02,8.743661E-02,7.568406E-02,6.580222E-02,5.761012E-02,5.016840E-02,4.325495E-02,3.737478E-02,3.215633E-02,2.721196E-02,2.291083E-02,1.918980E-02,1.598694E-02,1.331720E-02,1.134273E-02,9.618250E-03
22.92933,40.64359,0.00000,3.997161E-01,3.712767E-01,3.434453E-01,3.163600E-01,2.901537E-01,2.657157E-01,2.438700E-01,2.222314E-01,2.008116E-01,1.805563E-01,1.615037E-01,1.437844E-01,1.274181E-01,1.123816E-01,9.929191E-02,8.744290E-02,7.568852E-02,6.580555E-02,5.761392E-02,5.017184E-02,4.325930E-02,3.737895E-02,3.215859E-02,2.721395E-02,2.291255E-02,1.919132E-02,1.598826E-02,1.332036E-02,1.134573E-02,9.620625E-03
22.92953,40.64349,0.00000,3.997256E-01,3.712864E-01,3.434547E-01,3.163694E-01,2.901632E-01,2.657266E-01,2.438802E-01,2.222398E-01,2.008199E-01,1.805641E-01,1.615109E-01,1.437911E-01,1.274245E-01,1.123876E-01,9.929821E-02,8.744887E-02,7.569307E-02,6.580862E-02,5.761772E-02,5.017510E-02,4.326354E-02,3.738300E-02,3.216078E-02,2.721586E-02,2.291423E-02,1.919278E-02,1.598952E-02,1.332345E-02,1.134865E-02,9.622895E-03
22.92974,40.64338,0.00000,3.997362E-01,3.712969E-01,3.434653E-01,3.163796E-01,2.901732E-01,2.657088E-01,2.438615E-01,2.222497E-01,2.008289E-01,1.805726E-01,1.615189E-01,1.437986E-01,1.274313E-01,1.123940E-01,9.929565E-02,8.744638E-02,7.569814E-02,6.581192E-02,5.761348E-02,5.017862E-02,4.325989E-02,3.738021E-02,3.216314E-02,2.721793E-02,2.291602E-02,1.919434E-02,1.599087E-02,1.332662E-02,1.135168E-02,9.624703E-03
22.92994,40.64328,0.00000,3.997458E-01,3.713065E-01,3.434750E-01,3.163892E-01,2.901828E-01,2.657192E-01,2.438718E-01,2.222583E-01,2.008371E-01,1.805801E-01,1.615262E-01,1.438054E-01,1.274378E-01,1.124000E-01,9.930214E-02,8.745234E-02,7.570266E-02,6.581509E-02,5.761729E-02,5.018192E-02,4.326420E-02,3.738428E-02,3.216533E-02,2.721986E-02,2.291771E-02,1.919581E-02,1.599215E-02,1.332974E-02,1.135466E-02,9.627025E-03
22.93014,40.64317,0.00000,3.997563E-01,3.713169E-01,3.434853E-01,3.163995E-01,2.901928E-01,2.657301E-01,2.438822E-01,2.222673E-01,2.008461E-01,1.805883E-01,1.615339E-01,1.438126E-01,1.274446E-01,1.124064E-01,9.930863E-02,8.745859E-02,7.570726E-02,6.581837E-02,5.762108E-02,5.018537E-02,4.326859E-02,3.738847E-02,3.216761E-02,2.722185E-02,2.291946E-02,1.919734E-02,1.599421E-02,1.333299E-02,1.135770E-02,9.629439E-03
