lon,lat,PGV,PGA
22.92611,40.64528,1.000000E+01,3.636417E-01
22.92631,40.64517,1.000000E+01,3.636667E-01
22.92651,40.64507,1.000000E+01,3.636920E-01
22.92671,40.64496,1.000000E+01,3.637172E-01
22.92691,40.64486,1.000000E+01,3.637426E-01
22.92712,40.64475,1.000000E+01,3.637694E-01
22.92732,40.64465,1.000000E+01,3.637953E-01
22.92752,40.64454,1.000000E+01,3.638209E-01
22.92772,40.64443,1.000000E+01,3.638468E-01
22.92792,40.64433,1.000000E+01,3.638728E-01
22.92812,40.64422,1.000000E+01,3.638988E-01
22.92833,40.64412,1.000000E+01,3.639462E-01
22.92853,40.64401,1.000000E+01,3.639724E-01
22.92873,40.64391,1.000000E+01,3.639989E-01
22.92893,40.64380,1.000000E+01,3.640253E-01
22.92913,40.64370,1.000000E+01,3.640521E-01
22.92933,40.64359,1.000000E+01,3.640788E-01
22.92953,40.64349,1.000000E+01,3.641061E-01
22.92974,40.64338,1.000000E+01,3.641346E-01
22.92994,40.64328,1.000000E+01,3.641621E-01
22.93014,40.64317,1.000000E+01,3.641894E-01
22.93034,40.64307,1.000000E+01,3.642172E-01
22.93054,40.64296,1.000000E+01,3.642446E-01
22.93074,40.64286,1.000000E+01,3.642725E-01
22.93094,40.64275,1.000000E+01,3.643002E-01
22.93115,40.64265,1.000000E+01,3.643299E-01
22.93135,40.64254,1.000000E+01,3.643529E-01
22.93155,40.64244,1.000000E+01,3.643812E-01
22.93175,40.64233,1.000000E+01,3.644092E-01
22.93195,40.64222,1.000000E+01,3.644375E-01
22.93215,40.64212,1.000000E+01,3.644662E-01
22.93235,40.64201,1.000000E+01,3.644946E-01
22.93256,40.64191,1.000000E+01,3.645252E-01
22.93276,40.64180,1.000000E+01,3.645539E-01
22.93296,40.64170,1.000000E+01,3.645830E-01
22.93316,40.64159,1.000000E+01,3.530013E-01
22.93336,40.64149,1.000000E+01,3.544755E-01
22.93356,40.64139,1.000000E+01,3.545137E-01
22.93377,40.64128,1.000000E+01,3.545540E-01
22.93397,40.64118,1.000000E+01,3.545924E-01
22.93417,40.64107,1.000000E+01,3.546313E-01
22.93437,40.64097,1.000000E+01,3.546700E-01
22.93457,40.64086,1.000000E+01,3.547092E-01
22.93477,40.64076,1.000000E+01,3.547481E-01
22.93497,40.64065,1.000000E+01,3.547875E-01
22.93518,40.64055,1.000000E+01,3.548286E-01
22.93538,40.64044,1.000000E+01,3.548683E-01
22.93558,40.64034,1.000000E+01,3.549079E-01
22.93578,40.64023,1.000000E+01,3.549476E-01
22.93598,40.64013,1.000000E+01,3.549873E-01
22.93618,40.64002,1.000000E+01,3.550276E-01
22.93639,40.63992,1.000000E+01,3.550695E-01
22.93659,40.63981,1.000000E+01,3.551099E-01
22.93679,40.63971,1.000000E+01,3.551499E-01
22.93699,40.63960,1.000000E+01,3.551905E-01
22.93719,40.63950,1.000000E+01,3.552309E-01
22.93739,40.63939,1.000000E+01,3.552715E-01
22.93759,40.63928,1.000000E+01,3.553122E-01
22.93780,40.63918,1.000000E+01,3.553547E-01
22.93800,40.63907,1.000000E+01,3.553956E-01
22.93820,40.63897,1.000000E+01,3.554361E-01
22.93840,40.63886,1.000000E+01,3.554771E-01
22.93860,40.63876,1.000000E+01,3.555178E-01
22.93880,40.63865,1.000000E+01,3.555589E-01
22.93900,40.63855,1.000000E+01,3.555999E-01
22.93921,40.63844,1.000000E+01,3.556430E-01
22.93941,40.63834,1.000000E+01,3.556841E-01
22.93961,40.63823,1.000000E+01,3.557253E-01
22.93981,40.63813,1.000000E+01,3.559348E-01
22.94001,40.63802,1.000000E+01,3.561646E-01
22.94021,40.63792,1.000000E+01,3.563909E-01
22.94042,40.63781,1.000000E+01,3.566318E-01
22.94062,40.63771,1.000000E+01,3.568599E-01
22.94082,40.63760,1.000000E+01,3.570936E-01
22.94102,40.63750,1.000000E+01,3.573237E-01
22.94122,40.63739,1.000000E+01,3.575592E-01
22.94142,40.63729,1.000000E+01,3.577909E-01
22.94162,40.63718,1.000000E+01,3.580282E-01
22.94183,40.63708,1.000000E+01,3.410912E-01
22.94203,40.63697,1.000000E+01,3.412918E-01
22.94223,40.63686,1.000000E+01,3.414934E-01
22.94243,40.63675,1.000000E+01,3.416961E-01
22.94263,40.63664,1.000000E+01,3.419001E-01
22.94283,40.63653,1.000000E+01,3.421051E-01
22.94303,40.63642,1.000000E+01,3.423112E-01
22.94323,40.63631,1.000000E+01,3.425185E-01
22.94343,40.63620,1.000000E+01,3.427269E-01
22.94363,40.63610,1.000000E+01,3.429327E-01
22.94383,40.63599,1.000000E+01,3.431433E-01
22.94403,40.63588,1.000000E+01,3.433549E-01
22.94423,40.63578,1.000000E+01,3.435637E-01
22.94443,40.63567,1.000000E+01,3.437775E-01
22.94463,40.63557,1.000000E+01,3.439884E-01
22.94484,40.63546,1.000000E+01,3.441957E-01
22.94504,40.63535,1.000000E+01,3.442313E-01
22.94524,40.63525,1.000000E+01,3.442675E-01
22.94544,40.63514,1.000000E+01,3.443034E-01
22.94564,40.63503,1.000000E+01,3.443393E-01
22.94584,40.63493,1.000000E+01,3.443756E-01
22.94604,40.63482,1.000000E+01,3.444115E-01
22.94624,40.63471,1.000000E+01,3.444476E-01
22.94644,40.63461,1.000000E+01,3.444839E-01
22.94665,40.63450,1.000000E+01,3.445224E-01
22.94685,40.63440,1.000000E+01,3.445588E-01
22.94705,40.63430,1.000000E+01,3.445957E-01
22.94725,40.63419,1.000000E+01,3.446317E-01
22.94745,40.63409,1.000000E+01,3.446684E-01
22.94766,40.63399,1.000000E+01,3.447078E-01
22.94786,40.63388,1.000000E+01,3.447440E-01
22.94806,40.63378,1.000000E+01,3.447808E-01
22.94826,40.63368,1.000000E+01,3.448178E-01
22.94846,40.63357,1.000000E+01,3.448544E-01
22.94867,40.63347,1.000000E+01,3.448935E-01
22.94887,40.63336,1.000000E+01,3.449301E-01
