lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,1.000000E+01,1.000000E+01,1.000000E+01,6.192942E-01,3.636417E-01,1.728979E-01
22.92631,40.64517,1.000000E+01,1.000000E+01,1.000000E+01,6.194122E-01,3.636667E-01,1.729275E-01
22.92651,40.64507,1.000000E+01,1.000000E+01,1.000000E+01,6.195297E-01,3.636920E-01,1.729551E-01
22.92671,40.64496,1.000000E+01,1.000000E+01,1.000000E+01,6.196485E-01,3.637172E-01,1.729851E-01
22.92691,40.64486,1.000000E+01,1.000000E+01,1.000000E+01,6.197668E-01,3.637426E-01,1.730137E-01
22.92712,40.64475,1.000000E+01,1.000000E+01,1.000000E+01,6.198918E-01,3.637694E-01,1.730448E-01
22.92732,40.64465,1.000000E+01,1.000000E+01,1.000000E+01,6.200106E-01,3.637953E-01,1.730737E-01
22.92752,40.64454,1.000000E+01,1.000000E+01,1.000000E+01,6.201296E-01,3.638209E-01,1.731046E-01
22.92772,40.64443,1.000000E+01,1.000000E+01,1.000000E+01,6.202499E-01,3.638468E-01,1.731356E-01
22.92792,40.64433,1.000000E+01,1.000000E+01,1.000000E+01,6.203697E-01,3.638728E-01,1.731652E-01
22.92812,40.64422,1.000000E+01,1.000000E+01,1.000000E+01,6.204903E-01,3.638988E-01,1.731966E-01
22.92833,40.64412,1.000000E+01,1.000000E+01,1.000000E+01,6.205976E-01,3.639462E-01,1.732270E-01
22.92853,40.64401,1.000000E+01,1.000000E+01,1.000000E+01,6.206295E-01,3.639724E-01,1.732588E-01
22.92873,40.64391,1.000000E+01,1.000000E+01,1.000000E+01,6.206625E-01,3.639989E-01,1.732891E-01
22.92893,40.64380,1.000000E+01,1.000000E+01,1.000000E+01,6.206948E-01,3.640253E-01,1.733211E-01
22.92913,40.64370,1.000000E+01,1.000000E+01,1.000000E+01,6.207291E-01,3.640521E-01,1.733517E-01
22.92933,40.64359,1.000000E+01,1.000000E+01,1.000000E+01,6.207620E-01,3.640788E-01,1.733842E-01
22.92953,40.64349,1.000000E+01,1.000000E+01,1.000000E+01,6.207974E-01,3.641061E-01,1.734151E-01
22.92974,40.64338,1.000000E+01,1.000000E+01,1.000000E+01,6.208341E-01,3.641346E-01,1.734486E-01
22.92994,40.64328,1.000000E+01,1.000000E+01,1.000000E+01,6.208702E-01,3.641621E-01,1.734799E-01
22.93014,40.64317,1.000000E+01,1.000000E+01,1.000000E+01,6.209049E-01,3.641894E-01,1.735131E-01
22.93034,40.64307,1.000000E+01,1.000000E+01,1.000000E+01,6.209421E-01,3.642172E-01,1.735446E-01
22.93054,40.64296,1.000000E+01,1.000000E+01,1.000000E+01,6.209773E-01,3.642446E-01,1.735781E-01
22.93074,40.64286,1.000000E+01,1.000000E+01,1.000000E+01,6.210148E-01,3.642725E-01,1.736101E-01
22.93094,40.64275,1.000000E+01,1.000000E+01,1.000000E+01,6.210511E-01,3.643002E-01,1.736442E-01
22.93115,40.64265,1.000000E+01,1.000000E+01,1.000000E+01,6.210918E-01,3.643299E-01,1.736772E-01
22.93135,40.64254,1.000000E+01,1.000000E+01,1.000000E+01,6.211289E-01,3.643529E-01,1.737115E-01
22.93155,40.64244,1.000000E+01,1.000000E+01,1.000000E+01,6.211683E-01,3.643812E-01,1.737442E-01
22.93175,40.64233,1.000000E+01,1.000000E+01,1.000000E+01,6.212065E-01,3.644092E-01,1.737788E-01
22.93195,40.64222,1.000000E+01,1.000000E+01,1.000000E+01,6.212448E-01,3.644375E-01,1.738138E-01
22.93215,40.64212,1.000000E+01,1.000000E+01,1.000000E+01,6.212851E-01,3.644662E-01,1.738469E-01
22.93235,40.64201,1.000000E+01,1.000000E+01,1.000000E+01,6.213239E-01,3.644946E-01,1.738822E-01
22.93256,40.64191,1.000000E+01,1.000000E+01,1.000000E+01,6.213678E-01,3.645252E-01,1.739165E-01
22.93276,40.64180,1.000000E+01,1.000000E+01,1.000000E+01,6.214077E-01,3.645539E-01,1.739520E-01
22.93296,40.64170,1.000000E+01,1.000000E+01,1.000000E+01,6.214498E-01,3.645830E-01,1.739861E-01
22.93316,40.64159,1.000000E+01,1.000000E+01,1.000000E+01,6.030537E-01,3.530013E-01,1.689957E-01
22.93336,40.64149,1.000000E+01,1.000000E+01,1.000000E+01,6.054194E-01,3.544755E-01,1.696639E-01
22.93356,40.64139,1.000000E+01,1.000000E+01,1.000000E+01,6.057636E-01,3.545137E-01,1.696971E-01
22.93377,40.64128,1.000000E+01,1.000000E+01,1.000000E+01,6.061770E-01,3.545540E-01,1.697332E-01
22.93397,40.64118,1.000000E+01,1.000000E+01,1.000000E+01,6.065720E-01,3.545924E-01,1.697668E-01
22.93417,40.64107,1.000000E+01,1.000000E+01,1.000000E+01,6.069751E-01,3.546313E-01,1.698023E-01
22.93437,40.64097,1.000000E+01,1.000000E+01,1.000000E+01,6.073770E-01,3.546700E-01,1.698363E-01
22.93457,40.64086,1.000000E+01,1.000000E+01,1.000000E+01,6.077871E-01,3.547092E-01,1.698722E-01
