lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.92611,40.64528,6.192942E-01,3.636417E-01,1.728979E-01
22.92631,40.64517,6.194122E-01,3.636667E-01,1.729275E-01
22.92651,40.64507,6.195297E-01,3.636920E-01,1.729551E-01
22.92671,40.64496,6.196485E-01,3.637172E-01,1.729851E-01
22.92691,40.64486,6.197668E-01,3.637426E-01,1.730137E-01
22.92712,40.64475,6.198918E-01,3.637694E-01,1.730448E-01
22.92732,40.64465,6.200106E-01,3.637953E-01,1.730737E-01
22.92752,40.64454,6.201296E-01,3.638209E-01,1.731046E-01
22.92772,40.64443,6.202499E-01,3.638468E-01,1.731356E-01
22.92792,40.64433,6.203697E-01,3.638728E-01,1.731652E-01
22.92812,40.64422,6.204903E-01,3.638988E-01,1.731966E-01
22.92833,40.64412,6.205976E-01,3.639462E-01,1.732270E-01
22.92853,40.64401,6.206295E-01,3.639724E-01,1.732588E-01
22.92873,40.64391,6.206625E-01,3.639989E-01,1.732891E-01
22.92893,40.64380,6.206948E-01,3.640253E-01,1.733211E-01
22.92913,40.64370,6.207291E-01,3.640521E-01,1.733517E-01
22.92933,40.64359,6.207620E-01,3.640788E-01,1.733842E-01
22.92953,40.64349,6.207974E-01,3.641061E-01,1.734151E-01
22.92974,40.64338,6.208341E-01,3.641346E-01,1.734486E-01
22.92994,40.64328,6.208702E-01,3.641621E-01,1.734799E-01
22.93014,40.64317,6.209049E-01,3.641894E-01,1.735131E-01
22.93034,40.64307,6.209421E-01,3.642172E-01,1.735446E-01
22.93054,40.64296,6.209773E-01,3.642446E-01,1.735781E-01
22.93074,40.64286,6.210148E-01,3.642725E-01,1.736101E-01
22.93094,40.64275,6.210511E-01,3.643002E-01,1.736442E-01
22.93115,40.64265,6.210918E-01,3.643299E-01,1.736772E-01
22.93135,40.64254,6.211289E-01,3.643529E-01,1.737115E-01
22.93155,40.64244,6.211683E-01,3.643812E-01,1.737442E-01
22.93175,40.64233,6.212065E-01,3.644092E-01,1.737788E-01
22.93195,40.64222,6.212448E-01,3.644375E-01,1.738138E-01
22.93215,40.64212,6.212851E-01,3.644662E-01,1.738469E-01
22.93235,40.64201,6.213239E-01,3.644946E-01,1.738822E-01
22.93256,40.64191,6.213678E-01,3.645252E-01,1.739165E-01
22.93276,40.64180,6.214077E-01,3.645539E-01,1.739520E-01
22.93296,40.64170,6.214498E-01,3.645830E-01,1.739861E-01
22.93316,40.64159,6.030537E-01,3.530013E-01,1.689957E-01
22.93336,40.64149,6.054194E-01,3.544755E-01,1.696639E-01
22.93356,40.64139,6.057636E-01,3.545137E-01,1.696971E-01
22.93377,40.64128,6.061770E-01,3.545540E-01,1.697332E-01
22.93397,40.64118,6.065720E-01,3.545924E-01,1.697668E-01
22.93417,40.64107,6.069751E-01,3.546313E-01,1.698023E-01
22.93437,40.64097,6.073770E-01,3.546700E-01,1.698363E-01
22.93457,40.64086,6.077871E-01,3.547092E-01,1.698722E-01
22.93477,40.64076,6.081960E-01,3.547481E-01,1.699065E-01
22.93497,40.64065,6.086131E-01,3.547875E-01,1.699426E-01
22.93518,40.64055,6.090475E-01,3.548286E-01,1.699780E-01
22.93538,40.64044,6.094723E-01,3.548683E-01,1.700145E-01
22.93558,40.64034,6.098958E-01,3.549079E-01,1.700493E-01
22.93578,40.64023,6.103280E-01,3.549476E-01,1.700862E-01
22.93598,40.64013,6.107586E-01,3.549873E-01,1.701213E-01
22.93618,40.64002,6.111983E-01,3.550276E-01,1.701583E-01
22.93639,40.63992,6.116557E-01,3.550695E-01,1.701947E-01
22.93659,40.63981,6.121030E-01,3.551099E-01,1.702321E-01
22.93679,40.63971,6.125485E-01,3.551499E-01,1.702678E-01
22.93699,40.63960,6.130035E-01,3.551905E-01,1.703055E-01
22.93719,40.63950,6.134566E-01,3.552309E-01,1.703415E-01
22.93739,40.63939,6.139194E-01,3.552715E-01,1.703794E-01
22.93759,40.63928,6.143860E-01,3.553122E-01,1.704174E-01
22.93780,40.63918,6.148710E-01,3.553547E-01,1.704548E-01
22.93800,40.63907,6.153458E-01,3.553956E-01,1.704932E-01
22.93820,40.63897,6.158191E-01,3.554361E-01,1.705300E-01
22.93840,40.63886,6.162384E-01,3.554771E-01,1.705686E-01
22.93860,40.63876,6.162947E-01,3.555178E-01,1.706056E-01
22.93880,40.63865,6.163490E-01,3.555589E-01,1.706444E-01
22.93900,40.63855,6.164057E-01,3.555999E-01,1.706817E-01
22.93921,40.63844,6.164646E-01,3.556430E-01,1.707218E-01
22.93941,40.63834,6.167498E-01,3.556841E-01,1.707592E-01
22.93961,40.63823,6.172724E-01,3.557253E-01,1.707983E-01
22.93981,40.63813,6.177886E-01,3.559348E-01,1.708362E-01
22.94001,40.63802,6.183210E-01,3.561646E-01,1.708756E-01
22.94021,40.63792,6.188467E-01,3.563909E-01,1.709135E-01
22.94042,40.63781,6.194099E-01,3.566318E-01,1.709543E-01
22.94062,40.63771,6.199453E-01,3.568599E-01,1.709925E-01
22.94082,40.63760,6.204976E-01,3.570936E-01,1.710324E-01
22.94102,40.63750,6.210430E-01,3.573237E-01,1.710708E-01
22.94122,40.63739,6.216053E-01,3.575592E-01,1.711108E-01
22.94142,40.63729,6.221606E-01,3.577909E-01,1.711494E-01
22.94162,40.63718,6.227332E-01,3.580282E-01,1.711897E-01
22.94183,40.63708,5.861753E-01,3.410912E-01,1.611229E-01
22.94203,40.63697,5.866224E-01,3.412918E-01,1.611599E-01
22.94223,40.63686,5.870739E-01,3.414934E-01,1.611971E-01
22.94243,40.63675,5.875290E-01,3.416961E-01,1.612345E-01
22.94263,40.63664,5.879891E-01,3.419001E-01,1.612716E-01
22.94283,40.63653,5.884530E-01,3.421051E-01,1.613089E-01
22.94303,40.63642,5.889211E-01,3.423112E-01,1.613463E-01
22.94323,40.63631,5.893937E-01,3.425185E-01,1.613837E-01
22.94343,40.63620,5.898702E-01,3.427269E-01,1.614213E-01
22.94363,40.63610,5.903417E-01,3.429327E-01,1.614572E-01
22.94383,40.63599,5.908270E-01,3.431433E-01,1.614948E-01
22.94403,40.63588,5.913166E-01,3.433549E-01,1.615323E-01
22.94423,40.63578,5.918007E-01,3.435637E-01,1.615685E-01
22.94443,40.63567,5.922990E-01,3.437775E-01,1.616063E-01
22.94463,40.63557,5.927912E-01,3.439884E-01,1.616426E-01
22.94484,40.63546,5.933179E-01,3.441957E-01,1.616813E-01
22.94504,40.63535,5.938299E-01,3.442313E-01,1.617191E-01
22.94524,40.63525,5.944502E-01,3.442675E-01,1.617553E-01
22.94544,40.63514,5.951802E-01,3.443034E-01,1.617932E-01
22.94564,40.63503,5.959119E-01,3.443393E-01,1.618309E-01
22.94584,40.63493,5.966297E-01,3.443756E-01,1.618674E-01
22.94604,40.63482,5.973647E-01,3.444115E-01,1.619051E-01
22.94624,40.63471,5.981022E-01,3.444476E-01,1.619430E-01
22.94644,40.63461,5.987972E-01,3.444839E-01,1.619793E-01
22.94665,40.63450,5.995243E-01,3.445224E-01,1.620182E-01
