sids,lon,lat,depth,vs30,vs30measured,region,xvf,slope,geology
0,22.92611,40.64528,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
1,22.92631,40.64517,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
2,22.92651,40.64507,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
3,22.92671,40.64496,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
4,22.92691,40.64486,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
5,22.92712,40.64475,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
6,22.92732,40.64465,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
7,22.92752,40.64454,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
8,22.92772,40.64443,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
9,22.92792,40.64433,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
10,22.92812,40.64422,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
11,22.92833,40.64412,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
12,22.92853,40.64401,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
13,22.92873,40.64391,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
14,22.92893,40.64380,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
15,22.92913,40.64370,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
16,22.92933,40.64359,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
17,22.92953,40.64349,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
18,22.92974,40.64338,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
19,22.92994,40.64328,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
20,22.93014,40.64317,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
21,22.93034,40.64307,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
22,22.93054,40.64296,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
23,22.93074,40.64286,0.00000,3.87833E+02,0,2,-1.50000E+02,2.37805E-02,UNKNOWN
