lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.331759E-01,9.091460E-01,8.766492E-01,8.345433E-01,7.822928E-01,7.201548E-01,6.493188E-01,5.718975E-01,4.908100E-01,4.095496E-01,3.317158E-01,2.605074E-01,1.982898E-01,1.463206E-01,1.047319E-01,7.276860E-02,4.911437E-02,3.221285E-02,2.053024E-02,1.270653E-02,7.627411E-03,4.430958E-03,2.483665E-03,1.336921E-03,6.869168E-04,3.338864E-04,1.520348E-04,6.395151E-05,2.446547E-05,8.267500E-06
22.92631,40.64517,0.00000,9.333148E-01,9.093383E-01,8.769041E-01,8.348666E-01,7.826861E-01,7.206131E-01,6.498308E-01,5.724458E-01,4.913721E-01,4.101011E-01,3.322328E-01,2.609699E-01,1.986850E-01,1.466435E-01,1.049849E-01,7.295926E-02,4.925291E-02,3.231026E-02,2.059674E-02,1.275071E-02,7.656030E-03,4.449027E-03,2.494765E-03,1.343541E-03,6.907209E-04,3.359845E-04,1.531216E-04,6.448154E-05,2.470041E-05,8.361801E-06
22.92651,40.64507,0.00000,9.333795E-01,9.094313E-01,8.770365E-01,8.350491E-01,7.829254E-01,7.209091E-01,6.501749E-01,5.728226E-01,4.917630E-01,4.104870E-01,3.325955E-01,2.612955E-01,1.989649E-01,1.468732E-01,1.051648E-01,7.309465E-02,4.935103E-02,3.237891E-02,2.064349E-02,1.278177E-02,7.676216E-03,4.461857E-03,2.502727E-03,1.348350E-03,6.935220E-04,3.375512E-04,1.539447E-04,6.488932E-05,2.488341E-05,8.436386E-06
22.92671,40.64496,0.00000,9.334311E-01,9.095028E-01,8.771314E-01,8.351696E-01,7.830718E-01,7.210796E-01,6.503659E-01,5.730275E-01,4.919734E-01,4.106940E-01,3.327901E-01,2.614700E-01,1.991141E-01,1.469956E-01,1.052608E-01,7.316702E-02,4.940366E-02,3.241602E-02,2.066901E-02,1.279898E-02,7.687621E-03,4.469287E-03,2.507471E-03,1.351306E-03,6.953017E-04,3.385780E-04,1.545001E-04,6.517250E-05,2.501319E-05,8.490934E-06
22.92691,40.64486,0.00000,9.334405E-01,9.095160E-01,8.771489E-01,8.351919E-01,7.830990E-01,7.211115E-01,6.504015E-01,5.730661E-01,4.920133E-01,4.107338E-01,3.328279E-01,2.615044E-01,1.991440E-01,1.470202E-01,1.052803E-01,7.318168E-02,4.941440E-02,3.242371E-02,2.067454E-02,1.280299E-02,7.690585E-03,4.471479E-03,2.509073E-03,1.352442E-03,6.960710E-04,3.390689E-04,1.547890E-04,6.533130E-05,2.508990E-05,8.525254E-06
22.92712,40.64475,0.00000,9.334140E-01,9.094795E-01,8.771006E-01,8.351307E-01,7.830245E-01,7.210246E-01,6.503046E-01,5.729625E-01,4.919077E-01,4.106307E-01,3.327319E-01,2.614193E-01,1.990718E-01,1.469614E-01,1.052343E-01,7.314707E-02,4.938929E-02,3.240624E-02,2.066296E-02,1.279577E-02,7.686405E-03,4.469284E-03,2.508068E-03,1.352089E-03,6.960227E-04,3.391320E-04,1.548680E-04,6.539320E-05,2.512552E-05,8.544081E-06
22.92732,40.64465,0.00000,9.333595E-01,9.094041E-01,8.770007E-01,8.350039E-01,7.828702E-01,7.208451E-01,6.501041E-01,5.727483E-01,4.916885E-01,4.104164E-01,3.325319E-01,2.612410E-01,1.989198E-01,1.468376E-01,1.051374E-01,7.307406E-02,4.933629E-02,3.236921E-02,2.063806E-02,1.277975E-02,7.676580E-03,4.463573E-03,2.504941E-03,1.350496E-03,6.952794E-04,3.388227E-04,1.547590E-04,6.536611E-05,2.512268E-05,8.547912E-06
22.92752,40.64454,0.00000,9.332858E-01,9.093024E-01,8.768660E-01,8.348328E-01,7.826623E-01,7.206029E-01,6.498334E-01,5.724588E-01,4.913926E-01,4.101272E-01,3.322623E-01,2.610010E-01,1.987158E-01,1.466714E-01,1.050075E-01,7.297636E-02,4.926547E-02,3.231968E-02,2.060472E-02,1.275820E-02,7.663245E-03,4.455703E-03,2.500536E-03,1.348172E-03,6.941342E-04,3.383014E-04,1.545446E-04,6.528995E-05,2.509876E-05,8.543675E-06
22.92772,40.64443,0.00000,9.332054E-01,9.091913E-01,8.767188E-01,8.346459E-01,7.824351E-01,7.203381E-01,6.495379E-01,5.721425E-01,4.910689E-01,4.098104E-01,3.319663E-01,2.607370E-01,1.984908E-01,1.464877E-01,1.048638E-01,7.286809E-02,4.918685E-02,3.226463E-02,2.056763E-02,1.273417E-02,7.648331E-03,4.446863E-03,2.495551E-03,1.345514E-03,6.928048E-04,3.376829E-04,1.542818E-04,6.519142E-05,2.506520E-05,8.535743E-06
22.92792,40.64433,0.00000,9.333568E-01,9.093104E-01,8.767971E-01,8.346757E-01,7.824103E-01,7.202563E-01,6.494008E-01,5.719578E-01,4.908483E-01,4.095704E-01,3.317242E-01,2.605088E-01,1.982882E-01,1.463175E-01,1.047276E-01,7.276385E-02,4.911035E-02,3.221071E-02,2.053108E-02,1.271041E-02,7.633548E-03,4.438082E-03,2.490592E-03,1.342864E-03,6.914786E-04,3.370649E-04,1.540193E-04,6.509305E-05,2.503180E-05,8.527843E-06
22.92812,40.64422,0.00000,9.341941E-01,9.102139E-01,8.777614E-01,8.356816E-01,7.834241E-01,7.212315E-01,6.502857E-01,5.727049E-01,4.914268E-01,4.099710E-01,3.319618E-01,2.606158E-01,1.983046E-01,1.462811E-01,1.046687E-01,7.270206E-02,4.905633E-02,3.216844E-02,2.050060E-02,1.268988E-02,7.620530E-03,4.430306E-03,2.486213E-03,1.340550E-03,6.903395E-04,3.365491E-04,1.538078E-04,6.501883E-05,2.500853E-05,8.523889E-06
22.92833,40.64412,0.00000,9.341787E-01,9.101876E-01,8.777229E-01,8.356299E-01,7.833586E-01,7.211515E-01,6.501907E-01,5.725943E-01,4.913022E-01,4.098358E-01,3.318220E-01,2.604790E-01,1.981779E-01,1.461703E-01,1.045767E-01,7.262936E-02,4.900150E-02,3.212899E-02,2.047349E-02,1.267213E-02,7.609500E-03,4.423820E-03,2.482622E-03,1.338695E-03,6.894590E-04,3.361749E-04,1.536681E-04,6.497953E-05,2.500066E-05,8.526115E-06
22.92853,40.64401,0.00000,9.341272E-01,9.101164E-01,8.776284E-01,8.355100E-01,7.832127E-01,7.209815E-01,6.500005E-01,5.723910E-01,4.910941E-01,4.096324E-01,3.316323E-01,2.603101E-01,1.980343E-01,1.460532E-01,1.044851E-01,7.256046E-02,4.895151E-02,3.209409E-02,2.045010E-02,1.265715E-02,7.600383E-03,4.418582E-03,2.479804E-03,1.337295E-03,6.888310E-04,3.359328E-04,1.535930E-04,6.496938E-05,2.500493E-05,8.532769E-06
22.92873,40.64391,0.00000,9.340839E-01,9.100565E-01,8.775491E-01,8.354093E-01,7.830901E-01,7.208386E-01,6.498411E-01,5.722207E-01,4.909200E-01,4.094624E-01,3.314737E-01,2.601692E-01,1.979143E-01,1.459556E-01,1.044089E-01,7.250309E-02,4.890996E-02,3.206510E-02,2.043072E-02,1.264480E-02,7.592930E-03,4.414361E-03,2.477588E-03,1.336238E-03,6.883916E-04,3.357900E-04,1.535675E-04,6.498238E-05,2.501943E-05,8.543293E-06
22.92893,40.64380,0.00000,9.340557E-01,9.100171E-01,8.774962E-01,8.353418E-01,7.830074E-01,7.207412E-01,6.497301E-01,5.720991E-01,4.907923E-01,4.093337E-01,3.313498E-01,2.600555E-01,1.978153E-01,1.458731E-01,1.043432E-01,7.245300E-02,4.887329E-02,3.203939E-02,2.041352E-02,1.263389E-02,7.586405E-03,4.410733E-03,2.475738E-03,1.335399E-03,6.880770E-04,3.357160E-04,1.535768E-04,6.501171E-05,2.504154E-05,8.556547E-06
22.92913,40.64370,0.00000,9.340158E-01,9.099619E-01,8.774232E-01,8.352491E-01,7.828946E-01,7.206095E-01,6.495834E-01,5.719424E-01,4.906324E-01,4.091773E-01,3.312042E-01,2.599261E-01,1.977053E-01,1.457836E-01,1.042733E-01,7.240040E-02,4.883522E-02,3.201287E-02,2.039580E-02,1.262263E-02,7.579657E-03,4.406959E-03,2.473793E-03,1.334502E-03,6.877285E-04,3.356229E-04,1.535767E-04,6.503653E-05,2.506179E-05,8.569093E-06
22.92933,40.64359,0.00000,9.339697E-01,9.098982E-01,8.773386E-01,8.351417E-01,7.827640E-01,7.204575E-01,6.494136E-01,5.717607E-01,4.904464E-01,4.089958E-01,3.310351E-01,2.597757E-01,1.975773E-01,1.456794E-01,1.041919E-01,7.233912E-02,4.879076E-02,3.198187E-02,2.037508E-02,1.260943E-02,7.571685E-03,4.402444E-03,2.471416E-03,1.333364E-03,6.872498E-04,3.354623E-04,1.535434E-04,6.504629E-05,2.507544E-05,8.579137E-06
22.92953,40.64349,0.00000,9.339118E-01,9.098182E-01,8.772327E-01,8.350073E-01,7.826004E-01,7.202669E-01,6.492007E-01,5.715334E-01,4.902140E-01,4.087687E-01,3.308231E-01,2.595871E-01,1.974169E-01,1.455489E-01,1.040898E-01,7.226240E-02,4.873514E-02,3.194305E-02,2.034903E-02,1.259270E-02,7.561458E-03,4.396521E-03,2.468190E-03,1.331730E-03,6.864936E-04,3.351539E-04,1.534363E-04,6.502127E-05,2.507478E-05,8.583460E-06
22.92974,40.64338,0.00000,9.338384E-01,9.097168E-01,8.770983E-01,8.348367E-01,7.823929E-01,7.200251E-01,6.489305E-01,5.712444E-01,4.899184E-01,4.084795E-01,3.305534E-01,2.593471E-01,1.972130E-01,1.453830E-01,1.039605E-01,7.216528E-02,4.866491E-02,3.189407E-02,2.031618E-02,1.257157E-02,7.548459E-03,4.388926E-03,2.463986E-03,1.329548E-03,6.854433E-04,3.346951E-04,1.532567E-04,6.496361E-05,2.506080E-05,8.582820E-06
22.92994,40.64328,0.00000,9.337494E-01,9.095941E-01,8.769355E-01,8.346301E-01,7.821417E-01,7.197325E-01,6.486042E-01,5.708954E-01,4.895615E-01,4.081306E-01,3.302280E-01,2.590572E-01,1.969663E-01,1.451820E-01,1.038035E-01,7.204719E-02,4.857930E-02,3.183423E-02,2.027587E-02,1.254548E-02,7.532267E-03,4.379325E-03,2.458562E-03,1.326647E-03,6.839854E-04,3.340153E-04,1.529639E-04,6.485176E-05,2.502316E-05,8.572739E-06
22.93014,40.64317,0.00000,9.336455E-01,9.094502E-01,8.767453E-01,8.343886E-01,7.818482E-01,7.193907E-01,6.482225E-01,5.704873E-01,4.891443E-01,4.077227E-01,3.298471E-01,2.587181E-01,1.966777E-01,1.449468E-01,1.036196E-01,7.190894E-02,4.847910E-02,3.176419E-02,2.022868E-02,1.251487E-02,7.513210E-03,4.367972E-03,2.452102E-03,1.323155E-03,6.822031E-04,3.331650E-04,1.525860E-04,6.470025E-05,2.496855E-05,8.556095E-06
22.93034,40.64307,0.00000,9.335288E-01,9.092892E-01,8.765320E-01,8.341179E-01,7.815194E-01,7.190079E-01,6.477954E-01,5.700310E-01,4.886777E-01,4.072665E-01,3.294214E-01,2.583391E-01,1.963552E-01,1.446842E-01,1.034144E-01,7.175465E-02,4.836726E-02,3.168599E-02,2.017595E-02,1.248063E-02,7.491823E-03,4.355169E-03,2.444768E-03,1.319155E-03,6.801368E-04,3.321630E-04,1.521316E-04,6.451279E-05,2.489844E-05,8.533474E-06
22.93054,40.64296,0.00000,9.334054E-01,9.091188E-01,8.763063E-01,8.338318E-01,7.811718E-01,7.186034E-01,6.473439E-01,5.695485E-01,4.881846E-01,4.067844E-01,3.289716E-01,2.579386E-01,1.960143E-01,1.444065E-01,1.031975E-01,7.159162E-02,4.824913E-02,3.160340E-02,2.012026E-02,1.244446E-02,7.469235E-03,4.341645E-03,2.437015E-03,1.314919E-03,6.779430E-04,3.310951E-04,1.516449E-04,6.431014E-05,2.482179E-05,8.508485E-06
22.93074,40.64286,0.00000,9.332815E-01,9.089478E-01,8.760800E-01,8.335450E-01,7.808234E-01,7.181982E-01,6.468920E-01,5.690657E-01,4.876910E-01,4.063023E-01,3.285220E-01,2.575384E-01,1.956740E-01,1.441293E-01,1.029811E-01,7.142902E-02,4.813137E-02,3.152109E-02,2.006473E-02,1.240840E-02,7.446705E-03,4.328145E-03,2.429269E-03,1.310684E-03,6.757472E-04,3.300253E-04,1.511569E-04,6.410683E-05,2.474490E-05,8.483352E-06
22.93094,40.64275,0.00000,9.331664E-01,9.087889E-01,8.758696E-01,8.332782E-01,7.804996E-01,7.178216E-01,6.464718E-01,5.686171E-01,4.872327E-01,4.058544E-01,3.281043E-01,2.571668E-01,1.953581E-01,1.438721E-01,1.027803E-01,7.127810E-02,4.802205E-02,3.144469E-02,2.001328E-02,1.237504E-02,7.425921E-03,4.315742E-03,2.422192E-03,1.306843E-03,6.737745E-04,3.290754E-04,1.507297E-04,6.393207E-05,2.468055E-05,8.462938E-06
22.93115,40.64265,0.00000,9.330685E-01,9.086537E-01,8.756909E-01,8.330519E-01,7.802248E-01,7.175021E-01,6.461158E-01,5.682370E-01,4.868448E-01,4.054757E-01,3.277514E-01,2.568531E-01,1.950915E-01,1.436552E-01,1.026111E-01,7.115097E-02,4.793001E-02,3.138044E-02,1.997008E-02,1.234709E-02,7.408591E-03,4.305477E-03,2.416399E-03,1.303749E-03,6.722198E-04,3.283505E-04,1.504171E-04,6.381221E-05,2.464043E-05,8.452035E-06
22.93135,40.64254,0.00000,9.329979E-01,9.085566E-01,8.755627E-01,8.328896E-01,7.800278E-01,7.172729E-01,6.458603E-01,5.679644E-01,4.865669E-01,4.052048E-01,3.274995E-01,2.566293E-01,1.949015E-01,1.435005E-01,1.024901E-01,7.106000E-02,4.786403E-02,3.133436E-02,1.993915E-02,1.232723E-02,7.396429E-03,4.298414E-03,2.412525E-03,1.301762E-03,6.712785E-04,3.279477E-04,1.502644E-04,6.376611E-05,2.463163E-05,8.453003E-06
22.93155,40.64244,0.00000,9.329681E-01,9.085156E-01,8.755084E-01,8.328208E-01,7.799441E-01,7.171751E-01,6.457505E-01,5.678464E-01,4.864454E-01,4.050850E-01,3.273867E-01,2.565280E-01,1.948143E-01,1.434288E-01,1.024335E-01,7.101700E-02,4.783267E-02,3.131247E-02,1.992460E-02,1.231810E-02,7.391094E-03,4.295555E-03,2.411160E-03,1.301221E-03,6.711377E-04,3.279687E-04,1.503242E-04,6.381948E-05,2.466580E-05,8.470544E-06
22.93175,40.64233,0.00000,9.332133E-01,9.087911E-01,8.758141E-01,8.331520E-01,7.802910E-01,7.175232E-01,6.460832E-01,5.681472E-01,4.867020E-01,4.052914E-01,3.275433E-01,2.566404E-01,1.948914E-01,1.434797E-01,1.024663E-01,7.103787E-02,4.784601E-02,3.132116E-02,1.993050E-02,1.232230E-02,7.394223E-03,4.297921E-03,2.412925E-03,1.302496E-03,6.720084E-04,3.285281E-04,1.506545E-04,6.399995E-05,2.475504E-05,8.509375E-06
22.93195,40.64222,0.00000,9.333500E-01,9.089598E-01,8.760190E-01,8.333946E-01,7.805692E-01,7.178308E-01,6.464099E-01,5.684802E-01,4.870266E-01,4.055946E-01,3.278142E-01,2.568721E-01,1.950815E-01,1.436296E-01,1.025801E-01,7.112158E-02,4.790569E-02,3.136266E-02,1.995875E-02,1.234127E-02,7.406784E-03,4.306125E-03,2.418186E-03,1.305793E-03,6.740040E-04,3.296859E-04,1.512856E-04,6.432166E-05,2.490560E-05,8.571935E-06
22.93215,40.64212,0.00000,9.334626E-01,9.091153E-01,8.762251E-01,8.336557E-01,7.808862E-01,7.181997E-01,6.468214E-01,5.689199E-01,4.874767E-01,4.060353E-01,3.282259E-01,2.572394E-01,1.953945E-01,1.438848E-01,1.027795E-01,7.127132E-02,4.801420E-02,3.143881E-02,2.001071E-02,1.237587E-02,7.429318E-03,4.320493E-03,2.427130E-03,1.311218E-03,6.771811E-04,3.314711E-04,1.522322E-04,6.479157E-05,2.512061E-05,8.660571E-06
22.93235,40.64201,0.00000,9.336274E-01,9.093431E-01,8.765266E-01,8.340380E-01,7.813505E-01,7.187396E-01,6.474240E-01,5.695642E-01,4.881360E-01,4.066806E-01,3.288291E-01,2.577771E-01,1.958526E-01,1.442582E-01,1.030712E-01,7.149043E-02,4.817300E-02,3.155020E-02,2.008657E-02,1.242620E-02,7.461918E-03,4.341098E-03,2.439825E-03,1.318824E-03,6.815768E-04,3.339074E-04,1.535071E-04,6.541664E-05,2.540320E-05,8.775780E-06
22.93256,40.64191,0.00000,9.338387E-01,9.096352E-01,8.769137E-01,8.345289E-01,7.819470E-01,7.194340E-01,6.481991E-01,5.703934E-01,4.889846E-01,4.075117E-01,3.296060E-01,2.584702E-01,1.964432E-01,1.447399E-01,1.034477E-01,7.177341E-02,4.837819E-02,3.169409E-02,2.018449E-02,1.249105E-02,7.503781E-03,4.367444E-03,2.455965E-03,1.328434E-03,6.870954E-04,3.369463E-04,1.550886E-04,6.618795E-05,2.575025E-05,8.916776E-06
22.93276,40.64180,0.00000,9.341041E-01,9.100015E-01,8.773988E-01,8.351451E-01,7.826964E-01,7.203073E-01,6.491739E-01,5.714344E-01,4.900466E-01,4.085464E-01,3.305672E-01,2.593215E-01,1.971635E-01,1.453234E-01,1.039010E-01,7.211243E-02,4.862307E-02,3.186537E-02,2.030081E-02,1.256795E-02,7.553313E-03,4.398537E-03,2.474961E-03,1.339701E-03,6.935395E-04,3.404794E-04,1.569181E-04,6.707659E-05,2.614816E-05,9.077819E-06
22.93296,40.64170,0.00000,9.343791E-01,9.103818E-01,8.779031E-01,8.357853E-01,7.834748E-01,7.212142E-01,6.501871E-01,5.725185E-01,4.911569E-01,4.096339E-01,3.315843E-01,2.602291E-01,1.979373E-01,1.459548E-01,1.043947E-01,7.248385E-02,4.889251E-02,3.205438E-02,2.042941E-02,1.265301E-02,7.608094E-03,4.432890E-03,2.495915E-03,1.352107E-03,7.006222E-04,3.443562E-04,1.589218E-04,6.805063E-05,2.658311E-05,9.253825E-06
22.93316,40.64159,0.00000,9.346607E-01,9.107717E-01,8.784204E-01,8.364426E-01,7.842745E-01,7.221466E-01,6.512294E-01,5.736352E-01,4.923018E-01,4.107565E-01,3.326353E-01,2.611680E-01,1.987387E-01,1.466091E-01,1.049068E-01,7.286929E-02,4.917230E-02,3.225069E-02,2.056307E-02,1.274145E-02,7.665068E-03,4.468640E-03,2.517734E-03,1.365031E-03,7.080034E-04,3.484003E-04,1.610219E-04,6.906877E-05,2.703767E-05,9.439061E-06
22.93336,40.64149,0.00000,9.349287E-01,9.111429E-01,8.789132E-01,8.370689E-01,7.850373E-01,7.230366E-01,6.522253E-01,5.747026E-01,4.933966E-01,4.118308E-01,3.336418E-01,2.620680E-01,1.995073E-01,1.472372E-01,1.053987E-01,7.323968E-02,4.944130E-02,3.243958E-02,2.069168E-02,1.282660E-02,7.719954E-03,4.503101E-03,2.538778E-03,1.377512E-03,7.151414E-04,3.523182E-04,1.630622E-04,7.005964E-05,2.748178E-05,9.620897E-06
22.93356,40.64139,0.00000,9.351710E-01,9.114787E-01,8.793592E-01,8.376362E-01,7.857286E-01,7.238435E-01,6.531286E-01,5.756713E-01,4.943911E-01,4.128071E-01,3.345571E-01,2.628868E-01,2.002071E-01,1.478094E-01,1.058470E-01,7.357748E-02,4.968670E-02,3.261196E-02,2.080915E-02,1.290444E-02,7.770202E-03,4.534711E-03,2.558132E-03,1.389018E-03,7.217414E-04,3.559534E-04,1.649622E-04,7.098574E-05,2.789872E-05,9.792417E-06
22.93377,40.64128,0.00000,9.353751E-01,9.117618E-01,8.797355E-01,8.381149E-01,7.863120E-01,7.245249E-01,6.538915E-01,5.764902E-01,4.952323E-01,4.136334E-01,3.353323E-01,2.635806E-01,2.008003E-01,1.482948E-01,1.062276E-01,7.386432E-02,4.989519E-02,3.275851E-02,2.090911E-02,1.297079E-02,7.813157E-03,4.561850E-03,2.574841E-03,1.399012E-03,7.275157E-04,3.591563E-04,1.666491E-04,7.181355E-05,2.827411E-05,9.948113E-06
22.93397,40.64118,0.00000,9.355210E-01,9.119645E-01,8.800050E-01,8.384579E-01,7.867299E-01,7.250126E-01,6.544379E-01,5.770761E-01,4.958349E-01,4.142263E-01,3.358898E-01,2.640812E-01,2.012301E-01,1.486477E-01,1.065053E-01,7.407432E-02,5.004831E-02,3.286644E-02,2.098294E-02,1.301998E-02,7.845134E-03,4.582176E-03,2.587444E-03,1.406611E-03,7.319459E-04,3.616358E-04,1.679681E-04,7.246644E-05,2.857301E-05,1.007328E-05
22.93417,40.64107,0.00000,9.356090E-01,9.120865E-01,8.801675E-01,8.386647E-01,7.869820E-01,7.253073E-01,6.547682E-01,5.774311E-01,4.962000E-01,4.145856E-01,3.362275E-01,2.643841E-01,2.014895E-01,1.488603E-01,1.066722E-01,7.420012E-02,5.013986E-02,3.293090E-02,2.102712E-02,1.304960E-02,7.864608E-03,4.594758E-03,2.595406E-03,1.411526E-03,7.348846E-04,3.633198E-04,1.688853E-04,7.292960E-05,2.878912E-05,1.016563E-05
22.93437,40.64097,0.00000,9.356338E-01,9.121211E-01,8.802133E-01,8.387231E-01,7.870532E-01,7.253907E-01,6.548616E-01,5.775316E-01,4.963037E-01,4.146880E-01,3.363242E-01,2.644712E-01,2.015644E-01,1.489219E-01,1.067206E-01,7.423665E-02,5.016647E-02,3.294976E-02,2.104028E-02,1.305874E-02,7.870981E-03,4.599200E-03,2.598468E-03,1.413590E-03,7.362257E-04,3.641487E-04,1.693675E-04,7.318667E-05,2.891494E-05,1.022193E-05
22.93457,40.64086,0.00000,9.356000E-01,9.120742E-01,8.801510E-01,8.386438E-01,7.869565E-01,7.252774E-01,6.547348E-01,5.773958E-01,4.961644E-01,4.145516E-01,3.361968E-01,2.643576E-01,2.014676E-01,1.488429E-01,1.066587E-01,7.419000E-02,5.013257E-02,3.292610E-02,2.102452E-02,1.304886E-02,7.865205E-03,4.596124E-03,2.597027E-03,1.413044E-03,7.361112E-04,3.642008E-04,1.694555E-04,7.325690E-05,2.895893E-05,1.024554E-05
22.93477,40.64076,0.00000,9.355248E-01,9.119695E-01,8.800117E-01,8.384663E-01,7.867399E-01,7.250241E-01,6.544503E-01,5.770890E-01,4.958471E-01,4.142373E-01,3.358991E-01,2.640886E-01,2.012355E-01,1.486514E-01,1.065073E-01,7.407519E-02,5.004873E-02,3.286725E-02,2.098477E-02,1.302310E-02,7.849254E-03,4.586719E-03,2.591770E-03,1.410275E-03,7.347487E-04,3.635844E-04,1.692022E-04,7.316491E-05,2.893163E-05,1.024057E-05
