lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92611,40.64528,0.00000,4.178067E-01,3.912158E-01,3.650715E-01,3.394791E-01,3.145423E-01,2.903579E-01,2.670140E-01,2.445952E-01,2.231722E-01,2.028081E-01,1.835513E-01,1.654375E-01,1.484909E-01,1.327216E-01,1.181284E-01,1.046970E-01,9.240074E-02,8.120415E-02,7.106438E-02,6.193026E-02,5.374425E-02,4.644637E-02,3.997391E-02,3.426176E-02,2.924641E-02,2.486331E-02,2.105181E-02,1.775328E-02,1.491148E-02,1.247475E-02
22.92631,40.64517,0.00000,4.187050E-01,3.921012E-01,3.659404E-01,3.403278E-01,3.153675E-01,2.911564E-01,2.677830E-01,2.453318E-01,2.238745E-01,2.034740E-01,1.841794E-01,1.660269E-01,1.490408E-01,1.332320E-01,1.185995E-01,1.051295E-01,9.279577E-02,8.156297E-02,7.138857E-02,6.222167E-02,5.400486E-02,4.667829E-02,4.017925E-02,3.444268E-02,2.940498E-02,2.500170E-02,2.117199E-02,1.785720E-02,1.500091E-02,1.255137E-02
22.92651,40.64507,0.00000,4.193197E-01,3.927072E-01,3.665350E-01,3.409086E-01,3.159323E-01,2.917035E-01,2.683103E-01,2.458377E-01,2.243571E-01,2.039322E-01,1.846122E-01,1.664335E-01,1.494206E-01,1.335849E-01,1.189256E-01,1.054291E-01,9.306959E-02,8.181175E-02,7.161342E-02,6.242378E-02,5.418559E-02,4.683911E-02,4.032165E-02,3.456807E-02,2.951489E-02,2.509763E-02,2.125531E-02,1.792924E-02,1.506293E-02,1.260452E-02
22.92671,40.64496,0.00000,4.196511E-01,3.930341E-01,3.668561E-01,3.412224E-01,3.162374E-01,2.919990E-01,2.685949E-01,2.461104E-01,2.246173E-01,2.041790E-01,1.848452E-01,1.666522E-01,1.496248E-01,1.337745E-01,1.191007E-01,1.055900E-01,9.321667E-02,8.194541E-02,7.173428E-02,6.253261E-02,5.428301E-02,4.692592E-02,4.039863E-02,3.463601E-02,2.957455E-02,2.514979E-02,2.130071E-02,1.796857E-02,1.509687E-02,1.263366E-02
22.92691,40.64486,0.00000,4.197052E-01,3.930875E-01,3.669086E-01,3.412738E-01,3.162876E-01,2.920476E-01,2.686419E-01,2.461555E-01,2.246602E-01,2.042198E-01,1.848837E-01,1.666883E-01,1.496586E-01,1.338059E-01,1.191298E-01,1.056168E-01,9.324118E-02,8.196780E-02,7.175464E-02,6.255100E-02,5.429957E-02,4.694081E-02,4.041194E-02,3.464787E-02,2.958507E-02,2.515912E-02,2.130893E-02,1.797581E-02,1.510320E-02,1.263920E-02
22.92712,40.64475,0.00000,4.195204E-01,3.929055E-01,3.667300E-01,3.410994E-01,3.161181E-01,2.918837E-01,2.684841E-01,2.460043E-01,2.245162E-01,2.040832E-01,1.847548E-01,1.665675E-01,1.495458E-01,1.337013E-01,1.190333E-01,1.055282E-01,9.316035E-02,8.189446E-02,7.168852E-02,6.249167E-02,5.424671E-02,4.689392E-02,4.037061E-02,3.461162E-02,2.955347E-02,2.513171E-02,2.128529E-02,1.795552E-02,1.508588E-02,1.262450E-02
22.92732,40.64465,0.00000,4.191516E-01,3.925420E-01,3.663737E-01,3.407514E-01,3.157797E-01,2.915562E-01,2.681688E-01,2.457023E-01,2.242283E-01,2.038102E-01,1.844974E-01,1.663259E-01,1.493204E-01,1.334921E-01,1.188402E-01,1.053510E-01,9.299858E-02,8.174771E-02,7.155601E-02,6.237268E-02,5.414048E-02,4.679956E-02,4.028724E-02,3.453836E-02,2.948944E-02,2.507603E-02,2.123710E-02,1.791403E-02,1.505033E-02,1.259419E-02
22.92752,40.64454,0.00000,4.186579E-01,3.920554E-01,3.658960E-01,3.402849E-01,3.153262E-01,2.911175E-01,2.677463E-01,2.452977E-01,2.238428E-01,2.034449E-01,1.841529E-01,1.660029E-01,1.490193E-01,1.332129E-01,1.185827E-01,1.051148E-01,9.278319E-02,8.155233E-02,7.137982E-02,6.221464E-02,5.399945E-02,4.667440E-02,4.017673E-02,3.444128E-02,2.940465E-02,2.500228E-02,2.117331E-02,1.785909E-02,1.500325E-02,1.255404E-02
22.92772,40.64443,0.00000,4.181218E-01,3.915272E-01,3.653778E-01,3.397790E-01,3.148346E-01,2.906416E-01,2.672883E-01,2.448588E-01,2.234245E-01,2.030483E-01,1.837788E-01,1.656519E-01,1.486919E-01,1.329090E-01,1.183023E-01,1.048576E-01,9.254832E-02,8.133914E-02,7.118738E-02,6.204186E-02,5.384515E-02,4.653729E-02,4.005560E-02,3.433477E-02,2.931151E-02,2.492125E-02,2.110313E-02,1.779862E-02,1.495139E-02,1.250980E-02
22.92792,40.64433,0.00000,4.177525E-01,3.911532E-01,3.650014E-01,3.394024E-01,3.144606E-01,2.902722E-01,2.669259E-01,2.445056E-01,2.230825E-01,2.027193E-01,1.834644E-01,1.653533E-01,1.484101E-01,1.326450E-01,1.180564E-01,1.046300E-01,9.233901E-02,8.114783E-02,7.101357E-02,6.188491E-02,5.370424E-02,4.641153E-02,3.994394E-02,3.423619E-02,2.922498E-02,2.484566E-02,2.103747E-02,1.774185E-02,1.490255E-02,1.246800E-02
22.92812,40.64422,0.00000,4.187390E-01,3.920593E-01,3.658255E-01,3.401447E-01,3.151221E-01,2.908552E-01,2.674338E-01,2.449428E-01,2.234537E-01,2.030300E-01,1.837206E-01,1.655606E-01,1.485746E-01,1.327722E-01,1.181518E-01,1.046986E-01,9.238533E-02,8.117607E-02,7.102740E-02,6.188747E-02,5.369822E-02,4.639928E-02,3.992732E-02,3.421672E-02,2.920396E-02,2.482402E-02,2.101597E-02,1.772100E-02,1.488277E-02,1.244956E-02
22.92833,40.64412,0.00000,4.185625E-01,3.918817E-01,3.656467E-01,3.399653E-01,3.149426E-01,2.906764E-01,2.672561E-01,2.447673E-01,2.232813E-01,2.028619E-01,1.835573E-01,1.654033E-01,1.484239E-01,1.326289E-01,1.180166E-01,1.045717E-01,9.226706E-02,8.106668E-02,7.092685E-02,6.179563E-02,5.361488E-02,4.632413E-02,3.985995E-02,3.415668E-02,2.915077E-02,2.477715E-02,2.097489E-02,1.768519E-02,1.485169E-02,1.242274E-02
22.92853,40.64401,0.00000,4.182181E-01,3.915423E-01,3.653139E-01,3.396403E-01,3.146269E-01,2.903709E-01,2.669621E-01,2.444857E-01,2.230132E-01,2.026076E-01,1.833177E-01,1.651786E-01,1.482143E-01,1.324346E-01,1.178373E-01,1.044073E-01,9.211711E-02,8.093063E-02,7.080413E-02,6.168557E-02,5.351667E-02,4.623700E-02,3.978303E-02,3.408916E-02,2.909182E-02,2.472591E-02,2.093061E-02,1.764710E-02,1.481909E-02,1.239498E-02
22.92873,40.64391,0.00000,4.179294E-01,3.912579E-01,3.650349E-01,3.393680E-01,3.143622E-01,2.901150E-01,2.667159E-01,2.442499E-01,2.227885E-01,2.023947E-01,1.831170E-01,1.649904E-01,1.480390E-01,1.322719E-01,1.176873E-01,1.042697E-01,9.199165E-02,8.081690E-02,7.070154E-02,6.159353E-02,5.343459E-02,4.616424E-02,3.971882E-02,3.403281E-02,2.904262E-02,2.468320E-02,2.089373E-02,1.761538E-02,1.479197E-02,1.237190E-02
22.92893,40.64380,0.00000,4.177210E-01,3.910522E-01,3.648323E-01,3.391695E-01,3.141681E-01,2.899259E-01,2.665326E-01,2.440729E-01,2.226184E-01,2.022320E-01,1.829620E-01,1.648436E-01,1.479007E-01,1.321424E-01,1.175667E-01,1.041581E-01,9.188884E-02,8.072279E-02,7.061598E-02,6.151616E-02,5.336509E-02,4.610214E-02,3.966371E-02,3.398419E-02,2.899996E-02,2.464600E-02,2.086146E-02,1.758756E-02,1.476811E-02,1.235156E-02
22.92913,40.64370,0.00000,4.174557E-01,3.907908E-01,3.645760E-01,3.389193E-01,3.139250E-01,2.896909E-01,2.663065E-01,2.438564E-01,2.224122E-01,2.020366E-01,1.827778E-01,1.646710E-01,1.477397E-01,1.319932E-01,1.174291E-01,1.040319E-01,9.177375E-02,8.061850E-02,7.052191E-02,6.143185E-02,5.328991E-02,4.603550E-02,3.960491E-02,3.393263E-02,2.895496E-02,2.460695E-02,2.082775E-02,1.755860E-02,1.474335E-02,1.233051E-02
22.92933,40.64359,0.00000,4.171494E-01,3.904894E-01,3.642803E-01,3.386306E-01,3.136447E-01,2.894197E-01,2.660455E-01,2.436065E-01,2.221742E-01,2.018111E-01,1.825653E-01,1.644717E-01,1.475539E-01,1.318209E-01,1.172702E-01,1.038862E-01,9.164099E-02,8.049809E-02,7.041337E-02,6.133449E-02,5.320311E-02,4.595853E-02,3.953699E-02,3.387306E-02,2.890297E-02,2.456180E-02,2.078876E-02,1.752508E-02,1.471469E-02,1.230612E-02
22.92953,40.64349,0.00000,4.167708E-01,3.901163E-01,3.639146E-01,3.382734E-01,3.132978E-01,2.890843E-01,2.657228E-01,2.432976E-01,2.218800E-01,2.015323E-01,1.823025E-01,1.642254E-01,1.473243E-01,1.316079E-01,1.170739E-01,1.037063E-01,9.147681E-02,8.034925E-02,7.027913E-02,6.121410E-02,5.309570E-02,4.586328E-02,3.945292E-02,3.379926E-02,2.883853E-02,2.450581E-02,2.074037E-02,1.748346E-02,1.467906E-02,1.227578E-02
22.92974,40.64338,0.00000,4.162931E-01,3.896456E-01,3.634527E-01,3.378223E-01,3.128591E-01,2.886598E-01,2.653140E-01,2.429060E-01,2.215066E-01,2.011783E-01,1.819687E-01,1.639122E-01,1.470321E-01,1.313369E-01,1.168238E-01,1.034768E-01,9.126747E-02,8.015937E-02,7.010782E-02,6.106042E-02,5.295863E-02,4.574167E-02,3.934561E-02,3.370508E-02,2.875629E-02,2.443439E-02,2.067868E-02,1.743042E-02,1.463369E-02,1.223717E-02
