lon,lat,PGV,PGA
22.92611,40.64528,1.000000E+01,1.960726E-01
22.92631,40.64517,1.000000E+01,1.965020E-01
22.92651,40.64507,1.000000E+01,1.968047E-01
22.92671,40.64496,1.000000E+01,1.969754E-01
22.92691,40.64486,1.000000E+01,1.970194E-01
22.92712,40.64475,1.000000E+01,1.969562E-01
22.92732,40.64465,1.000000E+01,1.968082E-01
22.92752,40.64454,1.000000E+01,1.966074E-01
22.92772,40.64443,1.000000E+01,1.963828E-01
22.92792,40.64433,1.000000E+01,1.961600E-01
22.92812,40.64422,1.000000E+01,1.959642E-01
22.92833,40.64412,1.000000E+01,1.957978E-01
22.92853,40.64401,1.000000E+01,1.956600E-01
22.92873,40.64391,1.000000E+01,1.955472E-01
22.92893,40.64380,1.000000E+01,1.954482E-01
22.92913,40.64370,1.000000E+01,1.953460E-01
22.92933,40.64359,1.000000E+01,1.952251E-01
22.92953,40.64349,1.000000E+01,1.950704E-01
22.92974,40.64338,1.000000E+01,1.948736E-01
22.92994,40.64328,1.000000E+01,1.946286E-01
22.93014,40.64317,1.000000E+01,1.943402E-01
22.93034,40.64307,1.000000E+01,1.940163E-01
22.93054,40.64296,1.000000E+01,1.936741E-01
22.93074,40.64286,1.000000E+01,1.933325E-01
22.93094,40.64275,1.000000E+01,1.930170E-01
22.93115,40.64265,1.000000E+01,1.927536E-01
22.93135,40.64254,1.000000E+01,1.925682E-01
22.93155,40.64244,1.000000E+01,1.924863E-01
22.93175,40.64233,1.000000E+01,1.925327E-01
22.93195,40.64222,1.000000E+01,1.927221E-01
22.93215,40.64212,1.000000E+01,1.930624E-01
22.93235,40.64201,1.000000E+01,1.935550E-01
22.93256,40.64191,1.000000E+01,1.941874E-01
22.93276,40.64180,1.000000E+01,1.949352E-01
22.93296,40.64170,1.000000E+01,1.957615E-01
22.93316,40.64159,1.000000E+01,1.966198E-01
22.93336,40.64149,1.000000E+01,1.974458E-01
22.93356,40.64139,1.000000E+01,1.982012E-01
22.93377,40.64128,1.000000E+01,1.988463E-01
22.93397,40.64118,1.000000E+01,1.993262E-01
22.93417,40.64107,1.000000E+01,1.996182E-01
22.93437,40.64097,1.000000E+01,1.997136E-01
22.93457,40.64086,1.000000E+01,1.996266E-01
22.93477,40.64076,1.000000E+01,1.993869E-01
22.93497,40.64065,1.000000E+01,1.990412E-01
22.93518,40.64055,1.000000E+01,1.986445E-01
22.93538,40.64044,1.000000E+01,1.982539E-01
22.93558,40.64034,1.000000E+01,1.979241E-01
22.93578,40.64023,1.000000E+01,1.977034E-01
22.93598,40.64013,1.000000E+01,1.976259E-01
22.93618,40.64002,1.000000E+01,1.977146E-01
22.93639,40.63992,1.000000E+01,1.979774E-01
22.93659,40.63981,1.000000E+01,1.984089E-01
22.93679,40.63971,1.000000E+01,1.989930E-01
22.93699,40.63960,1.000000E+01,1.997067E-01
22.93719,40.63950,1.000000E+01,2.005175E-01
22.93739,40.63939,1.000000E+01,2.013907E-01
22.93759,40.63928,1.000000E+01,2.022503E-01
22.93780,40.63918,1.000000E+01,2.030783E-01
22.93800,40.63907,1.000000E+01,2.038486E-01
22.93820,40.63897,1.000000E+01,2.045206E-01
22.93840,40.63886,1.000000E+01,2.050606E-01
22.93860,40.63876,1.000000E+01,2.054373E-01
22.93880,40.63865,1.000000E+01,2.056271E-01
22.93900,40.63855,1.000000E+01,2.056154E-01
22.93921,40.63844,1.000000E+01,2.054040E-01
22.93941,40.63834,1.000000E+01,2.050020E-01
22.93961,40.63823,1.000000E+01,2.044374E-01
22.93981,40.63813,1.000000E+01,2.037448E-01
22.94001,40.63802,1.000000E+01,2.029688E-01
22.94021,40.63792,1.000000E+01,2.021541E-01
22.94042,40.63781,1.000000E+01,2.013309E-01
22.94062,40.63771,1.000000E+01,2.005272E-01
22.94082,40.63760,1.000000E+01,1.998112E-01
22.94102,40.63750,1.000000E+01,1.992093E-01
22.94122,40.63739,1.000000E+01,1.987421E-01
22.94142,40.63729,1.000000E+01,1.984199E-01
22.94162,40.63718,1.000000E+01,1.982491E-01
22.94183,40.63708,1.000000E+01,1.982291E-01
22.94203,40.63697,1.000000E+01,1.983663E-01
22.94223,40.63686,1.000000E+01,1.986354E-01
22.94243,40.63675,1.000000E+01,1.990434E-01
22.94263,40.63664,1.000000E+01,1.995391E-01
22.94283,40.63653,1.000000E+01,2.000797E-01
22.94303,40.63642,1.000000E+01,2.006292E-01
22.94323,40.63631,1.000000E+01,2.011045E-01
22.94343,40.63620,1.000000E+01,2.014934E-01
22.94363,40.63610,1.000000E+01,2.017508E-01
22.94383,40.63599,1.000000E+01,2.018525E-01
22.94403,40.63588,1.000000E+01,2.017894E-01
22.94423,40.63578,1.000000E+01,2.015548E-01
22.94443,40.63567,1.000000E+01,2.011527E-01
22.94463,40.63557,1.000000E+01,2.006207E-01
22.94484,40.63546,1.000000E+01,2.000038E-01
22.94504,40.63535,1.000000E+01,1.993474E-01
22.94524,40.63525,1.000000E+01,1.987017E-01
22.94544,40.63514,1.000000E+01,1.981126E-01
22.94564,40.63503,1.000000E+01,1.976149E-01
22.94584,40.63493,1.000000E+01,1.972321E-01
22.94604,40.63482,1.000000E+01,1.969758E-01
22.94624,40.63471,1.000000E+01,1.968429E-01
22.94644,40.63461,1.000000E+01,1.968235E-01
22.94665,40.63450,1.000000E+01,1.968979E-01
22.94685,40.63440,1.000000E+01,1.970322E-01
22.94705,40.63430,1.000000E+01,1.971954E-01
22.94725,40.63419,1.000000E+01,1.973545E-01
22.94745,40.63409,1.000000E+01,1.974786E-01
22.94766,40.63399,1.000000E+01,1.975455E-01
22.94786,40.63388,1.000000E+01,1.975358E-01
22.94806,40.63378,1.000000E+01,1.974396E-01
22.94826,40.63368,1.000000E+01,1.972550E-01
22.94846,40.63357,1.000000E+01,1.969870E-01
22.94867,40.63347,1.000000E+01,1.966459E-01
22.94887,40.63336,1.000000E+01,1.962456E-01
22.94907,40.63326,1.000000E+01,1.958042E-01
22.94927,40.63316,1.000000E+01,1.953422E-01
22.94947,40.63305,1.000000E+01,1.948803E-01
22.94968,40.63295,1.000000E+01,1.944380E-01
22.94988,40.63285,1.000000E+01,1.940309E-01
22.95008,40.63274,1.000000E+01,1.936756E-01
22.95028,40.63264,1.000000E+01,1.933831E-01
22.95048,40.63254,1.000000E+01,1.931632E-01
22.95068,40.63243,1.000000E+01,1.930232E-01
22.95089,40.63233,1.000000E+01,1.929680E-01
22.95109,40.63222,1.000000E+01,1.929996E-01
