lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,1.000000E+01,1.000000E+01,1.000000E+01,8.382441E-01,4.452895E-01,1.960726E-01
22.92631,40.64517,1.000000E+01,1.000000E+01,1.000000E+01,8.403679E-01,4.463196E-01,1.965020E-01
22.92651,40.64507,1.000000E+01,1.000000E+01,1.000000E+01,8.419468E-01,4.470643E-01,1.968047E-01
22.92671,40.64496,1.000000E+01,1.000000E+01,1.000000E+01,8.429742E-01,4.475173E-01,1.969754E-01
22.92691,40.64486,1.000000E+01,1.000000E+01,1.000000E+01,8.434558E-01,4.476849E-01,1.970194E-01
22.92712,40.64475,1.000000E+01,1.000000E+01,1.000000E+01,8.435007E-01,4.476178E-01,1.969562E-01
22.92732,40.64465,1.000000E+01,1.000000E+01,1.000000E+01,8.431669E-01,4.473566E-01,1.968082E-01
22.92752,40.64454,1.000000E+01,1.000000E+01,1.000000E+01,8.426164E-01,4.469797E-01,1.966074E-01
22.92772,40.64443,1.000000E+01,1.000000E+01,1.000000E+01,8.419659E-01,4.465498E-01,1.963828E-01
22.92792,40.64433,1.000000E+01,1.000000E+01,1.000000E+01,8.413153E-01,4.461212E-01,1.961600E-01
22.92812,40.64422,1.000000E+01,1.000000E+01,1.000000E+01,8.407676E-01,4.457450E-01,1.959642E-01
22.92833,40.64412,1.000000E+01,1.000000E+01,1.000000E+01,8.403633E-01,4.454407E-01,1.957978E-01
22.92853,40.64401,1.000000E+01,1.000000E+01,1.000000E+01,8.400941E-01,4.452074E-01,1.956600E-01
22.92873,40.64391,1.000000E+01,1.000000E+01,1.000000E+01,8.399268E-01,4.450283E-01,1.955472E-01
22.92893,40.64380,1.000000E+01,1.000000E+01,1.000000E+01,8.398291E-01,4.448833E-01,1.954482E-01
22.92913,40.64370,1.000000E+01,1.000000E+01,1.000000E+01,8.397121E-01,4.447290E-01,1.953460E-01
22.92933,40.64359,1.000000E+01,1.000000E+01,1.000000E+01,8.395253E-01,4.445361E-01,1.952251E-01
22.92953,40.64349,1.000000E+01,1.000000E+01,1.000000E+01,8.391868E-01,4.442650E-01,1.950704E-01
22.92974,40.64338,1.000000E+01,1.000000E+01,1.000000E+01,8.386918E-01,4.439058E-01,1.948736E-01
22.92994,40.64328,1.000000E+01,1.000000E+01,1.000000E+01,8.379700E-01,4.434330E-01,1.946286E-01
22.93014,40.64317,1.000000E+01,1.000000E+01,1.000000E+01,8.370711E-01,4.428653E-01,1.943402E-01
22.93034,40.64307,1.000000E+01,1.000000E+01,1.000000E+01,8.360145E-01,4.422164E-01,1.940163E-01
22.93054,40.64296,1.000000E+01,1.000000E+01,1.000000E+01,8.348874E-01,4.415287E-01,1.936741E-01
22.93074,40.64286,1.000000E+01,1.000000E+01,1.000000E+01,8.337565E-01,4.408403E-01,1.933325E-01
22.93094,40.64275,1.000000E+01,1.000000E+01,1.000000E+01,8.327471E-01,4.402134E-01,1.930170E-01
22.93115,40.64265,1.000000E+01,1.000000E+01,1.000000E+01,8.319688E-01,4.397043E-01,1.927536E-01
22.93135,40.64254,1.000000E+01,1.000000E+01,1.000000E+01,8.315246E-01,4.393715E-01,1.925682E-01
22.93155,40.64244,1.000000E+01,1.000000E+01,1.000000E+01,8.315204E-01,4.392697E-01,1.924863E-01
22.93175,40.64233,1.000000E+01,1.000000E+01,1.000000E+01,8.320752E-01,4.394576E-01,1.925327E-01
22.93195,40.64222,1.000000E+01,1.000000E+01,1.000000E+01,8.332509E-01,4.399686E-01,1.927221E-01
22.93215,40.64212,1.000000E+01,1.000000E+01,1.000000E+01,8.350765E-01,4.408193E-01,1.930624E-01
22.93235,40.64201,1.000000E+01,1.000000E+01,1.000000E+01,8.375725E-01,4.420162E-01,1.935550E-01
22.93256,40.64191,1.000000E+01,1.000000E+01,1.000000E+01,8.406839E-01,4.435302E-01,1.941874E-01
22.93276,40.64180,1.000000E+01,1.000000E+01,1.000000E+01,8.442956E-01,4.453048E-01,1.949352E-01
22.93296,40.64170,1.000000E+01,1.000000E+01,1.000000E+01,8.482482E-01,4.472562E-01,1.957615E-01
22.93316,40.64159,1.000000E+01,1.000000E+01,1.000000E+01,8.523574E-01,4.492846E-01,1.966198E-01
22.93336,40.64149,1.000000E+01,1.000000E+01,1.000000E+01,8.563246E-01,4.512388E-01,1.974458E-01
22.93356,40.64139,1.000000E+01,1.000000E+01,1.000000E+01,8.599926E-01,4.530355E-01,1.982012E-01
22.93377,40.64128,1.000000E+01,1.000000E+01,1.000000E+01,8.632128E-01,4.545912E-01,1.988463E-01
22.93397,40.64118,1.000000E+01,1.000000E+01,1.000000E+01,8.656979E-01,4.557701E-01,1.993262E-01
22.93417,40.64107,1.000000E+01,1.000000E+01,1.000000E+01,8.673786E-01,4.565274E-01,1.996182E-01
22.93437,40.64097,1.000000E+01,1.000000E+01,1.000000E+01,8.681983E-01,4.568387E-01,1.997136E-01
22.93457,40.64086,1.000000E+01,1.000000E+01,1.000000E+01,8.682365E-01,4.567414E-01,1.996266E-01
22.93477,40.64076,1.000000E+01,1.000000E+01,1.000000E+01,8.676017E-01,4.562959E-01,1.993869E-01
22.93497,40.64065,1.000000E+01,1.000000E+01,1.000000E+01,8.665173E-01,4.556143E-01,1.990412E-01
22.93518,40.64055,1.000000E+01,1.000000E+01,1.000000E+01,8.652173E-01,4.548180E-01,1.986445E-01
22.93538,40.64044,1.000000E+01,1.000000E+01,1.000000E+01,8.639386E-01,4.540352E-01,1.982539E-01
22.93558,40.64034,1.000000E+01,1.000000E+01,1.000000E+01,8.629168E-01,4.533875E-01,1.979241E-01
22.93578,40.64023,1.000000E+01,1.000000E+01,1.000000E+01,8.623826E-01,4.529901E-01,1.977034E-01
22.93598,40.64013,1.000000E+01,1.000000E+01,1.000000E+01,8.624659E-01,4.529143E-01,1.976259E-01
22.93618,40.64002,1.000000E+01,1.000000E+01,1.000000E+01,8.632891E-01,4.532187E-01,1.977146E-01
22.93639,40.63992,1.000000E+01,1.000000E+01,1.000000E+01,8.648848E-01,4.539194E-01,1.979774E-01
22.93659,40.63981,1.000000E+01,1.000000E+01,1.000000E+01,8.672182E-01,4.550028E-01,1.984089E-01
22.93679,40.63971,1.000000E+01,1.000000E+01,1.000000E+01,8.702167E-01,4.564310E-01,1.989930E-01
22.93699,40.63960,1.000000E+01,1.000000E+01,1.000000E+01,8.738006E-01,4.581574E-01,1.997067E-01
22.93719,40.63950,1.000000E+01,1.000000E+01,1.000000E+01,8.778076E-01,4.601032E-01,2.005175E-01
22.93739,40.63939,1.000000E+01,1.000000E+01,1.000000E+01,8.821080E-01,4.621955E-01,2.013907E-01
22.93759,40.63928,1.000000E+01,1.000000E+01,1.000000E+01,8.865163E-01,4.643417E-01,2.022503E-01
22.93780,40.63918,1.000000E+01,1.000000E+01,1.000000E+01,8.908592E-01,4.664493E-01,2.030783E-01
22.93800,40.63907,1.000000E+01,1.000000E+01,1.000000E+01,8.949350E-01,4.684187E-01,2.038486E-01
