lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.332745E-01,9.084736E-01,8.746133E-01,8.309631E-01,7.776508E-01,7.154818E-01,6.457517E-01,5.700513E-01,4.904893E-01,4.100250E-01,3.273567E-01,2.521203E-01,1.873416E-01,1.348755E-01,9.490818E-02,6.470840E-02,4.490025E-02,2.925008E-02,1.873131E-02,1.153396E-02,6.861566E-03,3.935231E-03,1.934091E-03,8.867844E-04,3.883728E-04,1.460806E-04,5.514433E-05,1.725035E-05,3.966078E-06,2.560385E-07
22.92631,40.64517,0.00000,9.334167E-01,9.086742E-01,8.748802E-01,8.312974E-01,7.780506E-01,7.159395E-01,6.462570E-01,5.705919E-01,4.910473E-01,4.105783E-01,3.279208E-01,2.525715E-01,1.877507E-01,1.351719E-01,9.515792E-02,6.487437E-02,4.502136E-02,2.933561E-02,1.879076E-02,1.157771E-02,6.888506E-03,3.952668E-03,1.944856E-03,8.922400E-04,3.908471E-04,1.474038E-04,5.574816E-05,1.749094E-05,4.044722E-06,2.738260E-07
22.92651,40.64507,0.00000,9.334592E-01,9.087308E-01,8.749634E-01,8.314271E-01,7.782442E-01,7.162057E-01,6.465873E-01,5.709639E-01,4.914388E-01,4.109703E-01,3.283111E-01,2.528935E-01,1.880350E-01,1.353917E-01,9.533165E-02,6.499625E-02,4.510910E-02,2.939661E-02,1.883277E-02,1.160861E-02,6.907614E-03,3.965224E-03,1.952377E-03,8.964541E-04,3.925719E-04,1.484536E-04,5.623225E-05,1.768651E-05,4.109565E-06,2.892843E-07
22.92671,40.64496,0.00000,9.335118E-01,9.088048E-01,8.750625E-01,8.315517E-01,7.783931E-01,7.163754E-01,6.467760E-01,5.711668E-01,4.916484E-01,4.111791E-01,3.285222E-01,2.530654E-01,1.881891E-01,1.355048E-01,9.542660E-02,6.505907E-02,4.515465E-02,2.942890E-02,1.885561E-02,1.162604E-02,6.918849E-03,3.972926E-03,1.956479E-03,8.994129E-04,3.934997E-04,1.492189E-04,5.659115E-05,1.783496E-05,4.159702E-06,3.012150E-07
22.92691,40.64486,0.00000,9.335217E-01,9.088195E-01,8.750817E-01,8.315767E-01,7.784232E-01,7.164104E-01,6.468144E-01,5.712085E-01,4.916922E-01,4.112234E-01,3.285610E-01,2.531014E-01,1.882188E-01,1.355288E-01,9.544578E-02,6.507179E-02,4.516335E-02,2.943530E-02,1.886055E-02,1.163046E-02,6.922320E-03,3.975748E-03,1.957324E-03,9.011209E-04,3.936726E-04,1.497046E-04,5.682733E-05,1.793662E-05,4.195427E-06,3.099376E-07
22.92712,40.64475,0.00000,9.334948E-01,9.087820E-01,8.750330E-01,8.315153E-01,7.783504E-01,7.163273E-01,6.467234E-01,5.711115E-01,4.915924E-01,4.111249E-01,3.284530E-01,2.530219E-01,1.881434E-01,1.354762E-01,9.540054E-02,6.504160E-02,4.514042E-02,2.941943E-02,1.885024E-02,1.162403E-02,6.919332E-03,3.974650E-03,1.955371E-03,9.018607E-04,3.931921E-04,1.499755E-04,5.696948E-05,1.800315E-05,4.220374E-06,3.161094E-07
22.92732,40.64465,0.00000,9.334394E-01,9.087045E-01,8.749298E-01,8.313867E-01,7.781970E-01,7.161527E-01,6.465305E-01,5.709067E-01,4.913810E-01,4.109161E-01,3.282309E-01,2.528515E-01,1.879847E-01,1.353645E-01,9.530503E-02,6.497794E-02,4.509313E-02,2.938640E-02,1.882795E-02,1.160895E-02,6.911139E-03,3.970248E-03,1.951251E-03,9.017009E-04,3.922099E-04,1.500391E-04,5.701906E-05,1.803369E-05,4.233947E-06,3.196760E-07
22.92752,40.64454,0.00000,9.333619E-01,9.085958E-01,8.747859E-01,8.312054E-01,7.779807E-01,7.159057E-01,6.462560E-01,5.706137E-01,4.910817E-01,4.106215E-01,3.279369E-01,2.526169E-01,1.877745E-01,1.352128E-01,9.517781E-02,6.489278E-02,4.503015E-02,2.934228E-02,1.879822E-02,1.158855E-02,6.899853E-03,3.963968E-03,1.945748E-03,9.010482E-04,3.909040E-04,1.499883E-04,5.701775E-05,1.804493E-05,4.241398E-06,3.221339E-07
22.92772,40.64443,0.00000,9.332799E-01,9.084809E-01,8.746336E-01,8.310145E-01,7.777535E-01,7.156461E-01,6.459705E-01,5.703087E-01,4.907668E-01,4.103101E-01,3.276099E-01,2.523633E-01,1.875404E-01,1.350456E-01,9.503636E-02,6.479818E-02,4.496015E-02,2.929331E-02,1.876506E-02,1.156572E-02,6.887126E-03,3.956808E-03,1.939637E-03,9.001670E-04,3.894584E-04,1.498855E-04,5.699346E-05,1.804740E-05,4.246111E-06,3.241848E-07
22.92792,40.64433,0.00000,9.331980E-01,9.083661E-01,8.744816E-01,8.308248E-01,7.775271E-01,7.153877E-01,6.456854E-01,5.700055E-01,4.904540E-01,4.100006E-01,3.272847E-01,2.521112E-01,1.873072E-01,1.348800E-01,9.489553E-02,6.470438E-02,4.489072E-02,2.924477E-02,1.873218E-02,1.154299E-02,6.874403E-03,3.949613E-03,1.933587E-03,8.992839E-04,3.880303E-04,1.497846E-04,5.697034E-05,1.805014E-05,4.251024E-06,3.264693E-07
22.92812,40.64422,0.00000,9.331234E-01,9.082615E-01,8.743436E-01,8.306516E-01,7.773212E-01,7.151529E-01,6.454263E-01,5.697283E-01,4.901694E-01,4.097189E-01,3.279375E-01,2.518820E-01,1.874197E-01,1.347287E-01,9.485621E-02,6.461880E-02,4.482744E-02,2.920053E-02,1.870232E-02,1.152255E-02,6.863098E-03,3.939624E-03,1.928081E-03,8.986378E-04,3.867266E-04,1.497351E-04,5.696968E-05,1.806170E-05,4.258601E-06,3.295036E-07
22.92833,40.64412,0.00000,9.330574E-01,9.081692E-01,8.742213E-01,8.304980E-01,7.771388E-01,7.149438E-01,6.451972E-01,5.694836E-01,4.899181E-01,4.094715E-01,3.276817E-01,2.516848E-01,1.872372E-01,1.346003E-01,9.474654E-02,6.454606E-02,4.477341E-02,2.916277E-02,1.867693E-02,1.150523E-02,6.853627E-03,3.931601E-03,1.923726E-03,8.983411E-04,3.856192E-04,1.497733E-04,5.700955E-05,1.808919E-05,4.271534E-06,3.337384E-07
22.92853,40.64401,0.00000,9.330046E-01,9.080954E-01,8.741235E-01,8.303762E-01,7.769936E-01,7.147783E-01,6.450141E-01,5.692889E-01,4.897175E-01,4.092733E-01,3.274712E-01,2.515235E-01,1.870876E-01,1.344942E-01,9.465652E-02,6.448593E-02,4.472868E-02,2.913157E-02,1.865606E-02,1.149131E-02,6.846232E-03,3.924471E-03,1.919872E-03,8.983324E-04,3.847006E-04,1.498685E-04,5.707316E-05,1.812546E-05,4.286904E-06,3.384548E-07
