lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92611,40.64528,0.00000,4.238262E-01,3.951407E-01,3.669614E-01,3.394001E-01,3.125922E-01,2.872276E-01,2.645676E-01,2.419405E-01,2.195755E-01,1.984031E-01,1.783476E-01,1.595199E-01,1.420112E-01,1.258402E-01,1.116412E-01,9.815295E-02,8.647808E-02,7.475836E-02,6.522228E-02,5.722866E-02,4.953320E-02,4.293782E-02,3.709051E-02,3.174667E-02,2.686254E-02,2.261414E-02,1.893902E-02,1.583575E-02,1.318807E-02,1.122756E-02
22.92631,40.64517,0.00000,4.247930E-01,3.960931E-01,3.678956E-01,3.403117E-01,3.134762E-01,2.880033E-01,2.653155E-01,2.427106E-01,2.203061E-01,1.990940E-01,1.790016E-01,1.601298E-01,1.425767E-01,1.263613E-01,1.120973E-01,9.858602E-02,8.690619E-02,7.511286E-02,6.550547E-02,5.748389E-02,4.978785E-02,4.314819E-02,3.727705E-02,3.192240E-02,2.701568E-02,2.274701E-02,1.905373E-02,1.592118E-02,1.326092E-02,1.129080E-02
22.92651,40.64507,0.00000,4.254621E-01,3.967530E-01,3.685425E-01,3.409432E-01,3.140890E-01,2.885246E-01,2.658203E-01,2.432442E-01,2.208132E-01,1.995726E-01,1.794557E-01,1.605534E-01,1.429694E-01,1.267233E-01,1.124118E-01,9.888700E-02,8.720412E-02,7.535915E-02,6.570104E-02,5.765988E-02,4.996500E-02,4.329355E-02,3.740594E-02,3.204466E-02,2.712225E-02,2.283949E-02,1.913359E-02,1.598015E-02,1.331142E-02,1.133468E-02
22.92671,40.64496,0.00000,4.258189E-01,3.971046E-01,3.688873E-01,3.412802E-01,3.144162E-01,2.888116E-01,2.660970E-01,2.435291E-01,2.210839E-01,1.998284E-01,1.796983E-01,1.607800E-01,1.431794E-01,1.269171E-01,1.125817E-01,9.904810E-02,8.735418E-02,7.549100E-02,6.580646E-02,5.775538E-02,5.005989E-02,4.337286E-02,3.747654E-02,3.211011E-02,2.717929E-02,2.288899E-02,1.917636E-02,1.601315E-02,1.333989E-02,1.135954E-02
22.92691,40.64486,0.00000,4.258750E-01,3.971600E-01,3.689417E-01,3.413337E-01,3.144679E-01,2.888603E-01,2.661442E-01,2.435754E-01,2.211281E-01,1.998701E-01,1.797375E-01,1.608167E-01,1.432135E-01,1.269486E-01,1.126109E-01,9.907456E-02,8.737531E-02,7.551271E-02,6.582429E-02,5.777152E-02,5.007552E-02,4.338725E-02,3.748945E-02,3.212082E-02,2.718864E-02,2.289711E-02,1.918338E-02,1.602011E-02,1.334626E-02,1.136528E-02
22.92712,40.64475,0.00000,4.256730E-01,3.969613E-01,3.687471E-01,3.411439E-01,3.142844E-01,2.887030E-01,2.659925E-01,2.434161E-01,2.209773E-01,1.997278E-01,1.796023E-01,1.606906E-01,1.430968E-01,1.268410E-01,1.125187E-01,9.898503E-02,8.730030E-02,7.543976E-02,6.576637E-02,5.771954E-02,5.002305E-02,4.334576E-02,3.745313E-02,3.208449E-02,2.715698E-02,2.286966E-02,1.915968E-02,1.600479E-02,1.333381E-02,1.135474E-02
22.92732,40.64465,0.00000,4.252726E-01,3.965670E-01,3.683610E-01,3.407672E-01,3.139190E-01,2.883868E-01,2.656875E-01,2.430993E-01,2.206763E-01,1.994439E-01,1.793328E-01,1.604394E-01,1.428640E-01,1.266266E-01,1.123330E-01,9.880713E-02,8.713037E-02,7.529408E-02,6.565058E-02,5.761533E-02,4.991832E-02,4.326148E-02,3.737869E-02,3.201208E-02,2.709387E-02,2.281489E-02,1.911242E-02,1.597222E-02,1.330671E-02,1.133150E-02
22.92752,40.64454,0.00000,4.247474E-01,3.960495E-01,3.678541E-01,3.402725E-01,3.134395E-01,2.879469E-01,2.652628E-01,2.426831E-01,2.202808E-01,1.990706E-01,1.789789E-01,1.601093E-01,1.425582E-01,1.263450E-01,1.120820E-01,9.857285E-02,8.690083E-02,7.510253E-02,6.549544E-02,5.747614E-02,4.978072E-02,4.314880E-02,3.727943E-02,3.191698E-02,2.701099E-02,2.274297E-02,1.905035E-02,1.592894E-02,1.327051E-02,1.130043E-02
22.92772,40.64443,0.00000,4.241669E-01,3.954779E-01,3.672938E-01,3.397263E-01,3.129097E-01,2.874867E-01,2.648193E-01,2.422226E-01,2.198448E-01,1.986581E-01,1.785881E-01,1.597450E-01,1.422206E-01,1.260341E-01,1.118121E-01,9.831465E-02,8.664758E-02,7.489106E-02,6.532706E-02,5.732480E-02,4.962893E-02,4.302584E-02,3.717095E-02,3.181211E-02,2.691958E-02,2.266369E-02,1.898191E-02,1.588101E-02,1.323037E-02,1.126597E-02
22.92792,40.64433,0.00000,4.235917E-01,3.949116E-01,3.667389E-01,3.391849E-01,3.123852E-01,2.870316E-01,2.643804E-01,2.417672E-01,2.194123E-01,1.982499E-01,1.782015E-01,1.593845E-01,1.418866E-01,1.257265E-01,1.115454E-01,9.839933E-02,8.639703E-02,7.468206E-02,6.532860E-02,5.717526E-02,4.948921E-02,4.290456E-02,3.706373E-02,3.170849E-02,2.682932E-02,2.258539E-02,1.891434E-02,1.583363E-02,1.319075E-02,1.123191E-02
