lon,lat,PGV,PGA
22.92611,40.64528,1.000000E+01,6.623097E-01
22.92631,40.64517,1.000000E+01,6.638382E-01
22.92651,40.64507,1.000000E+01,6.649032E-01
22.92671,40.64496,1.000000E+01,6.654781E-01
22.92691,40.64486,1.000000E+01,6.655909E-01
22.92712,40.64475,1.000000E+01,6.653067E-01
22.92732,40.64465,1.000000E+01,6.647189E-01
22.92752,40.64454,1.000000E+01,6.639376E-01
22.92772,40.64443,1.000000E+01,6.630754E-01
22.92792,40.64433,1.000000E+01,6.622267E-01
22.92812,40.64422,1.000000E+01,6.614569E-01
22.92833,40.64412,1.000000E+01,6.608082E-01
22.92853,40.64401,1.000000E+01,6.602749E-01
22.92873,40.64391,1.000000E+01,6.598372E-01
22.92893,40.64380,1.000000E+01,6.594468E-01
22.92913,40.64370,1.000000E+01,6.590510E-01
22.92933,40.64359,1.000000E+01,6.585879E-01
22.92953,40.64349,1.000000E+01,6.580109E-01
22.92974,40.64338,1.000000E+01,6.572881E-01
22.92994,40.64328,1.000000E+01,6.564031E-01
22.93014,40.64317,1.000000E+01,6.553691E-01
22.93034,40.64307,1.000000E+01,6.542233E-01
22.93054,40.64296,1.000000E+01,6.530175E-01
22.93074,40.64286,1.000000E+01,6.518255E-01
22.93094,40.64275,1.000000E+01,6.507272E-01
22.93115,40.64265,1.000000E+01,6.498176E-01
22.93135,40.64254,1.000000E+01,6.491740E-01
22.93155,40.64244,1.000000E+01,6.488459E-01
22.93175,40.64233,1.000000E+01,6.489516E-01
22.93195,40.64222,1.000000E+01,6.495509E-01
22.93215,40.64212,1.000000E+01,6.506765E-01
22.93235,40.64201,1.000000E+01,6.523252E-01
22.93256,40.64191,1.000000E+01,6.544615E-01
22.93276,40.64180,1.000000E+01,6.569984E-01
22.93296,40.64170,1.000000E+01,6.598123E-01
22.93316,40.64159,1.000000E+01,6.627352E-01
22.93336,40.64149,1.000000E+01,6.655510E-01
22.93356,40.64139,1.000000E+01,6.681237E-01
22.93377,40.64128,1.000000E+01,6.703201E-01
22.93397,40.64118,1.000000E+01,6.719639E-01
22.93417,40.64107,1.000000E+01,6.729525E-01
22.93437,40.64097,1.000000E+01,6.732551E-01
22.93457,40.64086,1.000000E+01,6.729074E-01
22.93477,40.64076,1.000000E+01,6.720150E-01
22.93497,40.64065,1.000000E+01,6.707366E-01
22.93518,40.64055,1.000000E+01,6.692727E-01
22.93538,40.64044,1.000000E+01,6.678687E-01
22.93558,40.64034,1.000000E+01,6.666806E-01
