lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,1.000000E+01,1.000000E+01,1.000000E+01,6.623097E-01,3.887606E-01,1.845375E-01
22.92631,40.64517,1.000000E+01,1.000000E+01,1.000000E+01,6.638382E-01,3.896086E-01,1.849516E-01
22.92651,40.64507,1.000000E+01,1.000000E+01,1.000000E+01,6.649032E-01,3.902136E-01,1.852447E-01
22.92671,40.64496,1.000000E+01,1.000000E+01,1.000000E+01,6.654781E-01,3.905661E-01,1.854150E-01
22.92691,40.64486,1.000000E+01,1.000000E+01,1.000000E+01,6.655909E-01,3.906764E-01,1.854651E-01
22.92712,40.64475,1.000000E+01,1.000000E+01,1.000000E+01,6.653067E-01,3.905816E-01,1.854152E-01
22.92732,40.64465,1.000000E+01,1.000000E+01,1.000000E+01,6.647189E-01,3.903214E-01,1.852847E-01
22.92752,40.64454,1.000000E+01,1.000000E+01,1.000000E+01,6.639376E-01,3.899564E-01,1.851059E-01
22.92772,40.64443,1.000000E+01,1.000000E+01,1.000000E+01,6.630754E-01,3.895428E-01,1.849044E-01
22.92792,40.64433,1.000000E+01,1.000000E+01,1.000000E+01,6.622267E-01,3.891299E-01,1.847030E-01
22.92812,40.64422,1.000000E+01,1.000000E+01,1.000000E+01,6.614569E-01,3.887565E-01,1.845231E-01
22.92833,40.64412,1.000000E+01,1.000000E+01,1.000000E+01,6.608082E-01,3.884659E-01,1.843717E-01
22.92853,40.64401,1.000000E+01,1.000000E+01,1.000000E+01,6.602749E-01,3.882152E-01,1.842522E-01
22.92873,40.64391,1.000000E+01,1.000000E+01,1.000000E+01,6.598372E-01,3.880135E-01,1.841552E-01
22.92893,40.64380,1.000000E+01,1.000000E+01,1.000000E+01,6.594468E-01,3.878377E-01,1.840726E-01
22.92913,40.64370,1.000000E+01,1.000000E+01,1.000000E+01,6.590510E-01,3.876551E-01,1.839855E-01
22.92933,40.64359,1.000000E+01,1.000000E+01,1.000000E+01,6.585879E-01,3.874339E-01,1.838824E-01
22.92953,40.64349,1.000000E+01,1.000000E+01,1.000000E+01,6.580109E-01,3.871435E-01,1.837459E-01
22.92974,40.64338,1.000000E+01,1.000000E+01,1.000000E+01,6.572881E-01,3.867679E-01,1.835709E-01
22.92994,40.64328,1.000000E+01,1.000000E+01,1.000000E+01,6.564031E-01,3.862908E-01,1.833492E-01
22.93014,40.64317,1.000000E+01,1.000000E+01,1.000000E+01,6.553691E-01,3.857212E-01,1.830873E-01
22.93034,40.64307,1.000000E+01,1.000000E+01,1.000000E+01,6.542233E-01,3.850761E-01,1.827907E-01
22.93054,40.64296,1.000000E+01,1.000000E+01,1.000000E+01,6.530175E-01,3.843870E-01,1.824778E-01
22.93074,40.64286,1.000000E+01,1.000000E+01,1.000000E+01,6.518255E-01,3.836949E-01,1.821641E-01
22.93094,40.64275,1.000000E+01,1.000000E+01,1.000000E+01,6.507272E-01,3.830509E-01,1.818760E-01
