sids,lon,lat,depth,vs30,vs30measured
0,22.92611,40.64528,0.00000,3.21977E+02,0
1,22.92631,40.64517,0.00000,3.19934E+02,0
2,22.92651,40.64507,0.00000,3.18533E+02,0
3,22.92671,40.64496,0.00000,3.17800E+02,0
4,22.92691,40.64486,0.00000,3.17701E+02,0
5,22.92712,40.64475,0.00000,3.18148E+02,0
6,22.92732,40.64465,0.00000,3.19014E+02,0
7,22.92752,40.64454,0.00000,3.20151E+02,0
8,22.92772,40.64443,0.00000,3.21410E+02,0
9,22.92792,40.64433,0.00000,3.22662E+02,0
10,22.92812,40.64422,0.00000,3.23810E+02,0
11,22.92833,40.64412,0.00000,3.24803E+02,0
12,22.92853,40.64401,0.00000,3.25631E+02,0
13,22.92873,40.64391,0.00000,3.26331E+02,0
14,22.92893,40.64380,0.00000,3.26965E+02,0
15,22.92913,40.64370,0.00000,3.27613E+02,0
16,22.92933,40.64359,0.00000,3.28360E+02,0
17,22.92953,40.64349,0.00000,3.29279E+02,0
18,22.92974,40.64338,0.00000,3.30420E+02,0
19,22.92994,40.64328,0.00000,3.31805E+02,0
20,22.93014,40.64317,0.00000,3.33420E+02,0
21,22.93034,40.64307,0.00000,3.35218E+02,0
22,22.93054,40.64296,0.00000,3.37121E+02,0
23,22.93074,40.64286,0.00000,3.39023E+02,0
24,22.93094,40.64275,0.00000,3.40800E+02,0
25,22.93115,40.64265,0.00000,3.42311E+02,0
26,22.93135,40.64254,0.00000,3.43415E+02,0
27,22.93155,40.64244,0.00000,3.43975E+02,0
28,22.93175,40.64233,0.00000,3.43874E+02,0
29,22.93195,40.64222,0.00000,3.43025E+02,0
30,22.93215,40.64212,0.00000,3.41385E+02,0
31,22.93235,40.64201,0.00000,3.38965E+02,0
32,22.93256,40.64191,0.00000,3.35836E+02,0
33,22.93276,40.64180,0.00000,3.32134E+02,0
34,22.93296,40.64170,0.00000,3.28053E+02,0
35,22.93316,40.64159,0.00000,3.23843E+02,0
36,22.93336,40.64149,0.00000,3.19823E+02,0
37,22.93356,40.64139,0.00000,3.16184E+02,0
38,22.93377,40.64128,0.00000,3.13123E+02,0
39,22.93397,40.64118,0.00000,3.10884E+02,0
40,22.93417,40.64107,0.00000,3.09584E+02,0
