lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.92611,40.64528,1.899150E+00,1.035643E+00,4.549571E-01
22.92652,40.64506,1.902063E+00,1.036612E+00,4.551142E-01
22.92694,40.64484,1.905070E+00,1.037610E+00,4.552761E-01
22.92735,40.64463,1.908032E+00,1.038589E+00,4.554345E-01
22.92776,40.64441,1.911128E+00,1.039613E+00,4.555986E-01
22.92818,40.64420,1.914252E+00,1.040640E+00,4.557627E-01
22.92859,40.64398,1.917472E+00,1.041700E+00,4.559305E-01
22.92900,40.64377,1.920681E+00,1.042753E+00,4.560961E-01
22.92942,40.64355,1.924073E+00,1.043863E+00,4.562696E-01
22.92983,40.64333,1.927489E+00,1.044980E+00,4.564429E-01
22.93024,40.64312,1.930895E+00,1.046089E+00,4.566142E-01
22.93066,40.64290,1.934505E+00,1.047257E+00,4.567934E-01
22.93107,40.64269,1.938061E+00,1.048405E+00,4.569683E-01
22.93148,40.64247,1.941760E+00,1.049599E+00,4.571488E-01
22.93189,40.64225,1.945527E+00,1.050813E+00,4.573310E-01
22.93231,40.64204,1.949335E+00,1.052034E+00,4.575139E-01
22.93272,40.64182,1.953238E+00,1.053287E+00,4.576997E-01
22.93313,40.64161,1.977370E+00,1.065340E+00,4.626278E-01
22.93355,40.64139,1.949757E+00,1.049724E+00,4.553906E-01
22.93396,40.64118,1.953756E+00,1.051000E+00,4.555764E-01
22.93438,40.64096,1.957964E+00,1.052342E+00,4.557708E-01
22.93479,40.64075,1.962102E+00,1.053658E+00,4.559602E-01
22.93520,40.64053,1.966393E+00,1.055022E+00,4.561554E-01
22.93562,40.64032,1.970733E+00,1.056396E+00,4.563506E-01
22.93603,40.64010,1.975166E+00,1.057801E+00,4.565490E-01
22.93644,40.63989,1.979584E+00,1.059196E+00,4.567444E-01
22.93686,40.63967,1.984223E+00,1.060663E+00,4.569483E-01
22.93727,40.63945,1.988883E+00,1.062134E+00,4.571510E-01
22.93768,40.63924,1.993528E+00,1.063594E+00,4.573513E-01
22.93810,40.63902,1.998400E+00,1.065125E+00,4.575599E-01
22.93851,40.63881,2.003186E+00,1.066624E+00,4.577631E-01
22.93892,40.63859,2.008129E+00,1.068172E+00,4.579716E-01
22.93934,40.63838,2.013127E+00,1.069731E+00,4.581800E-01
22.93975,40.63816,2.018217E+00,1.071318E+00,4.583907E-01
22.94016,40.63794,2.023379E+00,1.072923E+00,4.586027E-01
22.94058,40.63773,2.028591E+00,1.074538E+00,4.588150E-01
22.94099,40.63751,2.033888E+00,1.076179E+00,4.590293E-01
22.94140,40.63730,2.039155E+00,1.077805E+00,4.592406E-01
22.94182,40.63708,2.017839E+00,1.065601E+00,4.535034E-01
22.94223,40.63686,2.023228E+00,1.067266E+00,4.537171E-01
22.94263,40.63664,2.028616E+00,1.068922E+00,4.539289E-01
22.94303,40.63641,2.034188E+00,1.070625E+00,4.541453E-01
22.94345,40.63619,2.039893E+00,1.072360E+00,4.543644E-01
22.94386,40.63598,2.045472E+00,1.074052E+00,4.545773E-01
22.94427,40.63576,2.051204E+00,1.075791E+00,4.547943E-01
22.94468,40.63554,2.056986E+00,1.077542E+00,4.550120E-01
22.94509,40.63532,2.062828E+00,1.079306E+00,4.552300E-01
22.94550,40.63510,2.068724E+00,1.081083E+00,4.554482E-01
22.94592,40.63489,2.074658E+00,1.082865E+00,4.556662E-01
22.94633,40.63467,2.080646E+00,1.084665E+00,4.558845E-01
22.94674,40.63446,2.086573E+00,1.086442E+00,4.560994E-01
22.94716,40.63424,2.092734E+00,1.088288E+00,4.563212E-01
