lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.260471E-01,8.971917E-01,8.587480E-01,8.099048E-01,7.506859E-01,6.820434E-01,6.058666E-01,5.248975E-01,4.425282E-01,3.624581E-01,2.881556E-01,2.223212E-01,1.665432E-01,1.212356E-01,8.583389E-02,5.914002E-02,3.966255E-02,2.588535E-02,1.642615E-02,1.011963E-02,6.038832E-03,3.478311E-03,1.924271E-03,1.015396E-03,5.064669E-04,2.360946E-04,1.014477E-04,3.959219E-05,1.364913E-05,4.082472E-06
22.92652,40.64506,0.00000,9.260235E-01,8.971635E-01,8.587199E-01,8.098832E-01,7.506763E-01,6.820478E-01,6.058837E-01,5.249239E-01,4.425600E-01,3.624929E-01,2.881903E-01,2.223541E-01,1.665723E-01,1.212595E-01,8.585217E-02,5.915304E-02,3.967163E-02,2.589175E-02,1.643081E-02,1.012334E-02,6.041909E-03,3.480879E-03,1.926320E-03,1.016946E-03,5.075661E-04,2.368029E-04,1.018576E-04,3.980675E-05,1.374630E-05,4.121365E-06
22.92694,40.64484,0.00000,9.260320E-01,8.971753E-01,8.587355E-01,8.099025E-01,7.506992E-01,6.820737E-01,6.059121E-01,5.249542E-01,4.425913E-01,3.625238E-01,2.882197E-01,2.223804E-01,1.665949E-01,1.212778E-01,8.586636E-02,5.916370E-02,3.967944E-02,2.589759E-02,1.643537E-02,1.012709E-02,6.045062E-03,3.483517E-03,1.928430E-03,1.018544E-03,5.087005E-04,2.375356E-04,1.022823E-04,4.002948E-05,1.384735E-05,4.161796E-06
22.92735,40.64463,0.00000,9.260402E-01,8.971867E-01,8.587504E-01,8.099209E-01,7.507210E-01,6.820987E-01,6.059396E-01,5.249834E-01,4.426214E-01,3.625538E-01,2.882479E-01,2.224059E-01,1.666168E-01,1.212956E-01,8.588015E-02,5.917400E-02,3.968705E-02,2.590329E-02,1.643983E-02,1.013076E-02,6.048147E-03,3.486103E-03,1.930502E-03,1.020115E-03,5.098169E-04,2.382579E-04,1.027020E-04,4.025042E-05,1.394756E-05,4.201854E-06
22.92776,40.64441,0.00000,9.262689E-01,8.974175E-01,8.589782E-01,8.101392E-01,7.509229E-01,6.822783E-01,6.060929E-01,5.251089E-01,4.427205E-01,3.626298E-01,2.883051E-01,2.224484E-01,1.666478E-01,1.213181E-01,8.589619E-02,5.918531E-02,3.969507E-02,2.590916E-02,1.644437E-02,1.013450E-02,6.051301E-03,3.488753E-03,1.932633E-03,1.021730E-03,5.109662E-04,2.390013E-04,1.031360E-04,4.047783E-05,1.405087E-05,4.242965E-06
22.92818,40.64420,0.00000,9.271921E-01,8.984507E-01,8.601049E-01,8.113235E-01,7.521111E-01,6.834067E-01,6.070996E-01,5.259473E-01,4.433692E-01,3.630954E-01,2.886152E-01,2.226409E-01,1.667604E-01,1.213810E-01,8.593061E-02,5.920429E-02,3.970604E-02,2.591606E-02,1.644924E-02,1.013834E-02,6.054508E-03,3.491437E-03,1.934798E-03,1.023373E-03,5.121375E-04,2.397601E-04,1.035807E-04,4.071129E-05,1.415774E-05,4.285407E-06
22.92859,40.64398,0.00000,9.272520E-01,8.985295E-01,8.602052E-01,8.114457E-01,7.522520E-01,6.835595E-01,6.072549E-01,5.260951E-01,4.435004E-01,3.632049E-01,2.887011E-01,2.227048E-01,1.668059E-01,1.214122E-01,8.595145E-02,5.921798E-02,3.971515E-02,2.592240E-02,1.645399E-02,1.014217E-02,6.057732E-03,3.494145E-03,1.936985E-03,1.025034E-03,5.133233E-04,2.405274E-04,1.040295E-04,4.094690E-05,1.426551E-05,4.328152E-06
22.92900,40.64377,0.00000,9.272720E-01,8.985568E-01,8.602408E-01,8.114897E-01,7.523034E-01,6.836162E-01,6.073137E-01,5.261526E-01,4.435535E-01,3.632513E-01,2.887402E-01,2.227364E-01,1.668308E-01,1.214313E-01,8.596574E-02,5.922844E-02,3.972280E-02,2.592813E-02,1.645849E-02,1.014592E-02,6.060923E-03,3.496839E-03,1.939168E-03,1.026692E-03,5.145103E-04,2.412978E-04,1.044818E-04,4.118411E-05,1.437415E-05,4.371609E-06
22.92942,40.64355,0.00000,9.272810E-01,8.985692E-01,8.602570E-01,8.115097E-01,7.523270E-01,6.836429E-01,6.073430E-01,5.261835E-01,4.435855E-01,3.632827E-01,2.887698E-01,2.227630E-01,1.668534E-01,1.214498E-01,8.598001E-02,5.923909E-02,3.973065E-02,2.593401E-02,1.646314E-02,1.014979E-02,6.064239E-03,3.499644E-03,1.941447E-03,1.028426E-03,5.157514E-04,2.421059E-04,1.049624E-04,4.143258E-05,1.448798E-05,4.417172E-06
22.92983,40.64333,0.00000,9.272889E-01,8.985802E-01,8.602712E-01,8.115271E-01,7.523472E-01,6.836656E-01,6.073677E-01,5.262095E-01,4.436120E-01,3.633092E-01,2.887952E-01,2.227864E-01,1.668738E-01,1.214665E-01,8.599332E-02,5.924919E-02,3.973821E-02,2.593974E-02,1.646769E-02,1.015361E-02,6.067521E-03,3.502431E-03,1.943716E-03,1.030154E-03,5.169887E-04,2.429120E-04,1.054422E-04,4.168067E-05,1.460328E-05,4.462628E-06
