lon,lat,PGA
22.92611,40.64528,3.926780E-01
22.92652,40.64506,3.928932E-01
22.92694,40.64484,3.931150E-01
22.92735,40.64463,3.933330E-01
22.92776,40.64441,3.935574E-01
22.92818,40.64420,3.937858E-01
22.92859,40.64398,3.940166E-01
22.92900,40.64377,3.942473E-01
22.92942,40.64355,3.944884E-01
22.92983,40.64333,3.947287E-01
22.93024,40.64312,3.949692E-01
22.93066,40.64290,3.952204E-01
22.93107,40.64269,3.954672E-01
22.93148,40.64247,3.957204E-01
22.93189,40.64225,3.959770E-01
22.93231,40.64204,3.962379E-01
22.93272,40.64182,3.965010E-01
22.93313,40.64161,4.007430E-01
22.93355,40.64139,3.947842E-01
22.93396,40.64118,3.950514E-01
22.93438,40.64096,3.953302E-01
22.93479,40.64075,3.956039E-01
22.93520,40.64053,3.958844E-01
22.93562,40.64032,3.961693E-01
22.93603,40.64010,3.964562E-01
22.93644,40.63989,3.967424E-01
22.93686,40.63967,3.970408E-01
22.93727,40.63945,3.973369E-01
22.93768,40.63924,3.976323E-01
22.93810,40.63902,3.979396E-01
22.93851,40.63881,3.982403E-01
22.93892,40.63859,3.985479E-01
22.93934,40.63838,3.988598E-01
22.93975,40.63816,3.991728E-01
22.94016,40.63794,3.994886E-01
22.94058,40.63773,3.998089E-01
22.94099,40.63751,4.001299E-01
22.94140,40.63730,4.004495E-01
22.94182,40.63708,3.957317E-01
22.94223,40.63686,3.960542E-01
22.94263,40.63664,3.963729E-01
22.94303,40.63641,3.966975E-01
22.94345,40.63619,3.970321E-01
22.94386,40.63598,3.973588E-01
22.94427,40.63576,3.976910E-01
22.94468,40.63554,3.980246E-01
22.94509,40.63532,3.983597E-01
22.94550,40.63510,3.986962E-01
22.94592,40.63489,3.990363E-01
22.94633,40.63467,3.993751E-01
22.94674,40.63446,3.997111E-01
22.94716,40.63424,4.000580E-01
22.94757,40.63403,4.003954E-01
22.94799,40.63382,4.007397E-01
22.94840,40.63360,4.010820E-01
22.94882,40.63339,4.014271E-01
22.94923,40.63318,4.082536E-01
22.94965,40.63296,4.086095E-01
22.95007,40.63275,4.047123E-01
22.95048,40.63254,4.050527E-01
22.95090,40.63232,4.054025E-01
22.95131,40.63211,4.057419E-01
22.95173,40.63190,4.060872E-01
22.95214,40.63168,4.064291E-01
22.95256,40.63147,4.067723E-01
22.95297,40.63126,4.071079E-01
22.95339,40.63104,4.074516E-01
22.95384,40.63087,4.077941E-01
22.95429,40.63071,4.081310E-01
22.95474,40.63054,4.084691E-01
22.95519,40.63038,4.088015E-01
22.95562,40.63018,4.091324E-01
22.95603,40.62996,4.094549E-01
22.95644,40.62974,4.097740E-01
22.95685,40.62953,4.100861E-01
22.95726,40.62931,4.103976E-01
22.95768,40.62909,4.107107E-01
22.95809,40.62887,4.110136E-01
22.95849,40.62864,3.973062E-01
22.95884,40.62838,3.975658E-01
22.95915,40.62808,3.978098E-01
22.95940,40.62775,3.980245E-01
22.95965,40.62742,3.982333E-01
22.95990,40.62708,3.984382E-01
22.96015,40.62675,3.986349E-01
22.96040,40.62642,3.988255E-01
22.96065,40.62609,3.990099E-01
22.96090,40.62576,3.991877E-01
22.96115,40.62543,3.993587E-01
22.96140,40.62510,3.995230E-01
22.96165,40.62477,4.287121E-01
22.96188,40.62443,4.288661E-01
22.96207,40.62408,4.289918E-01
22.96220,40.62371,4.290790E-01
