lon,lat,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,7.345131E-01,3.926780E-01,1.712467E-01
22.92652,40.64506,7.352141E-01,3.928932E-01,1.712897E-01
22.92694,40.64484,7.359385E-01,3.931150E-01,1.713335E-01
22.92735,40.64463,7.366524E-01,3.933330E-01,1.713763E-01
22.92776,40.64441,7.373877E-01,3.935574E-01,1.714200E-01
22.92818,40.64420,7.381381E-01,3.937858E-01,1.714647E-01
22.92859,40.64398,7.388980E-01,3.940166E-01,1.715095E-01
22.92900,40.64377,7.396600E-01,3.942473E-01,1.715537E-01
22.92942,40.64355,7.404585E-01,3.944884E-01,1.715994E-01
22.92983,40.64333,7.412553E-01,3.947287E-01,1.716447E-01
22.93024,40.64312,7.420539E-01,3.949692E-01,1.716897E-01
22.93066,40.64290,7.428898E-01,3.952204E-01,1.717365E-01
22.93107,40.64269,7.437130E-01,3.954672E-01,1.717822E-01
22.93148,40.64247,7.445590E-01,3.957204E-01,1.718283E-01
22.93189,40.64225,7.454178E-01,3.959770E-01,1.718747E-01
22.93231,40.64204,7.462941E-01,3.962379E-01,1.719221E-01
22.93272,40.64182,7.471785E-01,3.965010E-01,1.719695E-01
22.93313,40.64161,7.556180E-01,4.007430E-01,1.737657E-01
22.93355,40.64139,7.447134E-01,3.947842E-01,1.710707E-01
22.93396,40.64118,7.456179E-01,3.950514E-01,1.711181E-01
22.93438,40.64096,7.465627E-01,3.953302E-01,1.711672E-01
22.93479,40.64075,7.474923E-01,3.956039E-01,1.712152E-01
22.93520,40.64053,7.484456E-01,3.958844E-01,1.712640E-01
22.93562,40.64032,7.494177E-01,3.961693E-01,1.713134E-01
22.93603,40.64010,7.503982E-01,3.964562E-01,1.713628E-01
22.93644,40.63989,7.513791E-01,3.967424E-01,1.714118E-01
22.93686,40.63967,7.524028E-01,3.970408E-01,1.714626E-01
22.93727,40.63945,7.534215E-01,3.973369E-01,1.715127E-01
22.93768,40.63924,7.544407E-01,3.976323E-01,1.715625E-01
22.93810,40.63902,7.555039E-01,3.979396E-01,1.716130E-01
22.93851,40.63881,7.565480E-01,3.982403E-01,1.716621E-01
22.93892,40.63859,7.576178E-01,3.985479E-01,1.717130E-01
22.93934,40.63838,7.587065E-01,3.988598E-01,1.717647E-01
22.93975,40.63816,7.598004E-01,3.991728E-01,1.718160E-01
22.94016,40.63794,7.609070E-01,3.994886E-01,1.718676E-01
22.94058,40.63773,7.620322E-01,3.998089E-01,1.719198E-01
22.94099,40.63751,7.631610E-01,4.001299E-01,1.719717E-01
22.94140,40.63730,7.642873E-01,4.004495E-01,1.720232E-01
22.94182,40.63708,7.557221E-01,3.957317E-01,1.698756E-01
22.94223,40.63686,7.568619E-01,3.960542E-01,1.699271E-01
22.94263,40.63664,7.579907E-01,3.963729E-01,1.699777E-01
22.94303,40.63641,7.591419E-01,3.966975E-01,1.700289E-01
22.94345,40.63619,7.603310E-01,3.970321E-01,1.700818E-01
22.94386,40.63598,7.614942E-01,3.973588E-01,1.701333E-01
22.94427,40.63576,7.626787E-01,3.976910E-01,1.701853E-01
22.94468,40.63554,7.638712E-01,3.980246E-01,1.702373E-01
22.94509,40.63532,7.650713E-01,3.983597E-01,1.702894E-01
22.94550,40.63510,7.662782E-01,3.986962E-01,1.703414E-01
22.94592,40.63489,7.674988E-01,3.990363E-01,1.703941E-01
22.94633,40.63467,7.687172E-01,3.993751E-01,1.704463E-01
22.94674,40.63446,7.699267E-01,3.997111E-01,1.704980E-01
22.94716,40.63424,7.711776E-01,4.000580E-01,1.705512E-01
22.94757,40.63403,7.723960E-01,4.003954E-01,1.706029E-01
22.94799,40.63382,7.736398E-01,4.007397E-01,1.706556E-01
22.94840,40.63360,7.748778E-01,4.010820E-01,1.707076E-01
22.94882,40.63339,7.761256E-01,4.014271E-01,1.707602E-01
22.94923,40.63318,7.901015E-01,4.082536E-01,1.735982E-01
22.94965,40.63296,7.913932E-01,4.086095E-01,1.736519E-01
22.95007,40.63275,7.843015E-01,4.047123E-01,1.718842E-01
22.95048,40.63254,7.855363E-01,4.050527E-01,1.719357E-01
22.95090,40.63232,7.868074E-01,4.054025E-01,1.719884E-01
22.95131,40.63211,7.880424E-01,4.057419E-01,1.720396E-01
22.95173,40.63190,7.892990E-01,4.060872E-01,1.720918E-01
22.95214,40.63168,7.905440E-01,4.064291E-01,1.721431E-01
22.95256,40.63147,7.917930E-01,4.067723E-01,1.721949E-01
22.95297,40.63126,7.930140E-01,4.071079E-01,1.722455E-01
22.95339,40.63104,7.942666E-01,4.074516E-01,1.722992E-01
22.95384,40.63087,7.955067E-01,4.077941E-01,1.723521E-01
22.95429,40.63071,7.967232E-01,4.081310E-01,1.724043E-01
22.95474,40.63054,7.979438E-01,4.084691E-01,1.724567E-01
22.95519,40.63038,7.991387E-01,4.088015E-01,1.725085E-01
22.95562,40.63018,8.003346E-01,4.091324E-01,1.725593E-01
22.95603,40.62996,8.015035E-01,4.094549E-01,1.726084E-01
22.95644,40.62974,8.026582E-01,4.097740E-01,1.726581E-01
22.95685,40.62953,8.037846E-01,4.100861E-01,1.727065E-01
22.95726,40.62931,8.049083E-01,4.103976E-01,1.727544E-01
22.95768,40.62909,8.060354E-01,4.107107E-01,1.728029E-01
22.95809,40.62887,8.071239E-01,4.110136E-01,1.728501E-01
22.95849,40.62864,7.801627E-01,3.973062E-01,1.669656E-01
22.95884,40.62838,7.811064E-01,3.975658E-01,1.670051E-01
22.95915,40.62808,7.820050E-01,3.978098E-01,1.670414E-01
22.95940,40.62775,7.828097E-01,3.980245E-01,1.670720E-01
22.95965,40.62742,7.835933E-01,3.982333E-01,1.671020E-01
22.95990,40.62708,7.843643E-01,3.984382E-01,1.671315E-01
22.96015,40.62675,7.851035E-01,3.986349E-01,1.671601E-01
22.96040,40.62642,7.858207E-01,3.988255E-01,1.671882E-01
22.96065,40.62609,7.865149E-01,3.990099E-01,1.672155E-01
22.96090,40.62576,7.871852E-01,3.991877E-01,1.672421E-01
22.96115,40.62543,7.878308E-01,3.993587E-01,1.672681E-01
22.96140,40.62510,7.884503E-01,3.995230E-01,1.672933E-01
22.96165,40.62477,8.475341E-01,4.287121E-01,1.795381E-01
22.96188,40.62443,8.481177E-01,4.288661E-01,1.795619E-01
22.96207,40.62408,8.486050E-01,4.289918E-01,1.795811E-01
22.96220,40.62371,8.489636E-01,4.290790E-01,1.795934E-01
22.96228,40.62333,8.492039E-01,4.291315E-01,1.796000E-01
22.96235,40.62296,8.493890E-01,4.291694E-01,1.796047E-01
22.96242,40.62258,8.495387E-01,4.291977E-01,1.796084E-01
22.96250,40.62220,8.496682E-01,4.292212E-01,1.796122E-01
22.96257,40.62182,8.497432E-01,4.292298E-01,1.796139E-01
22.96264,40.62144,8.497791E-01,4.292284E-01,1.796147E-01
22.96271,40.62107,8.497793E-01,4.292183E-01,1.796148E-01
22.96279,40.62069,8.497539E-01,4.292021E-01,1.796146E-01
22.96286,40.62031,8.496727E-01,4.291708E-01,1.796125E-01
22.96293,40.61993,8.495519E-01,4.291294E-01,1.796095E-01
22.96300,40.61956,8.493986E-01,4.290803E-01,1.796059E-01
22.96307,40.61918,8.491991E-01,4.290191E-01,1.796009E-01
22.96313,40.61880,8.489438E-01,4.289430E-01,1.795941E-01
22.96306,40.61842,8.484473E-01,4.287946E-01,1.795740E-01
22.96293,40.61806,8.478427E-01,4.286145E-01,1.795480E-01
22.96274,40.61770,8.471103E-01,4.283969E-01,1.795156E-01
22.96249,40.61738,8.462996E-01,4.281559E-01,1.794782E-01
22.96214,40.61710,8.453503E-01,4.278729E-01,1.794322E-01
22.96177,40.61684,8.443669E-01,4.275806E-01,1.793845E-01
22.96141,40.61658,8.814219E-01,4.461292E-01,1.872763E-01
22.96104,40.61632,8.803229E-01,4.458065E-01,1.872252E-01
22.96068,40.61606,8.792152E-01,4.454825E-01,1.871745E-01
22.96031,40.61580,8.780622E-01,4.451462E-01,1.871221E-01
22.95994,40.61554,8.768860E-01,4.448036E-01,1.870691E-01
22.95958,40.61528,8.757067E-01,4.444605E-01,1.870165E-01
22.95921,40.61502,8.744830E-01,4.441054E-01,1.869624E-01
22.95885,40.61476,8.732557E-01,4.437503E-01,1.869087E-01
22.95848,40.61450,8.719859E-01,4.433836E-01,1.868533E-01
22.95812,40.61424,8.140623E-01,4.147467E-01,1.748243E-01
22.95775,40.61397,8.128378E-01,4.143931E-01,1.747710E-01
22.95741,40.61370,8.116535E-01,4.140519E-01,1.747203E-01
22.95725,40.61334,8.106262E-01,4.137592E-01,1.746815E-01
22.95721,40.61296,8.097694E-01,4.135177E-01,1.746529E-01
22.95724,40.61258,8.090225E-01,4.133090E-01,1.746307E-01
22.95726,40.61220,8.082300E-01,4.130879E-01,1.746066E-01
22.95729,40.61182,8.074307E-01,4.128654E-01,1.745829E-01
22.95732,40.61143,8.065826E-01,4.126299E-01,1.745576E-01
22.95735,40.61105,8.057334E-01,4.123944E-01,1.745324E-01
22.95738,40.61067,8.048609E-01,4.121527E-01,1.745065E-01
22.95741,40.61029,8.039656E-01,4.119050E-01,1.744798E-01
22.95744,40.60991,8.030486E-01,4.116513E-01,1.744526E-01
22.95747,40.60953,8.021106E-01,4.113922E-01,1.744247E-01
22.95750,40.60915,8.011528E-01,4.111279E-01,1.743959E-01
22.95753,40.60877,8.001754E-01,4.108582E-01,1.743667E-01
22.95756,40.60839,7.991800E-01,4.105839E-01,1.743370E-01
22.95759,40.60801,8.000697E-01,4.112684E-01,1.747206E-01
22.95762,40.60762,7.990088E-01,4.109760E-01,1.746887E-01
22.95765,40.60724,7.979607E-01,4.106870E-01,1.746571E-01
22.95768,40.60686,7.968979E-01,4.103939E-01,1.746249E-01
22.95774,40.60648,7.958690E-01,4.101118E-01,1.745952E-01
22.95783,40.60611,7.949036E-01,4.098489E-01,1.745688E-01
22.95793,40.60574,7.939394E-01,4.095867E-01,1.745429E-01
22.95804,40.60536,7.929457E-01,4.093169E-01,1.745164E-01
22.95814,40.60499,7.919540E-01,4.090470E-01,1.744896E-01
22.95825,40.60462,7.909649E-01,4.087783E-01,1.744632E-01
22.95835,40.60424,8.991625E-01,4.639636E-01,1.983147E-01
22.95846,40.60387,8.979808E-01,4.636425E-01,1.982840E-01
22.95856,40.60350,8.967705E-01,4.633127E-01,1.982519E-01
22.95867,40.60312,8.955284E-01,4.629744E-01,1.982193E-01
22.95877,40.60275,8.942976E-01,4.626384E-01,1.981863E-01
22.95879,40.60237,8.928941E-01,4.622483E-01,1.981433E-01
22.95870,40.60199,8.913152E-01,4.618007E-01,1.980882E-01
22.95861,40.60162,8.897756E-01,4.613633E-01,1.980342E-01
22.95851,40.60124,8.881864E-01,4.609098E-01,1.979777E-01
22.95842,40.60087,8.866528E-01,4.604720E-01,1.979233E-01
22.95832,40.60050,7.779229E-01,4.051207E-01,1.740397E-01
22.95815,40.60015,7.765853E-01,4.047310E-01,1.739864E-01
22.95785,40.59984,8.666912E-01,4.513019E-01,1.943512E-01
22.95747,40.59959,8.652251E-01,4.508599E-01,1.942815E-01
22.95721,40.59927,8.636873E-01,4.504048E-01,1.942164E-01
22.95716,40.59890,8.622836E-01,4.500012E-01,1.941663E-01
22.95731,40.59854,8.612066E-01,4.497038E-01,1.941380E-01
22.95766,40.59827,8.607284E-01,4.495912E-01,1.941410E-01
22.95811,40.59811,8.607695E-01,4.496345E-01,1.941675E-01
22.95852,40.59790,8.583484E-01,4.484678E-01,1.936874E-01
22.95887,40.59763,8.578252E-01,4.483445E-01,1.936895E-01
22.95921,40.59734,8.572038E-01,4.481928E-01,1.936878E-01
22.95954,40.59706,8.565941E-01,4.480440E-01,1.936861E-01
22.95983,40.59675,8.558139E-01,4.478444E-01,1.936764E-01
22.96002,40.59640,8.547596E-01,4.475597E-01,1.936518E-01
22.96022,40.59605,8.537140E-01,4.472783E-01,1.936280E-01
22.96038,40.59569,8.525831E-01,4.469696E-01,1.935989E-01
22.96051,40.59532,8.513820E-01,4.466386E-01,1.935657E-01
22.96064,40.59495,8.501824E-01,4.463080E-01,1.935324E-01
22.96077,40.59458,8.489851E-01,4.459783E-01,1.934992E-01
22.96090,40.59422,8.478274E-01,4.456600E-01,1.934672E-01
22.96106,40.59385,8.466686E-01,4.453436E-01,1.934368E-01
22.96135,40.59355,8.458924E-01,4.451475E-01,1.934275E-01
22.96174,40.59331,8.454235E-01,4.450479E-01,1.934349E-01
22.96213,40.59307,8.449455E-01,4.449461E-01,1.934421E-01
22.96256,40.59287,8.446388E-01,4.448968E-01,1.934577E-01
22.96301,40.59270,8.444459E-01,4.448819E-01,1.934786E-01
22.96350,40.59265,8.447036E-01,4.449991E-01,1.935178E-01
22.96399,40.59270,8.453059E-01,4.452146E-01,1.935690E-01
22.96449,40.59276,8.459430E-01,4.454410E-01,1.936221E-01
22.96498,40.59281,8.465266E-01,4.456512E-01,1.936727E-01
22.96548,40.59287,8.471438E-01,4.458720E-01,1.937251E-01
22.96598,40.59292,8.477136E-01,4.460794E-01,1.937761E-01
22.96647,40.59297,8.482640E-01,4.462807E-01,1.938259E-01
