lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.277886E-01,8.996852E-01,8.614989E-01,8.117411E-01,7.528591E-01,6.853011E-01,6.057852E-01,5.251295E-01,4.443194E-01,3.635493E-01,2.849680E-01,2.165073E-01,1.596847E-01,1.140589E-01,7.945109E-02,5.415382E-02,3.629678E-02,2.411168E-02,1.532241E-02,9.377166E-03,5.549357E-03,3.108002E-03,1.449261E-03,6.172756E-04,2.447723E-04,8.567319E-05,2.456840E-05,5.981919E-06,7.485964E-07,0.000000E+00
22.92652,40.64506,0.00000,9.277427E-01,8.996212E-01,8.614231E-01,8.116695E-01,7.528764E-01,6.853223E-01,6.057999E-01,5.251614E-01,4.443519E-01,3.635876E-01,2.849953E-01,2.165318E-01,1.597258E-01,1.140766E-01,7.947394E-02,5.416743E-02,3.630488E-02,2.411692E-02,1.532707E-02,9.381625E-03,5.553645E-03,3.109163E-03,1.449781E-03,6.174560E-04,2.462128E-04,8.566980E-05,2.482540E-05,6.071028E-06,7.741691E-07,0.000000E+00
22.92694,40.64484,0.00000,9.277511E-01,8.996336E-01,8.614400E-01,8.116928E-01,7.528933E-01,6.853433E-01,6.058357E-01,5.252001E-01,4.443896E-01,3.636238E-01,2.850218E-01,2.165564E-01,1.597505E-01,1.140945E-01,7.948642E-02,5.417622E-02,3.631065E-02,2.412150E-02,1.533165E-02,9.386253E-03,5.558031E-03,3.110363E-03,1.450321E-03,6.176475E-04,2.464425E-04,8.566826E-05,2.509239E-05,6.163738E-06,8.013943E-07,0.000000E+00
22.92735,40.64463,0.00000,9.277593E-01,8.996454E-01,8.614564E-01,8.117158E-01,7.529093E-01,6.853634E-01,6.058710E-01,5.252364E-01,4.444262E-01,3.636599E-01,2.850477E-01,2.165793E-01,1.597748E-01,1.141118E-01,7.949894E-02,5.418472E-02,3.631629E-02,2.412592E-02,1.533611E-02,9.390752E-03,5.562312E-03,3.111550E-03,1.450855E-03,6.178402E-04,2.464829E-04,8.566872E-05,2.535714E-05,6.255727E-06,8.284659E-07,0.000000E+00
22.92776,40.64441,0.00000,9.277655E-01,8.996547E-01,8.614690E-01,8.136119E-01,7.553025E-01,6.853846E-01,6.058899E-01,5.252579E-01,4.444532E-01,3.636875E-01,2.850740E-01,2.166043E-01,1.597978E-01,1.141296E-01,7.951096E-02,5.419306E-02,3.632188E-02,2.413038E-02,1.534066E-02,9.395412E-03,5.566783E-03,3.112745E-03,1.451391E-03,6.180332E-04,2.465222E-04,8.566855E-05,2.562864E-05,6.350315E-06,8.562799E-07,0.000000E+00
22.92818,40.64420,0.00000,9.282257E-01,8.996667E-01,8.614852E-01,8.136347E-01,7.553297E-01,6.858719E-01,6.063823E-01,5.252954E-01,4.444895E-01,3.637230E-01,2.856774E-01,2.169528E-01,1.598226E-01,1.142323E-01,7.952373E-02,5.420187E-02,3.632769E-02,2.413498E-02,1.534529E-02,9.400067E-03,5.571224E-03,3.113982E-03,1.451952E-03,6.182417E-04,2.465733E-04,8.567289E-05,2.591059E-05,6.447870E-06,8.903796E-07,0.000000E+00
22.92859,40.64398,0.00000,9.282330E-01,8.996778E-01,8.615009E-01,8.136562E-01,7.553544E-01,6.859002E-01,6.064075E-01,5.253261E-01,4.445241E-01,3.637573E-01,2.857042E-01,2.169768E-01,1.598464E-01,1.142501E-01,7.953591E-02,5.421017E-02,3.633328E-02,2.413943E-02,1.534991E-02,9.404819E-03,5.575814E-03,3.115189E-03,1.452497E-03,6.184418E-04,2.466350E-04,8.626923E-05,2.611658E-05,6.546143E-06,9.244927E-07,0.000000E+00
22.92900,40.64377,0.00000,9.282582E-01,8.997210E-01,8.615598E-01,8.137345E-01,7.554513E-01,6.860142E-01,6.064320E-01,5.254127E-01,4.446423E-01,3.638574E-01,2.857306E-01,2.170006E-01,1.598719E-01,1.142677E-01,7.954828E-02,5.421868E-02,3.633887E-02,2.414391E-02,1.535445E-02,9.409517E-03,5.580329E-03,3.116411E-03,1.453056E-03,6.186498E-04,2.467028E-04,8.694093E-05,2.611069E-05,6.645434E-06,9.591323E-07,0.000000E+00
22.92942,40.64355,0.00000,9.282663E-01,8.997334E-01,8.615770E-01,8.137578E-01,7.554783E-01,6.860458E-01,6.064569E-01,5.254506E-01,4.446805E-01,3.638939E-01,2.857578E-01,2.170256E-01,1.598966E-01,1.142857E-01,7.956085E-02,5.422744E-02,3.634464E-02,2.414848E-02,1.535919E-02,9.414403E-03,5.585080E-03,3.117667E-03,1.453650E-03,6.188647E-04,2.467729E-04,8.758812E-05,2.610492E-05,6.749472E-06,9.953583E-07,0.000000E+00
22.92983,40.64333,0.00000,9.282730E-01,8.997433E-01,8.615904E-01,8.137787E-01,7.554992E-01,6.860693E-01,6.064832E-01,5.254732E-01,4.447052E-01,3.639180E-01,2.857848E-01,2.170506E-01,1.599180E-01,1.143036E-01,7.957214E-02,5.423567E-02,3.635031E-02,2.415287E-02,1.536386E-02,9.419300E-03,5.589839E-03,3.118900E-03,1.454232E-03,6.190756E-04,2.468416E-04,8.759709E-05,2.609985E-05,6.853385E-06,1.031470E-06,0.000000E+00
