lon,lat,PGA
22.92611,40.64528,1.635900E-01
22.92652,40.64506,1.636429E-01
22.92694,40.64484,1.636976E-01
22.92735,40.64463,1.637508E-01
22.92776,40.64441,1.638062E-01
22.92818,40.64420,1.638615E-01
22.92859,40.64398,1.639182E-01
22.92900,40.64377,1.639743E-01
22.92942,40.64355,1.640329E-01
22.92983,40.64333,1.640917E-01
22.93024,40.64312,1.641494E-01
22.93066,40.64290,1.642101E-01
22.93107,40.64269,1.642693E-01
22.93148,40.64247,1.643305E-01
22.93189,40.64225,1.643924E-01
22.93231,40.64204,1.644541E-01
22.93272,40.64182,1.645173E-01
22.93313,40.64161,1.662364E-01
22.93355,40.64139,1.637001E-01
22.93396,40.64118,1.637634E-01
22.93438,40.64096,1.638293E-01
22.93479,40.64075,1.638937E-01
22.93520,40.64053,1.639599E-01
22.93562,40.64032,1.640261E-01
22.93603,40.64010,1.640934E-01
22.93644,40.63989,1.641599E-01
22.93686,40.63967,1.642292E-01
22.93727,40.63945,1.642982E-01
22.93768,40.63924,1.643662E-01
22.93810,40.63902,1.644370E-01
22.93851,40.63881,1.645059E-01
22.93892,40.63859,1.645767E-01
22.93934,40.63838,1.646475E-01
22.93975,40.63816,1.647193E-01
22.94016,40.63794,1.647913E-01
22.94058,40.63773,1.648632E-01
22.94099,40.63751,1.649360E-01
22.94140,40.63730,1.650079E-01
22.94182,40.63708,1.629861E-01
22.94223,40.63686,1.630589E-01
22.94263,40.63664,1.631307E-01
22.94303,40.63641,1.632044E-01
22.94345,40.63619,1.632787E-01
22.94386,40.63598,1.633510E-01
22.94427,40.63576,1.634246E-01
22.94468,40.63554,1.634986E-01
22.94509,40.63532,1.635726E-01
22.94550,40.63510,1.636467E-01
22.94592,40.63489,1.637206E-01
22.94633,40.63467,1.637949E-01
22.94674,40.63446,1.638677E-01
22.94716,40.63424,1.639430E-01
22.94757,40.63403,1.640160E-01
22.94799,40.63382,1.640898E-01
22.94840,40.63360,1.641638E-01
22.94882,40.63339,1.642376E-01
22.94923,40.63318,1.669683E-01
22.94965,40.63296,1.670440E-01
22.95007,40.63275,1.653819E-01
22.95048,40.63254,1.654504E-01
22.95090,40.63232,1.655255E-01
22.95131,40.63211,1.655979E-01
22.95173,40.63190,1.656711E-01
22.95214,40.63168,1.657158E-01
22.95256,40.63147,1.657586E-01
22.95297,40.63126,1.658004E-01
22.95339,40.63104,1.658430E-01
22.95384,40.63087,1.658847E-01
22.95429,40.63071,1.659250E-01
22.95474,40.63054,1.659660E-01
22.95519,40.63038,1.660057E-01
22.95562,40.63018,1.660462E-01
22.95603,40.62996,1.660860E-01
22.95644,40.62974,1.661261E-01
22.95685,40.62953,1.661648E-01
22.95726,40.62931,1.662032E-01
22.95768,40.62909,1.662419E-01
22.95809,40.62887,1.662795E-01
22.95849,40.62864,1.605902E-01
22.95884,40.62838,1.606285E-01
22.95915,40.62808,1.606655E-01
22.95940,40.62775,1.606991E-01
22.95965,40.62742,1.607317E-01
22.95990,40.62708,1.607640E-01
22.96015,40.62675,1.607949E-01
22.96040,40.62642,1.608248E-01
22.96065,40.62609,1.608540E-01
22.96090,40.62576,1.608820E-01
22.96115,40.62543,1.609091E-01
22.96140,40.62510,1.609354E-01
22.96165,40.62477,1.728551E-01
22.96188,40.62443,1.728766E-01
22.96207,40.62408,1.728958E-01
22.96220,40.62371,1.729118E-01
22.96228,40.62333,1.729245E-01
22.96235,40.62296,1.729361E-01
22.96242,40.62258,1.729471E-01
22.96250,40.62220,1.729580E-01
22.96257,40.62182,1.729676E-01
22.96264,40.62144,1.729764E-01
22.96271,40.62107,1.729846E-01
22.96279,40.62069,1.729927E-01
22.96286,40.62031,1.729995E-01
22.96293,40.61993,1.730058E-01
22.96300,40.61956,1.730112E-01
22.96307,40.61918,1.730160E-01
22.96313,40.61880,1.730196E-01
22.96306,40.61842,1.730157E-01
22.96293,40.61806,1.730079E-01
22.96274,40.61770,1.729964E-01
22.96249,40.61738,1.729813E-01
22.96214,40.61710,1.729605E-01
22.96177,40.61684,1.729382E-01
22.96141,40.61658,1.807868E-01
22.96104,40.61632,1.807242E-01
22.96068,40.61606,1.806608E-01
22.96031,40.61580,1.805947E-01
22.95994,40.61554,1.805272E-01
22.95958,40.61528,1.804593E-01
22.95921,40.61502,1.803890E-01
22.95885,40.61476,1.803184E-01
22.95848,40.61450,1.802451E-01
22.95812,40.61424,1.685652E-01
22.95775,40.61397,1.685323E-01
22.95741,40.61370,1.685008E-01
22.95725,40.61334,1.684767E-01
22.95721,40.61296,1.684565E-01
22.95724,40.61258,1.684230E-01
22.95726,40.61220,1.683729E-01
22.95729,40.61182,1.683222E-01
22.95732,40.61143,1.682778E-01
22.95735,40.61105,1.682257E-01
22.95738,40.61067,1.681694E-01
22.95741,40.61029,1.681115E-01
22.95744,40.60991,1.680518E-01
22.95747,40.60953,1.679904E-01
22.95750,40.60915,1.679281E-01
22.95753,40.60877,1.678635E-01
22.95756,40.60839,1.677975E-01
22.95759,40.60801,1.681265E-01
22.95762,40.60762,1.680556E-01
22.95765,40.60724,1.679849E-01
22.95768,40.60686,1.679129E-01
22.95774,40.60648,1.678427E-01
22.95783,40.60611,1.677761E-01
22.95793,40.60574,1.677092E-01
22.95804,40.60536,1.676401E-01
22.95814,40.60499,1.675708E-01
22.95825,40.60462,1.675013E-01
22.95835,40.60424,1.900534E-01
22.95846,40.60387,1.899703E-01
22.95856,40.60350,1.898850E-01
22.95867,40.60312,1.897971E-01
22.95877,40.60275,1.897097E-01
22.95879,40.60237,1.896132E-01
22.95870,40.60199,1.895053E-01
22.95861,40.60162,1.893994E-01
22.95851,40.60124,1.892893E-01
22.95842,40.60087,1.891823E-01
22.95832,40.60050,1.665644E-01
22.95815,40.60015,1.664660E-01
22.95785,40.59984,1.856707E-01
22.95747,40.59959,1.855671E-01
22.95721,40.59927,1.854564E-01
22.95716,40.59890,1.853527E-01
22.95731,40.59854,1.852707E-01
22.95766,40.59827,1.852318E-01
22.95811,40.59811,1.852316E-01
22.95852,40.59790,1.847475E-01
22.95887,40.59763,1.847069E-01
22.95921,40.59734,1.846590E-01
22.95954,40.59706,1.846127E-01
22.95983,40.59675,1.845540E-01
22.96002,40.59640,1.844749E-01
22.96022,40.59605,1.843967E-01
22.96038,40.59569,1.843117E-01
22.96051,40.59532,1.842217E-01
22.96064,40.59495,1.841315E-01
22.96077,40.59458,1.840414E-01
22.96090,40.59422,1.839541E-01
22.96106,40.59385,1.838666E-01
22.96135,40.59355,1.838088E-01
22.96174,40.59331,1.837749E-01
22.96213,40.59307,1.837407E-01
22.96256,40.59287,1.837202E-01
22.96301,40.59270,1.837087E-01
22.96350,40.59265,1.837322E-01
22.96399,40.59270,1.837824E-01
22.96449,40.59276,1.838353E-01
22.96498,40.59281,1.838844E-01
22.96548,40.59287,1.839361E-01
22.96598,40.59292,1.839847E-01
22.96647,40.59297,1.840319E-01
22.96697,40.59303,1.778087E-01
22.96746,40.59308,1.778532E-01
22.96796,40.59313,1.778978E-01
22.96845,40.59319,1.779437E-01
22.96895,40.59324,1.779870E-01
22.96945,40.59329,1.780297E-01
22.96995,40.59331,1.780636E-01
