lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.92611,40.64528,5.708751E-01,3.474917E-01,1.635900E-01
22.92652,40.64506,5.714169E-01,3.475411E-01,1.636429E-01
22.92694,40.64484,5.715296E-01,3.475923E-01,1.636976E-01
22.92735,40.64463,5.715747E-01,3.476430E-01,1.637508E-01
22.92776,40.64441,5.716195E-01,3.476938E-01,1.638062E-01
22.92818,40.64420,5.716710E-01,3.477469E-01,1.638615E-01
22.92859,40.64398,5.717249E-01,3.477986E-01,1.639182E-01
22.92900,40.64377,5.717822E-01,3.478514E-01,1.639743E-01
22.92942,40.64355,5.718414E-01,3.479071E-01,1.640329E-01
22.92983,40.64333,5.718994E-01,3.479618E-01,1.640917E-01
22.93024,40.64312,5.719606E-01,3.480175E-01,1.641494E-01
22.93066,40.64290,5.720239E-01,3.480756E-01,1.642101E-01
22.93107,40.64269,5.720878E-01,3.481329E-01,1.642693E-01
22.93148,40.64247,5.721518E-01,3.481896E-01,1.643305E-01
22.93189,40.64225,5.722174E-01,3.482477E-01,1.643924E-01
22.93231,40.64204,5.722890E-01,3.483080E-01,1.644541E-01
22.93272,40.64182,5.725709E-01,3.483669E-01,1.645173E-01
22.93313,40.64161,5.788469E-01,3.521230E-01,1.662364E-01
22.93355,40.64139,5.706302E-01,3.463995E-01,1.637001E-01
22.93396,40.64118,5.712694E-01,3.464598E-01,1.637634E-01
22.93438,40.64096,5.718817E-01,3.465218E-01,1.638293E-01
22.93479,40.64075,5.719647E-01,3.465832E-01,1.638937E-01
22.93520,40.64053,5.720470E-01,3.466449E-01,1.639599E-01
22.93562,40.64032,5.721356E-01,3.467089E-01,1.640261E-01
22.93603,40.64010,5.722214E-01,3.467713E-01,1.640934E-01
22.93644,40.63989,5.723109E-01,3.468347E-01,1.641599E-01
22.93686,40.63967,5.726752E-01,3.468998E-01,1.642292E-01
22.93727,40.63945,5.732305E-01,3.469635E-01,1.642982E-01
22.93768,40.63924,5.739126E-01,3.470283E-01,1.643662E-01
22.93810,40.63902,5.750983E-01,3.470951E-01,1.644370E-01
22.93851,40.63881,5.762610E-01,3.471609E-01,1.645059E-01
22.93892,40.63859,5.774444E-01,3.472266E-01,1.645767E-01
22.93934,40.63838,5.780692E-01,3.472950E-01,1.646475E-01
22.93975,40.63816,5.782651E-01,3.473617E-01,1.647193E-01
22.94016,40.63794,5.783702E-01,3.474284E-01,1.647913E-01
22.94058,40.63773,5.784824E-01,3.474981E-01,1.648632E-01
22.94099,40.63751,5.785894E-01,3.475658E-01,1.649360E-01
