lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.350963E-01,9.096489E-01,8.751777E-01,8.306060E-01,7.755857E-01,7.106643E-01,6.373372E-01,5.580144E-01,4.758291E-01,3.943545E-01,3.171690E-01,2.473193E-01,1.869233E-01,1.369752E-01,9.738287E-02,6.721892E-02,4.507698E-02,2.937698E-02,1.860340E-02,1.143852E-02,6.819259E-03,3.932273E-03,2.186210E-03,1.165834E-03,5.925362E-04,2.842821E-04,1.274645E-04,5.262971E-05,1.965032E-05,6.454243E-06
22.92652,40.64506,0.00000,9.350733E-01,9.096210E-01,8.751498E-01,8.305847E-01,7.755768E-01,7.106696E-01,6.373552E-01,5.580410E-01,4.758600E-01,3.943873E-01,3.172014E-01,2.473500E-01,1.869511E-01,1.369987E-01,9.740119E-02,6.723229E-02,4.508647E-02,2.938368E-02,1.860833E-02,1.144245E-02,6.822534E-03,3.935003E-03,2.188386E-03,1.167480E-03,5.936910E-04,2.850391E-04,1.279139E-04,5.287056E-05,1.976873E-05,6.505627E-06
22.92694,40.64484,0.00000,9.350808E-01,9.096315E-01,8.751637E-01,8.306021E-01,7.755976E-01,7.106934E-01,6.373819E-01,5.580695E-01,4.758897E-01,3.944174E-01,3.172303E-01,2.473766E-01,1.869743E-01,1.370180E-01,9.741626E-02,6.724353E-02,4.509475E-02,2.938982E-02,1.861313E-02,1.144643E-02,6.825891E-03,3.937810E-03,2.190629E-03,1.169177E-03,5.948833E-04,2.858216E-04,1.283789E-04,5.312295E-05,1.989230E-05,6.558992E-06
22.92735,40.64463,0.00000,9.350880E-01,9.096415E-01,8.751770E-01,8.306188E-01,7.756175E-01,7.107162E-01,6.374072E-01,5.580970E-01,4.759185E-01,3.944463E-01,3.172584E-01,2.474023E-01,1.869969E-01,1.370366E-01,9.743088E-02,6.725457E-02,4.510282E-02,2.939584E-02,1.861783E-02,1.145031E-02,6.829176E-03,3.940561E-03,2.192830E-03,1.170846E-03,5.960571E-04,2.865928E-04,1.288377E-04,5.337241E-05,2.001449E-05,6.611810E-06
22.92776,40.64441,0.00000,9.353099E-01,9.098677E-01,8.754038E-01,8.308410E-01,7.758290E-01,7.109108E-01,6.375796E-01,5.582438E-01,4.760388E-01,3.945416E-01,3.173316E-01,2.474572E-01,1.870370E-01,1.370652E-01,9.745084E-02,6.726817E-02,4.511214E-02,2.940241E-02,1.862276E-02,1.145434E-02,6.832555E-03,3.943393E-03,2.195095E-03,1.172563E-03,5.972637E-04,2.873843E-04,1.293080E-04,5.362834E-05,2.013975E-05,6.665886E-06
22.92818,40.64420,0.00000,9.361580E-01,9.108279E-01,8.764737E-01,8.320011E-01,7.770409E-01,7.121208E-01,6.387255E-01,5.592683E-01,4.768991E-01,3.952186E-01,3.178299E-01,2.478004E-01,1.872585E-01,1.371996E-01,9.752808E-02,6.731053E-02,4.513482E-02,2.941474E-02,1.863000E-02,1.145920E-02,6.836228E-03,3.946327E-03,2.197408E-03,1.174310E-03,5.984940E-04,2.881934E-04,1.297900E-04,5.389116E-05,2.026884E-05,6.721789E-06
22.92859,40.64398,0.00000,9.362091E-01,9.108959E-01,8.765622E-01,8.321120E-01,7.771736E-01,7.122715E-01,6.388871E-01,5.594312E-01,4.770536E-01,3.953558E-01,3.179445E-01,2.478907E-01,1.873256E-01,1.372470E-01,9.756006E-02,6.733133E-02,4.514804E-02,2.942331E-02,1.863592E-02,1.146368E-02,6.839837E-03,3.949283E-03,2.199752E-03,1.176081E-03,5.997391E-04,2.890106E-04,1.302746E-04,5.415508E-05,2.039816E-05,6.778143E-06
22.92900,40.64377,0.00000,9.362267E-01,9.109198E-01,8.765937E-01,8.321516E-01,7.772207E-01,7.123249E-01,6.389442E-01,5.594893E-01,4.771095E-01,3.954071E-01,3.179892E-01,2.479280E-01,1.873554E-01,1.372699E-01,9.757679E-02,6.734330E-02,4.515650E-02,2.942948E-02,1.864070E-02,1.146766E-02,6.843233E-03,3.952158E-03,2.202069E-03,1.177843E-03,6.009845E-04,2.898297E-04,1.307616E-04,5.442080E-05,2.052861E-05,6.835157E-06
22.92942,40.64355,0.00000,9.362346E-01,9.109308E-01,8.766081E-01,8.321696E-01,7.772422E-01,7.123495E-01,6.389714E-01,5.595186E-01,4.771399E-01,3.954375E-01,3.180185E-01,2.479548E-01,1.873789E-01,1.372893E-01,9.759198E-02,6.735464E-02,4.516481E-02,2.943567E-02,1.864558E-02,1.147176E-02,6.846763E-03,3.955153E-03,2.204490E-03,1.179686E-03,6.022867E-04,2.906862E-04,1.312703E-04,5.469822E-05,2.066495E-05,6.894734E-06
22.92983,40.64333,0.00000,9.362416E-01,9.109405E-01,8.766208E-01,8.321854E-01,7.772607E-01,7.123704E-01,6.389943E-01,5.595430E-01,4.771652E-01,3.954629E-01,3.180432E-01,2.479776E-01,1.873990E-01,1.373062E-01,9.760553E-02,6.736494E-02,4.517251E-02,2.944152E-02,1.865028E-02,1.147577E-02,6.850243E-03,3.958125E-03,2.206899E-03,1.181521E-03,6.035845E-04,2.915399E-04,1.317769E-04,5.497591E-05,2.080069E-05,6.954001E-06
22.93024,40.64312,0.00000,9.362491E-01,9.109510E-01,8.766345E-01,8.322024E-01,7.772812E-01,7.123938E-01,6.390204E-01,5.595708E-01,4.771944E-01,3.954921E-01,3.180715E-01,2.480037E-01,1.874218E-01,1.373250E-01,9.762022E-02,6.737596E-02,4.518057E-02,2.944756E-02,1.865505E-02,1.147979E-02,6.853717E-03,3.961090E-03,2.209304E-03,1.183355E-03,6.048874E-04,2.923961E-04,1.322862E-04,5.525772E-05,2.093760E-05,7.013935E-06
22.93066,40.64290,0.00000,9.362569E-01,9.109619E-01,8.766490E-01,8.322204E-01,7.773027E-01,7.124184E-01,6.390477E-01,5.596002E-01,4.772248E-01,3.955226E-01,3.181007E-01,2.480306E-01,1.874452E-01,1.373443E-01,9.763538E-02,6.738730E-02,4.518886E-02,2.945376E-02,1.865995E-02,1.148396E-02,6.857327E-03,3.964180E-03,2.211814E-03,1.185272E-03,6.062493E-04,2.932907E-04,1.328196E-04,5.555209E-05,2.108110E-05,7.076963E-06
22.93107,40.64269,0.00000,9.362645E-01,9.109724E-01,8.766627E-01,8.322375E-01,7.773232E-01,7.124419E-01,6.390737E-01,5.596283E-01,4.772540E-01,3.955519E-01,3.181290E-01,2.480565E-01,1.874679E-01,1.373632E-01,9.765010E-02,6.739832E-02,4.519692E-02,2.945981E-02,1.866474E-02,1.148801E-02,6.860857E-03,3.967203E-03,2.214277E-03,1.187155E-03,6.075891E-04,2.941717E-04,1.333465E-04,5.584289E-05,2.122292E-05,7.139439E-06
22.93148,40.64247,0.00000,9.362754E-01,9.109877E-01,8.766832E-01,8.322634E-01,7.773540E-01,7.124770E-01,6.391121E-01,5.596683E-01,4.772943E-01,3.955908E-01,3.181652E-01,2.480885E-01,1.874946E-01,1.373844E-01,9.766610E-02,6.740994E-02,4.520522E-02,2.946588E-02,1.866953E-02,1.149210E-02,6.864446E-03,3.970292E-03,2.216798E-03,1.189088E-03,6.089641E-04,2.950752E-04,1.338865E-04,5.614088E-05,2.136790E-05,7.203611E-06
22.93189,40.64225,0.00000,9.365703E-01,9.113265E-01,8.770655E-01,8.326825E-01,7.777960E-01,7.129217E-01,6.395364E-01,5.600505E-01,4.776182E-01,3.958485E-01,3.183574E-01,2.482235E-01,1.875841E-01,1.374408E-01,9.770027E-02,6.743012E-02,4.521720E-02,2.947344E-02,1.867487E-02,1.149637E-02,6.868097E-03,3.973420E-03,2.219350E-03,1.191046E-03,6.103572E-04,2.959921E-04,1.344349E-04,5.644370E-05,2.151496E-05,7.268744E-06
22.93231,40.64204,0.00000,9.365778E-01,9.113370E-01,8.770794E-01,8.327000E-01,7.778167E-01,7.129455E-01,6.395627E-01,5.600789E-01,4.776479E-01,3.958783E-01,3.183863E-01,2.482500E-01,1.876072E-01,1.374600E-01,9.771527E-02,6.744137E-02,4.522546E-02,2.947961E-02,1.867978E-02,1.150056E-02,6.871770E-03,3.976592E-03,2.221941E-03,1.193037E-03,6.117772E-04,2.969285E-04,1.349966E-04,5.675454E-05,2.166789E-05,7.335797E-06
22.93272,40.64182,0.00000,9.366013E-01,9.113691E-01,8.771221E-01,8.327546E-01,7.778834E-01,7.130231E-01,6.396484E-01,5.601678E-01,4.777349E-01,3.959580E-01,3.184548E-01,2.483054E-01,1.876497E-01,1.374907E-01,9.773663E-02,6.745570E-02,4.523502E-02,2.948628E-02,1.868483E-02,1.150480E-02,6.875469E-03,3.979784E-03,2.224555E-03,1.195043E-03,6.132079E-04,2.978710E-04,1.355617E-04,5.706755E-05,2.182106E-05,7.402832E-06
