lon,lat,PGA
22.92611,40.64528,4.177971E-01
22.92652,40.64506,4.180312E-01
22.92694,40.64484,4.182727E-01
22.92735,40.64463,4.185100E-01
22.92776,40.64441,4.187544E-01
22.92818,40.64420,4.190037E-01
22.92859,40.64398,4.192566E-01
22.92900,40.64377,4.195076E-01
22.92942,40.64355,4.197701E-01
22.92983,40.64333,4.200317E-01
22.93024,40.64312,4.202932E-01
22.93066,40.64290,4.205666E-01
22.93107,40.64269,4.208351E-01
22.93148,40.64247,4.211107E-01
22.93189,40.64225,4.213899E-01
22.93231,40.64204,4.216740E-01
22.93272,40.64182,4.219606E-01
22.93313,40.64161,4.100926E-01
22.93355,40.64139,4.119189E-01
22.93396,40.64118,4.122037E-01
22.93438,40.64096,4.125007E-01
22.93479,40.64075,4.127924E-01
22.93520,40.64053,4.130914E-01
22.93562,40.64032,4.133952E-01
22.93603,40.64010,4.137011E-01
22.93644,40.63989,4.140066E-01
22.93686,40.63967,4.143248E-01
22.93727,40.63945,4.146410E-01
22.93768,40.63924,4.149563E-01
22.93810,40.63902,4.152843E-01
22.93851,40.63881,4.156054E-01
22.93892,40.63859,4.159341E-01
22.93934,40.63838,4.162677E-01
22.93975,40.63816,4.166023E-01
22.94016,40.63794,4.169399E-01
22.94058,40.63773,4.172824E-01
22.94099,40.63751,4.176256E-01
22.94140,40.63730,4.179673E-01
22.94182,40.63708,3.936585E-01
22.94223,40.63686,3.939840E-01
22.94263,40.63664,3.943057E-01
22.94303,40.63641,3.946336E-01
22.94345,40.63619,3.949715E-01
22.94386,40.63598,3.953016E-01
22.94427,40.63576,3.956374E-01
22.94468,40.63554,3.959749E-01
22.94509,40.63532,3.963142E-01
22.94550,40.63510,3.966548E-01
22.94592,40.63489,3.969993E-01
22.94633,40.63467,3.973427E-01
22.94674,40.63446,3.976831E-01
22.94716,40.63424,3.980352E-01
22.94757,40.63403,3.983780E-01
22.94799,40.63382,3.987276E-01
22.94840,40.63360,3.990752E-01
22.94882,40.63339,3.994256E-01
22.94923,40.63318,4.064871E-01
22.94965,40.63296,4.068491E-01
22.95007,40.63275,4.079044E-01
22.95048,40.63254,4.082558E-01
22.95090,40.63232,4.086174E-01
22.95131,40.63211,4.089684E-01
22.95173,40.63190,4.093256E-01
22.95214,40.63168,4.096791E-01
22.95256,40.63147,4.100342E-01
22.95297,40.63126,4.103812E-01
22.95339,40.63104,4.107418E-01
22.95384,40.63087,4.110958E-01
22.95429,40.63071,4.114440E-01
22.95474,40.63054,4.117934E-01
22.95519,40.63038,4.121364E-01
22.95562,40.63018,4.124787E-01
22.95603,40.62996,4.128124E-01
22.95644,40.62974,4.131461E-01
22.95685,40.62953,4.134699E-01
22.95726,40.62931,4.137924E-01
22.95768,40.62909,4.141165E-01
22.95809,40.62887,4.144301E-01
22.95849,40.62864,3.848528E-01
22.95884,40.62838,3.851100E-01
22.95915,40.62808,3.853525E-01
22.95940,40.62775,3.855667E-01
22.95965,40.62742,3.857752E-01
22.95990,40.62708,3.859800E-01
22.96015,40.62675,3.861766E-01
22.96040,40.62642,3.863669E-01
22.96065,40.62609,3.865510E-01
22.96090,40.62576,3.867284E-01
22.96115,40.62543,3.868992E-01
22.96140,40.62510,3.870631E-01
22.96165,40.62477,4.223588E-01
22.96188,40.62443,4.225152E-01
22.96207,40.62408,4.226434E-01
22.96220,40.62371,4.227331E-01
22.96228,40.62333,4.227884E-01
22.96235,40.62296,4.228290E-01
22.96242,40.62258,4.228602E-01
22.96250,40.62220,4.228865E-01
22.96257,40.62182,4.228979E-01
22.96264,40.62144,4.228992E-01
22.96271,40.62107,4.228916E-01
22.96279,40.62069,4.228777E-01
22.96286,40.62031,4.228487E-01
22.96293,40.61993,4.228093E-01
22.96300,40.61956,4.227621E-01
22.96307,40.61918,4.227027E-01
22.96313,40.61880,4.226282E-01
22.96306,40.61842,4.224814E-01
22.96293,40.61806,4.223028E-01
22.96274,40.61770,4.220866E-01
22.96249,40.61738,4.218468E-01
22.96214,40.61710,4.215648E-01
22.96177,40.61684,4.212731E-01
22.96141,40.61658,4.437567E-01
22.96104,40.61632,4.434315E-01
22.96068,40.61606,4.431049E-01
22.96031,40.61580,4.427659E-01
22.95994,40.61554,4.424201E-01
22.95958,40.61528,4.420741E-01
22.95921,40.61502,4.417159E-01
22.95885,40.61476,4.413573E-01
22.95848,40.61450,4.409868E-01
22.95812,40.61424,4.537164E-01
22.95775,40.61397,4.533159E-01
22.95741,40.61370,4.529293E-01
22.95725,40.61334,4.525985E-01
22.95721,40.61296,4.523256E-01
22.95724,40.61258,4.520903E-01
22.95726,40.61220,4.518404E-01
22.95729,40.61182,4.515893E-01
22.95732,40.61143,4.513231E-01
22.95735,40.61105,4.510567E-01
22.95738,40.61067,4.507832E-01
22.95741,40.61029,4.505026E-01
22.95744,40.60991,4.502152E-01
22.95747,40.60953,4.499213E-01
22.95750,40.60915,4.496216E-01
22.95753,40.60877,4.493155E-01
22.95756,40.60839,4.490037E-01
22.95759,40.60801,4.531778E-01
22.95762,40.60762,4.528424E-01
22.95765,40.60724,4.525108E-01
22.95768,40.60686,4.521742E-01
22.95774,40.60648,4.518501E-01
22.95783,40.60611,4.515477E-01
22.95793,40.60574,4.512464E-01
22.95804,40.60536,4.509362E-01
22.95814,40.60499,4.506258E-01
22.95825,40.60462,4.503168E-01
22.95835,40.60424,4.455245E-01
22.95846,40.60387,4.452115E-01
22.95856,40.60350,4.448899E-01
22.95867,40.60312,4.445603E-01
22.95877,40.60275,4.442329E-01
22.95879,40.60237,4.438533E-01
22.95870,40.60199,4.434182E-01
22.95861,40.60162,4.429931E-01
22.95851,40.60124,4.425532E-01
22.95842,40.60087,4.421287E-01
22.95832,40.60050,4.461202E-01
22.95815,40.60015,4.456741E-01
22.95785,40.59984,4.399813E-01
22.95747,40.59959,4.395458E-01
22.95721,40.59927,4.390994E-01
