lon,lat,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,7.859948E-01,4.177971E-01,1.838098E-01
22.92652,40.64506,7.867434E-01,4.180312E-01,1.838566E-01
22.92694,40.64484,7.875170E-01,4.182727E-01,1.839043E-01
22.92735,40.64463,7.882796E-01,4.185100E-01,1.839510E-01
22.92776,40.64441,7.890633E-01,4.187544E-01,1.839992E-01
22.92818,40.64420,7.898640E-01,4.190037E-01,1.840529E-01
22.92859,40.64398,7.906737E-01,4.192566E-01,1.841049E-01
22.92900,40.64377,7.914852E-01,4.195076E-01,1.841531E-01
22.92942,40.64355,7.923341E-01,4.197701E-01,1.842032E-01
22.92983,40.64333,7.931809E-01,4.200317E-01,1.842526E-01
22.93024,40.64312,7.940310E-01,4.202932E-01,1.843018E-01
22.93066,40.64290,7.949196E-01,4.205666E-01,1.843530E-01
22.93107,40.64269,7.957948E-01,4.208351E-01,1.844031E-01
22.93148,40.64247,7.966931E-01,4.211107E-01,1.844539E-01
22.93189,40.64225,7.976050E-01,4.213899E-01,1.845059E-01
22.93231,40.64204,7.985361E-01,4.216740E-01,1.845579E-01
22.93272,40.64182,7.994740E-01,4.219606E-01,1.846104E-01
22.93313,40.64161,7.771500E-01,4.100926E-01,1.792679E-01
22.93355,40.64139,7.810434E-01,4.119189E-01,1.800022E-01
22.93396,40.64118,7.819818E-01,4.122037E-01,1.800529E-01
22.93438,40.64096,7.829615E-01,4.125007E-01,1.801058E-01
22.93479,40.64075,7.839254E-01,4.127924E-01,1.801576E-01
22.93520,40.64053,7.849127E-01,4.130914E-01,1.802102E-01
22.93562,40.64032,7.859198E-01,4.133952E-01,1.802635E-01
22.93603,40.64010,7.869323E-01,4.137011E-01,1.803167E-01
22.93644,40.63989,7.879459E-01,4.140066E-01,1.803696E-01
22.93686,40.63967,7.890030E-01,4.143248E-01,1.804244E-01
22.93727,40.63945,7.900549E-01,4.146410E-01,1.804785E-01
22.93768,40.63924,7.911071E-01,4.149563E-01,1.805323E-01
22.93810,40.63902,7.922028E-01,4.152843E-01,1.805868E-01
22.93851,40.63881,7.932785E-01,4.156054E-01,1.806398E-01
22.93892,40.63859,7.943782E-01,4.159341E-01,1.806950E-01
22.93934,40.63838,7.954974E-01,4.162677E-01,1.807508E-01
22.93975,40.63816,7.966196E-01,4.166023E-01,1.808064E-01
22.94016,40.63794,7.977533E-01,4.169399E-01,1.808623E-01
22.94058,40.63773,7.989067E-01,4.172824E-01,1.809187E-01
22.94099,40.63751,8.000620E-01,4.176256E-01,1.809750E-01
22.94140,40.63730,8.012173E-01,4.179673E-01,1.810308E-01
22.94182,40.63708,7.545688E-01,3.936585E-01,1.702792E-01
22.94223,40.63686,7.556683E-01,3.939840E-01,1.703320E-01
22.94263,40.63664,7.567561E-01,3.943057E-01,1.703839E-01
22.94303,40.63641,7.578643E-01,3.946336E-01,1.704365E-01
22.94345,40.63619,7.590100E-01,3.949715E-01,1.704906E-01
22.94386,40.63598,7.601324E-01,3.953016E-01,1.705433E-01
22.94427,40.63576,7.612748E-01,3.956374E-01,1.705965E-01
22.94468,40.63554,7.624249E-01,3.959749E-01,1.706499E-01
22.94509,40.63532,7.635823E-01,3.963142E-01,1.707033E-01
22.94550,40.63510,7.647458E-01,3.966548E-01,1.707566E-01
22.94592,40.63489,7.659241E-01,3.969993E-01,1.708106E-01
22.94633,40.63467,7.670989E-01,3.973427E-01,1.708640E-01
22.94674,40.63446,7.682663E-01,3.976831E-01,1.709170E-01
22.94716,40.63424,7.694730E-01,3.980352E-01,1.709716E-01
22.94757,40.63403,7.706482E-01,3.983780E-01,1.710245E-01
22.94799,40.63382,7.718485E-01,3.987276E-01,1.710784E-01
22.94840,40.63360,7.730421E-01,3.990752E-01,1.711318E-01
22.94882,40.63339,7.742462E-01,3.994256E-01,1.711856E-01
22.94923,40.63318,7.886392E-01,4.064871E-01,1.741467E-01
22.94965,40.63296,7.898844E-01,4.068491E-01,1.742019E-01
22.95007,40.63275,7.924910E-01,4.079044E-01,1.745578E-01
22.95048,40.63254,7.937034E-01,4.082558E-01,1.746113E-01
22.95090,40.63232,7.949504E-01,4.086174E-01,1.746661E-01
22.95131,40.63211,7.961621E-01,4.089684E-01,1.747193E-01
22.95173,40.63190,7.973955E-01,4.093256E-01,1.747734E-01
22.95214,40.63168,7.986166E-01,4.096791E-01,1.748266E-01
22.95256,40.63147,7.998434E-01,4.100342E-01,1.748803E-01
22.95297,40.63126,8.010427E-01,4.103812E-01,1.749327E-01
22.95339,40.63104,8.022724E-01,4.107418E-01,1.750035E-01
22.95384,40.63087,8.034928E-01,4.110958E-01,1.750578E-01
22.95429,40.63071,8.046912E-01,4.114440E-01,1.751115E-01
22.95474,40.63054,8.058928E-01,4.117934E-01,1.751654E-01
22.95519,40.63038,8.070704E-01,4.121364E-01,1.752185E-01
22.95562,40.63018,8.082460E-01,4.124787E-01,1.752708E-01
22.95603,40.62996,8.093929E-01,4.128124E-01,1.753215E-01
22.95644,40.62974,8.105272E-01,4.131461E-01,1.753787E-01
22.95685,40.62953,8.116345E-01,4.134699E-01,1.754305E-01
22.95726,40.62931,8.127391E-01,4.137924E-01,1.754799E-01
22.95768,40.62909,8.138466E-01,4.141165E-01,1.755299E-01
22.95809,40.62887,8.149174E-01,4.144301E-01,1.755783E-01
22.95849,40.62864,7.562447E-01,3.848528E-01,1.628678E-01
22.95884,40.62838,7.571214E-01,3.851100E-01,1.629069E-01
