lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.354022E-01,9.085942E-01,8.717160E-01,8.270180E-01,7.691791E-01,7.064993E-01,6.336669E-01,5.553166E-01,4.748035E-01,3.941623E-01,3.112468E-01,2.386214E-01,1.758319E-01,1.263720E-01,8.758285E-02,5.982414E-02,4.134595E-02,2.667934E-02,1.699680E-02,1.032200E-02,6.122317E-03,3.378045E-03,1.628627E-03,7.692738E-04,3.180420E-04,1.203058E-04,4.389554E-05,1.307300E-05,2.678029E-06,4.565699E-08
22.92652,40.64506,0.00000,9.353553E-01,9.085513E-01,8.716336E-01,8.269777E-01,7.691311E-01,7.064837E-01,6.336866E-01,5.553498E-01,4.748430E-01,3.942055E-01,3.112730E-01,2.386461E-01,1.758693E-01,1.263909E-01,8.759778E-02,5.983858E-02,4.135453E-02,2.668478E-02,1.700162E-02,1.032657E-02,6.126983E-03,3.379242E-03,1.629185E-03,7.721030E-04,3.181283E-04,1.210793E-04,4.426402E-05,1.321994E-05,2.726248E-06,5.877816E-08
22.92694,40.64484,0.00000,9.353644E-01,9.085612E-01,8.716507E-01,8.269956E-01,7.691588E-01,7.065138E-01,6.337053E-01,5.553862E-01,4.748807E-01,3.942446E-01,3.112994E-01,2.386719E-01,1.758959E-01,1.264099E-01,8.761275E-02,5.984773E-02,4.136026E-02,2.669024E-02,1.700618E-02,1.033135E-02,6.131779E-03,3.380480E-03,1.629765E-03,7.750356E-04,3.182193E-04,1.218802E-04,4.464627E-05,1.337254E-05,2.776496E-06,7.238938E-08
22.92735,40.64463,0.00000,9.353731E-01,9.085703E-01,8.716674E-01,8.270128E-01,7.691863E-01,7.065431E-01,6.337234E-01,5.554212E-01,4.749184E-01,3.942817E-01,3.113250E-01,2.386955E-01,1.759221E-01,1.264283E-01,8.762740E-02,5.985719E-02,4.136604E-02,2.669563E-02,1.701068E-02,1.033602E-02,6.136444E-03,3.381705E-03,1.630340E-03,7.779193E-04,3.183122E-04,1.226703E-04,4.502408E-05,1.352381E-05,2.826371E-06,8.584365E-08
22.92776,40.64441,0.00000,9.353810E-01,9.086345E-01,8.732887E-01,8.270205E-01,7.692057E-01,7.065580E-01,6.337422E-01,5.554401E-01,4.749386E-01,3.943051E-01,3.113513E-01,2.387204E-01,1.759458E-01,1.264471E-01,8.764230E-02,5.986603E-02,4.137161E-02,2.670101E-02,1.701517E-02,1.034084E-02,6.141325E-03,3.382941E-03,1.630916E-03,7.808607E-04,3.184057E-04,1.234731E-04,4.540823E-05,1.368596E-05,2.880987E-06,9.957317E-08
22.92818,40.64420,0.00000,9.353897E-01,9.086451E-01,8.733051E-01,8.270377E-01,7.692329E-01,7.065875E-01,6.344520E-01,5.554760E-01,4.749762E-01,3.943437E-01,3.122368E-01,2.389511E-01,1.760966E-01,1.266201E-01,8.773277E-02,5.987543E-02,4.137744E-02,2.675045E-02,1.701974E-02,1.034563E-02,6.146164E-03,3.384209E-03,1.631517E-03,7.838706E-04,3.185093E-04,1.243007E-04,4.580529E-05,1.385371E-05,2.939231E-06,1.137253E-07
22.92859,40.64398,0.00000,9.353984E-01,9.086552E-01,8.733184E-01,8.273103E-01,7.692575E-01,7.066110E-01,6.344775E-01,5.555029E-01,4.750063E-01,3.943745E-01,3.122632E-01,2.389761E-01,1.761193E-01,1.266391E-01,8.774775E-02,5.988457E-02,4.138297E-02,2.675509E-02,1.702429E-02,1.035053E-02,6.151167E-03,3.385870E-03,1.632315E-03,7.848492E-04,3.186082E-04,1.251233E-04,4.620016E-05,1.402079E-05,2.997204E-06,1.278561E-07
22.92900,40.64377,0.00000,9.354201E-01,9.086842E-01,8.733696E-01,8.273770E-01,7.693335E-01,7.067036E-01,6.345743E-01,5.555975E-01,4.750906E-01,3.944449E-01,3.122906E-01,2.390211E-01,1.761417E-01,1.266579E-01,8.776236E-02,5.989375E-02,4.138888E-02,2.675973E-02,1.702880E-02,1.035535E-02,6.156093E-03,3.387127E-03,1.632909E-03,7.851158E-04,3.187128E-04,1.259524E-04,4.659894E-05,1.418973E-05,3.057478E-06,1.421036E-07
22.92942,40.64355,0.00000,9.354292E-01,9.086949E-01,8.733864E-01,8.273987E-01,7.693616E-01,7.067339E-01,6.346081E-01,5.556338E-01,4.751287E-01,3.944833E-01,3.123182E-01,2.390518E-01,1.761649E-01,1.266770E-01,8.777759E-02,5.990305E-02,4.139467E-02,2.676441E-02,1.703349E-02,1.036038E-02,6.161270E-03,3.388418E-03,1.633523E-03,7.853918E-04,3.188214E-04,1.268133E-04,4.701348E-05,1.436560E-05,3.120247E-06,1.569379E-07
22.92983,40.64333,0.00000,9.354380E-01,9.087051E-01,8.733985E-01,8.274139E-01,7.693847E-01,7.067530E-01,6.346284E-01,5.556542E-01,4.751502E-01,3.945053E-01,3.123447E-01,2.390667E-01,1.761877E-01,1.266962E-01,8.779252E-02,5.991211E-02,4.139999E-02,2.676903E-02,1.703808E-02,1.036540E-02,6.166454E-03,3.389686E-03,1.634131E-03,7.856645E-04,3.189302E-04,1.276655E-04,4.742422E-05,1.454012E-05,3.183286E-06,1.716556E-07
