lon,lat,PGA
22.92611,40.64528,6.192942E-01
22.92652,40.64506,6.195359E-01
22.92694,40.64484,6.197848E-01
22.92735,40.64463,6.200284E-01
22.92776,40.64441,6.202739E-01
22.92818,40.64420,6.205262E-01
22.92859,40.64398,6.206393E-01
22.92900,40.64377,6.207077E-01
22.92942,40.64355,6.207786E-01
22.92983,40.64333,6.208494E-01
22.93024,40.64312,6.209235E-01
22.93066,40.64290,6.209998E-01
22.93107,40.64269,6.210766E-01
22.93148,40.64247,6.211536E-01
22.93189,40.64225,6.212329E-01
22.93231,40.64204,6.213176E-01
22.93272,40.64182,6.213991E-01
22.93313,40.64161,6.030484E-01
22.93355,40.64139,6.057464E-01
22.93396,40.64118,6.065544E-01
22.93438,40.64096,6.073994E-01
22.93479,40.64075,6.082370E-01
22.93520,40.64053,6.090943E-01
22.93562,40.64032,6.099809E-01
22.93603,40.64010,6.108695E-01
22.93644,40.63989,6.117685E-01
22.93686,40.63967,6.127082E-01
22.93727,40.63945,6.136448E-01
22.93768,40.63924,6.145918E-01
22.93810,40.63902,6.155818E-01
22.93851,40.63881,6.162701E-01
22.93892,40.63859,6.163831E-01
22.93934,40.63838,6.165726E-01
22.93975,40.63816,6.176397E-01
22.94016,40.63794,6.187271E-01
22.94058,40.63773,6.198444E-01
22.94099,40.63751,6.209735E-01
22.94140,40.63730,6.221115E-01
22.94182,40.63708,5.861605E-01
22.94223,40.63686,5.870765E-01
22.94263,40.63664,5.879917E-01
22.94303,40.63641,5.889333E-01
22.94345,40.63619,5.899201E-01
22.94386,40.63598,5.908964E-01
22.94427,40.63576,5.919010E-01
22.94468,40.63554,5.929201E-01
22.94509,40.63532,5.939615E-01
22.94550,40.63510,5.954103E-01
22.94592,40.63489,5.969174E-01
22.94633,40.63467,5.984142E-01
22.94674,40.63446,5.998279E-01
22.94716,40.63424,6.012834E-01
22.94757,40.63403,6.027001E-01
22.94799,40.63382,6.041449E-01
22.94840,40.63360,6.055168E-01
22.94882,40.63339,6.060457E-01
22.94923,40.63318,6.187674E-01
22.94965,40.63296,6.192271E-01
22.95007,40.63275,6.209562E-01
22.95048,40.63254,6.213854E-01
22.95090,40.63232,6.218182E-01
22.95131,40.63211,6.222350E-01
22.95173,40.63190,6.226557E-01
22.95214,40.63168,6.230609E-01
22.95256,40.63147,6.234702E-01
22.95297,40.63126,6.238039E-01
22.95339,40.63104,6.239820E-01
22.95384,40.63087,6.241900E-01
22.95429,40.63071,6.244012E-01
22.95474,40.63054,6.247138E-01
22.95519,40.63038,6.251444E-01
22.95562,40.63018,6.255533E-01
22.95603,40.62996,6.259389E-01
22.95644,40.62974,6.263169E-01
22.95685,40.62953,6.266827E-01
22.95726,40.62931,6.270505E-01
22.95768,40.62909,6.281761E-01
22.95809,40.62887,6.293935E-01
22.95849,40.62864,5.891001E-01
22.95884,40.62838,5.901026E-01
22.95915,40.62808,5.910670E-01
22.95940,40.62775,5.919430E-01
22.95965,40.62742,5.927953E-01
22.95990,40.62708,5.936359E-01
22.96015,40.62675,5.944411E-01
22.96040,40.62642,5.952222E-01
22.96065,40.62609,5.959268E-01
22.96090,40.62576,5.966069E-01
22.96115,40.62543,5.972629E-01
22.96140,40.62510,5.978930E-01
22.96165,40.62477,6.484671E-01
22.96188,40.62443,6.491357E-01
22.96207,40.62408,6.497071E-01
22.96220,40.62371,6.501510E-01
22.96228,40.62333,6.504737E-01
22.96235,40.62296,6.507334E-01
22.96242,40.62258,6.509539E-01
22.96250,40.62220,6.511469E-01
22.96257,40.62182,6.512783E-01
22.96264,40.62144,6.513643E-01
22.96271,40.62107,6.514072E-01
22.96279,40.62069,6.514113E-01
22.96286,40.62031,6.513523E-01
22.96293,40.61993,6.512470E-01
22.96300,40.61956,6.511027E-01
22.96307,40.61918,6.509056E-01
22.96313,40.61880,6.506464E-01
22.96306,40.61842,6.501396E-01
22.96293,40.61806,6.495190E-01
22.96274,40.61770,6.487643E-01
22.96249,40.61738,6.479265E-01
22.96214,40.61710,6.469454E-01
22.96177,40.61684,6.459253E-01
22.96141,40.61658,6.773838E-01
22.96104,40.61632,6.771908E-01
22.96068,40.61606,6.770035E-01
22.96031,40.61580,6.768172E-01
22.95994,40.61554,6.766363E-01
22.95958,40.61528,6.764610E-01
22.95921,40.61502,6.762820E-01
22.95885,40.61476,6.761093E-01
22.95848,40.61450,6.759323E-01
22.95812,40.61424,6.982433E-01
22.95775,40.61397,6.978561E-01
22.95741,40.61370,6.975009E-01
22.95725,40.61334,6.972746E-01
22.95721,40.61296,6.971402E-01
22.95724,40.61258,6.963350E-01
22.95726,40.61220,6.954526E-01
22.95729,40.61182,6.945648E-01
22.95732,40.61143,6.936262E-01
22.95735,40.61105,6.926888E-01
22.95738,40.61067,6.917285E-01
22.95741,40.61029,6.907460E-01
22.95744,40.60991,6.897427E-01
22.95747,40.60953,6.887194E-01
22.95750,40.60915,6.876779E-01
22.95753,40.60877,6.866192E-01
22.95756,40.60839,6.855438E-01
22.95759,40.60801,6.903448E-01
22.95762,40.60762,6.891868E-01
22.95765,40.60724,6.880459E-01
22.95768,40.60686,6.868924E-01
22.95774,40.60648,6.857765E-01
22.95783,40.60611,6.847291E-01
22.95793,40.60574,6.836846E-01
22.95804,40.60536,6.826099E-01
22.95814,40.60499,6.815400E-01
22.95825,40.60462,6.804937E-01
22.95835,40.60424,6.736556E-01
22.95846,40.60387,6.726148E-01
22.95856,40.60350,6.715333E-01
22.95867,40.60312,6.704056E-01
22.95877,40.60275,6.692627E-01
22.95879,40.60237,6.679171E-01
22.95870,40.60199,6.664313E-01
22.95861,40.60162,6.650006E-01
22.95851,40.60124,6.635411E-01
22.95842,40.60087,6.621502E-01
22.95832,40.60050,6.665643E-01
22.95815,40.60015,6.651439E-01
22.95785,40.59984,6.569208E-01
22.95747,40.59959,6.556497E-01
22.95721,40.59927,6.543280E-01
22.95716,40.59890,6.531290E-01
22.95731,40.59854,6.522126E-01
22.95766,40.59827,6.517993E-01
22.95811,40.59811,6.518191E-01
22.95852,40.59790,6.488068E-01
22.95887,40.59763,6.483657E-01
22.95921,40.59734,6.478424E-01
22.95954,40.59706,6.473289E-01
22.95983,40.59675,6.466782E-01
22.96002,40.59640,6.458108E-01
22.96022,40.59605,6.455669E-01
22.96038,40.59569,6.457824E-01
22.96051,40.59532,6.459875E-01
22.96064,40.59495,6.461937E-01
22.96077,40.59458,6.462867E-01
22.96090,40.59422,6.463588E-01
22.96106,40.59385,6.464490E-01
22.96135,40.59355,6.466095E-01
22.96174,40.59331,6.468245E-01
22.96213,40.59307,6.470405E-01
22.96256,40.59287,6.472780E-01
22.96301,40.59270,6.475255E-01
22.96350,40.59265,6.477899E-01
22.96399,40.59270,6.480495E-01
22.96449,40.59276,6.483123E-01
22.96498,40.59281,6.485671E-01
22.96548,40.59287,6.488238E-01
22.96598,40.59292,6.490777E-01
22.96647,40.59297,6.493236E-01
22.96697,40.59303,6.381114E-01
22.96746,40.59308,6.383610E-01
22.96796,40.59313,6.386120E-01
22.96845,40.59319,6.388556E-01
22.96895,40.59324,6.390993E-01
22.96945,40.59329,6.393392E-01
22.96995,40.59331,6.395724E-01
