sids,lon,lat,depth,vs30,xvf,vs30measured,geology,slope,region
0,22.92611,40.64528,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
1,22.92652,40.64506,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
2,22.92694,40.64484,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
3,22.92735,40.64463,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
4,22.92776,40.64441,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
5,22.92818,40.64420,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
6,22.92859,40.64398,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
7,22.92900,40.64377,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
8,22.92942,40.64355,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
9,22.92983,40.64333,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
10,22.93024,40.64312,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
11,22.93066,40.64290,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
12,22.93107,40.64269,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
13,22.93148,40.64247,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
14,22.93189,40.64225,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
15,22.93231,40.64204,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
16,22.93272,40.64182,0.00000,3.87833E+02,-1.50000E+02,0,UNKNOWN,2.37805E-02,2
17,22.93313,40.64161,0.00000,4.19278E+02,-1.50000E+02,0,UNKNOWN,1.59099E-02,2
18,22.93355,40.64139,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
19,22.93396,40.64118,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
20,22.93438,40.64096,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
21,22.93479,40.64075,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
22,22.93520,40.64053,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
23,22.93562,40.64032,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
24,22.93603,40.64010,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
25,22.93644,40.63989,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
26,22.93686,40.63967,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
27,22.93727,40.63945,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
28,22.93768,40.63924,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
29,22.93810,40.63902,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
30,22.93851,40.63881,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
31,22.93892,40.63859,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
32,22.93934,40.63838,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
33,22.93975,40.63816,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
34,22.94016,40.63794,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
35,22.94058,40.63773,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
36,22.94099,40.63751,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
37,22.94140,40.63730,0.00000,4.15199E+02,-1.50000E+02,0,UNKNOWN,2.99182E-02,2
38,22.94182,40.63708,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
39,22.94223,40.63686,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
40,22.94263,40.63664,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
41,22.94303,40.63641,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
42,22.94345,40.63619,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
43,22.94386,40.63598,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
44,22.94427,40.63576,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
45,22.94468,40.63554,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
46,22.94509,40.63532,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
47,22.94550,40.63510,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
48,22.94592,40.63489,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
49,22.94633,40.63467,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
50,22.94674,40.63446,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
51,22.94716,40.63424,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
52,22.94757,40.63403,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
53,22.94799,40.63382,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
54,22.94840,40.63360,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
55,22.94882,40.63339,0.00000,4.83245E+02,-1.50000E+02,0,UNKNOWN,4.98226E-02,2
56,22.94923,40.63318,0.00000,4.64213E+02,-1.50000E+02,0,UNKNOWN,2.62267E-02,2
57,22.94965,40.63296,0.00000,4.64213E+02,-1.50000E+02,0,UNKNOWN,2.62267E-02,2
58,22.95007,40.63275,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
59,22.95048,40.63254,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
60,22.95090,40.63232,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
61,22.95131,40.63211,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
62,22.95173,40.63190,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
63,22.95214,40.63168,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
64,22.95256,40.63147,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
65,22.95297,40.63126,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
66,22.95339,40.63104,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
67,22.95384,40.63087,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
68,22.95429,40.63071,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
69,22.95474,40.63054,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
70,22.95519,40.63038,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
71,22.95562,40.63018,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
