lon,lat,PGA
22.92611,40.64528,6.623096E-01
22.92652,40.64506,6.649438E-01
22.92694,40.64484,6.655796E-01
22.92735,40.64463,6.646073E-01
22.92776,40.64441,6.628967E-01
22.92818,40.64420,6.612808E-01
22.92859,40.64398,6.601311E-01
22.92900,40.64377,6.593082E-01
22.92942,40.64355,6.583691E-01
22.92983,40.64333,6.568958E-01
22.93024,40.64312,6.547899E-01
22.93066,40.64290,6.523399E-01
22.93107,40.64269,6.501404E-01
22.93148,40.64247,6.489087E-01
22.93189,40.64225,6.493276E-01
22.93231,40.64204,6.518994E-01
22.93272,40.64182,6.565108E-01
22.93313,40.64161,6.623561E-01
22.93355,40.64139,6.679459E-01
22.93396,40.64118,6.719339E-01
22.93438,40.64096,6.732542E-01
22.93479,40.64075,6.719221E-01
22.93520,40.64053,6.690742E-01
22.93562,40.64032,6.664975E-01
22.93603,40.64010,6.655622E-01
22.93644,40.63989,6.670421E-01
22.93686,40.63967,6.710079E-01
22.93727,40.63945,6.770153E-01
22.93768,40.63924,6.837924E-01
22.93810,40.63902,6.900327E-01
22.93851,40.63881,6.944301E-01
22.93892,40.63859,6.959410E-01
22.93934,40.63838,6.949344E-01
22.93975,40.63816,6.922675E-01
22.94016,40.63794,6.882554E-01
22.94058,40.63773,6.841919E-01
22.94099,40.63751,6.811296E-01
22.94140,40.63730,6.797562E-01
22.94182,40.63708,6.803863E-01
22.94223,40.63686,6.829644E-01
22.94263,40.63664,6.871448E-01
22.94303,40.63641,6.919622E-01
22.94345,40.63619,6.958111E-01
22.94386,40.63598,6.970793E-01
22.94427,40.63576,6.954824E-01
22.94468,40.63554,6.925816E-01
22.94509,40.63532,6.896950E-01
22.94550,40.63510,6.871632E-01
22.94592,40.63489,6.859264E-01
22.94633,40.63467,6.862473E-01
22.94674,40.63446,6.878440E-01
22.94716,40.63424,6.900413E-01
22.94757,40.63403,6.919231E-01
22.94799,40.63382,6.929532E-01
22.94840,40.63360,6.928741E-01
22.94882,40.63339,6.919312E-01
22.94923,40.63318,6.906021E-01
22.94965,40.63296,6.892544E-01
22.95007,40.63275,6.882800E-01
22.95048,40.63254,6.880165E-01
22.95090,40.63232,6.887479E-01
22.95131,40.63211,6.905038E-01
22.95173,40.63190,6.934049E-01
22.95214,40.63168,6.974041E-01
22.95256,40.63147,7.023743E-01
22.95297,40.63126,7.078894E-01
22.95339,40.63104,7.133319E-01
22.95384,40.63087,7.181805E-01
22.95429,40.63071,7.210374E-01
22.95474,40.63054,7.213191E-01
22.95519,40.63038,7.191523E-01
22.95562,40.63018,7.151964E-01
22.95603,40.62996,7.092292E-01
22.95644,40.62974,7.039769E-01
22.95685,40.62953,7.000081E-01
22.95726,40.62931,6.972657E-01
22.95768,40.62909,6.952627E-01
22.95809,40.62887,6.934283E-01
22.95849,40.62864,6.917372E-01
22.95884,40.62838,6.913702E-01
22.95915,40.62808,6.931444E-01
22.95940,40.62775,6.966527E-01
22.95965,40.62742,6.998169E-01
22.95990,40.62708,7.017924E-01
22.96015,40.62675,7.020847E-01
22.96040,40.62642,7.006172E-01
22.96065,40.62609,6.977248E-01
22.96090,40.62576,6.940138E-01
22.96115,40.62543,6.902236E-01
22.96140,40.62510,6.871073E-01
22.96165,40.62477,6.856796E-01
22.96188,40.62443,6.862439E-01
22.96207,40.62408,6.884621E-01
22.96220,40.62371,6.920216E-01
22.96228,40.62333,6.962667E-01
22.96235,40.62296,7.003253E-01
22.96242,40.62258,7.031723E-01
22.96250,40.62220,7.048768E-01
22.96257,40.62182,7.059335E-01
22.96264,40.62144,7.070525E-01
22.96271,40.62107,7.089106E-01
22.96279,40.62069,7.120089E-01
22.96286,40.62031,7.165462E-01
22.96293,40.61993,7.223603E-01
22.96300,40.61956,7.287830E-01
22.96307,40.61918,7.347515E-01
22.96313,40.61880,7.390150E-01
22.96306,40.61842,7.403784E-01
22.96293,40.61806,7.388003E-01
22.96274,40.61770,7.351136E-01
22.96249,40.61738,7.306049E-01
22.96214,40.61710,7.264694E-01
22.96177,40.61684,7.236482E-01
22.96141,40.61658,7.228233E-01
22.96104,40.61632,7.241666E-01
22.96068,40.61606,7.273760E-01
22.96031,40.61580,7.316234E-01
22.95994,40.61554,7.356983E-01
22.95958,40.61528,7.377303E-01
22.95921,40.61502,7.369810E-01
22.95885,40.61476,7.337537E-01
22.95848,40.61450,7.288685E-01
22.95812,40.61424,7.232485E-01
22.95775,40.61397,7.176296E-01
22.95741,40.61370,7.122076E-01
22.95725,40.61334,7.047059E-01
22.95721,40.61296,6.974196E-01
22.95724,40.61258,6.913733E-01
22.95726,40.61220,6.880340E-01
22.95729,40.61182,6.868864E-01
22.95732,40.61143,6.875865E-01
22.95735,40.61105,6.896634E-01
22.95738,40.61067,6.923271E-01
22.95741,40.61029,6.948893E-01
22.95744,40.60991,6.968985E-01
22.95747,40.60953,6.981744E-01
22.95750,40.60915,6.987746E-01
22.95753,40.60877,6.989453E-01
22.95756,40.60839,6.990864E-01
22.95759,40.60801,6.997048E-01
22.95762,40.60762,7.012551E-01
22.95765,40.60724,7.040591E-01
22.95768,40.60686,7.078897E-01
22.95774,40.60648,7.125878E-01
22.95783,40.60611,7.178339E-01
22.95793,40.60574,7.220582E-01
22.95804,40.60536,7.241344E-01
22.95814,40.60499,7.246374E-01
22.95825,40.60462,7.253551E-01
22.95835,40.60424,7.284560E-01
22.95846,40.60387,7.355419E-01
