lon,lat,PGA
22.92611,40.64528,4.452978E-01
22.92652,40.64506,4.471047E-01
22.92694,40.64484,4.477037E-01
22.92735,40.64463,4.473136E-01
22.92776,40.64441,4.464673E-01
22.92818,40.64420,4.456678E-01
22.92859,40.64398,4.451543E-01
22.92900,40.64377,4.448351E-01
22.92942,40.64355,4.444462E-01
22.92983,40.64333,4.437078E-01
22.93024,40.64312,4.425454E-01
22.93066,40.64290,4.411488E-01
22.93107,40.64269,4.398901E-01
22.93148,40.64247,4.392822E-01
22.93189,40.64225,4.397963E-01
22.93231,40.64204,4.417179E-01
22.93272,40.64182,4.449717E-01
22.93313,40.64161,4.490254E-01
22.93355,40.64139,4.529247E-01
22.93396,40.64118,4.557558E-01
22.93438,40.64096,4.568550E-01
22.93479,40.64075,4.562575E-01
22.93520,40.64053,4.547152E-01
22.93562,40.64032,4.533015E-01
22.93603,40.64010,4.529627E-01
22.93644,40.63989,4.541973E-01
22.93686,40.63967,4.570006E-01
22.93727,40.63945,4.609250E-01
22.93768,40.63924,4.652929E-01
22.93810,40.63902,4.693221E-01
22.93851,40.63881,4.721928E-01
22.93892,40.63859,4.732906E-01
22.93934,40.63838,4.723689E-01
22.93975,40.63816,4.697140E-01
22.94016,40.63794,4.660806E-01
22.94058,40.63773,4.624023E-01
22.94099,40.63751,4.594743E-01
22.94140,40.63730,4.577877E-01
22.94182,40.63708,4.575442E-01
22.94223,40.63686,4.587284E-01
22.94263,40.63664,4.610735E-01
22.94303,40.63641,4.638586E-01
22.94345,40.63619,4.661169E-01
22.94386,40.63598,4.671581E-01
22.94427,40.63576,4.665643E-01
22.94468,40.63554,4.645152E-01
22.94509,40.63532,4.617486E-01
22.94550,40.63510,4.591993E-01
22.94592,40.63489,4.575889E-01
22.94633,40.63467,4.571621E-01
22.94674,40.63446,4.577311E-01
22.94716,40.63424,4.587614E-01
22.94757,40.63403,4.595874E-01
22.94799,40.63382,4.597600E-01
22.94840,40.63360,4.590838E-01
22.94882,40.63339,4.576661E-01
22.94923,40.63318,4.558024E-01
22.94965,40.63296,4.539069E-01
22.95007,40.63275,4.523341E-01
22.95048,40.63254,4.513588E-01
22.95090,40.63232,4.511684E-01
22.95131,40.63211,4.518250E-01
22.95173,40.63190,4.533835E-01
22.95214,40.63168,4.558182E-01
22.95256,40.63147,4.590133E-01
22.95297,40.63126,4.626444E-01
22.95339,40.63104,4.661875E-01
22.95384,40.63087,4.692520E-01
22.95429,40.63071,4.707562E-01
