lon,lat,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,8.382448E-01,4.452978E-01,1.961055E-01
22.92652,40.64506,8.420179E-01,4.471047E-01,1.968499E-01
22.92694,40.64484,8.435020E-01,4.477037E-01,1.970519E-01
22.92735,40.64463,8.430959E-01,4.473136E-01,1.968131E-01
22.92776,40.64441,8.418261E-01,4.464673E-01,1.963692E-01
22.92818,40.64420,8.406535E-01,4.456678E-01,1.959502E-01
22.92859,40.64398,8.400298E-01,4.451543E-01,1.956555E-01
22.92900,40.64377,8.397825E-01,4.448351E-01,1.954446E-01
22.92942,40.64355,8.394175E-01,4.444462E-01,1.951993E-01
22.92983,40.64333,8.383817E-01,4.437078E-01,1.947983E-01
22.93024,40.64312,8.365365E-01,4.425454E-01,1.942091E-01
22.93066,40.64290,8.342573E-01,4.411488E-01,1.935125E-01
22.93107,40.64269,8.322339E-01,4.398901E-01,1.928790E-01
22.93148,40.64247,8.314638E-01,4.392822E-01,1.925329E-01
22.93189,40.64225,8.328478E-01,4.397963E-01,1.926851E-01
22.93231,40.64204,8.369423E-01,4.417179E-01,1.934600E-01
22.93272,40.64182,8.436007E-01,4.449717E-01,1.948242E-01
22.93313,40.64161,8.518109E-01,4.490254E-01,1.965408E-01
22.93355,40.64139,8.597553E-01,4.529247E-01,1.981832E-01
22.93396,40.64118,8.656462E-01,4.557558E-01,1.993513E-01
22.93438,40.64096,8.682271E-01,4.568550E-01,1.997481E-01
22.93479,40.64075,8.675345E-01,4.562575E-01,1.993955E-01
22.93520,40.64053,8.650302E-01,4.547152E-01,1.986232E-01
22.93562,40.64032,8.627813E-01,4.533015E-01,1.979070E-01
22.93603,40.64010,8.626039E-01,4.529627E-01,1.976651E-01
22.93644,40.63989,8.654671E-01,4.541973E-01,1.981177E-01
22.93686,40.63967,8.713890E-01,4.570006E-01,1.992574E-01
22.93727,40.63945,8.794851E-01,4.609250E-01,2.008898E-01
22.93768,40.63924,8.884528E-01,4.652929E-01,2.026547E-01
22.93810,40.63902,8.968003E-01,4.693221E-01,2.042290E-01
22.93851,40.63881,9.029067E-01,4.721928E-01,2.053223E-01
22.93892,40.63859,9.054332E-01,4.732906E-01,2.056784E-01
22.93934,40.63838,9.042922E-01,4.723689E-01,2.051959E-01
22.93975,40.63816,8.997346E-01,4.697140E-01,2.039951E-01
22.94016,40.63794,8.932147E-01,4.660806E-01,2.023887E-01
22.94058,40.63773,8.866121E-01,4.624023E-01,2.007119E-01
22.94099,40.63751,8.814639E-01,4.594743E-01,1.993215E-01
22.94140,40.63730,8.787271E-01,4.577877E-01,1.984764E-01
22.94182,40.63708,8.788224E-01,4.575442E-01,1.982594E-01
22.94223,40.63686,8.816980E-01,4.587284E-01,1.986678E-01
22.94263,40.63664,8.868453E-01,4.610735E-01,1.995839E-01
22.94303,40.63641,8.928720E-01,4.638586E-01,2.006888E-01
22.94345,40.63619,8.979010E-01,4.661169E-01,2.015588E-01
22.94386,40.63598,9.005359E-01,4.671581E-01,2.018860E-01
22.94427,40.63576,8.999715E-01,4.665643E-01,2.015249E-01
22.94468,40.63554,8.965483E-01,4.645152E-01,2.005163E-01
22.94509,40.63532,8.917085E-01,4.617486E-01,1.991958E-01
22.94550,40.63510,8.872909E-01,4.591993E-01,1.979710E-01
22.94592,40.63489,8.847216E-01,4.575889E-01,1.971551E-01
22.94633,40.63467,8.844784E-01,4.571621E-01,1.968544E-01
22.94674,40.63446,8.861940E-01,4.577311E-01,1.969873E-01
22.94716,40.63424,8.888415E-01,4.587614E-01,1.973162E-01
22.94757,40.63403,8.910722E-01,4.595874E-01,1.975590E-01
22.94799,40.63382,8.920252E-01,4.597600E-01,1.975165E-01
22.94840,40.63360,8.912938E-01,4.590838E-01,1.971072E-01
22.94882,40.63339,8.891017E-01,4.576661E-01,1.963772E-01
22.94923,40.63318,8.860103E-01,4.558024E-01,1.954578E-01
22.94965,40.63296,8.828673E-01,4.539069E-01,1.945224E-01
22.95007,40.63275,8.803515E-01,4.523341E-01,1.937292E-01
22.95048,40.63254,8.790047E-01,4.513588E-01,1.931968E-01
22.95090,40.63232,8.792295E-01,4.511684E-01,1.929998E-01
22.95131,40.63211,8.811206E-01,4.518250E-01,1.931709E-01
22.95173,40.63190,8.848187E-01,4.533835E-01,1.937278E-01
22.95214,40.63168,8.902616E-01,4.558182E-01,1.946613E-01
22.95256,40.63147,8.972333E-01,4.590133E-01,1.959200E-01
22.95297,40.63126,9.049698E-01,4.626444E-01,1.973667E-01
22.95339,40.63104,9.120816E-01,4.661875E-01,1.987874E-01
22.95384,40.63087,9.183246E-01,4.692520E-01,1.999860E-01
22.95429,40.63071,9.216713E-01,4.707562E-01,2.005171E-01
22.95474,40.63054,9.212586E-01,4.702345E-01,2.001803E-01
22.95519,40.63038,9.173120E-01,4.678203E-01,1.990372E-01
22.95562,40.63018,9.112554E-01,4.642729E-01,1.974116E-01
22.95603,40.62996,9.049053E-01,4.605780E-01,1.957276E-01
22.95644,40.62974,8.992055E-01,4.574213E-01,1.942828E-01
22.95685,40.62953,8.950825E-01,4.551088E-01,1.931986E-01
22.95726,40.62931,8.925294E-01,4.535803E-01,1.924478E-01
22.95768,40.62909,8.909148E-01,4.525207E-01,1.918979E-01
22.95809,40.62887,8.895081E-01,4.515759E-01,1.914008E-01
22.95849,40.62864,8.883965E-01,4.507854E-01,1.909728E-01
22.95884,40.62838,8.888884E-01,4.508086E-01,1.908972E-01
22.95915,40.62808,8.918611E-01,4.520717E-01,1.913526E-01
22.95940,40.62775,8.968078E-01,4.543319E-01,1.922393E-01
22.95965,40.62742,9.013456E-01,4.563913E-01,1.930422E-01
22.95990,40.62708,9.044207E-01,4.577597E-01,1.935527E-01
22.96015,40.62675,9.054533E-01,4.581351E-01,1.936445E-01
22.96040,40.62642,9.045370E-01,4.574745E-01,1.932997E-01
22.96065,40.62609,9.018975E-01,4.559689E-01,1.925995E-01
22.96090,40.62576,8.981804E-01,4.539746E-01,1.916952E-01
22.96115,40.62543,8.943403E-01,4.519261E-01,1.907712E-01
22.96140,40.62510,8.912678E-01,4.502639E-01,1.900141E-01
22.96165,40.62477,8.897203E-01,4.493623E-01,1.895823E-01
22.96188,40.62443,8.902348E-01,4.494914E-01,1.895919E-01
22.96207,40.62408,8.932981E-01,4.508966E-01,1.901493E-01
22.96220,40.62371,8.984361E-01,4.533481E-01,1.911596E-01
