lon,lat,PGA
22.92611,40.64528,3.887606E-01
22.92652,40.64506,3.902383E-01
22.92694,40.64484,3.906790E-01
22.92735,40.64463,3.902704E-01
22.92776,40.64441,3.894559E-01
22.92818,40.64420,3.886719E-01
22.92859,40.64398,3.881481E-01
22.92900,40.64377,3.877731E-01
22.92942,40.64355,3.873262E-01
22.92983,40.64333,3.865581E-01
22.93024,40.64312,3.853960E-01
22.93066,40.64290,3.839956E-01
22.93107,40.64269,3.827039E-01
22.93148,40.64247,3.819611E-01
22.93189,40.64225,3.822338E-01
22.93231,40.64204,3.838584E-01
22.93272,40.64182,3.867596E-01
22.93313,40.64161,3.904248E-01
22.93355,40.64139,3.939198E-01
22.93396,40.64118,3.963882E-01
22.93438,40.64096,3.971869E-01
22.93479,40.64075,3.963710E-01
22.93520,40.64053,3.946466E-01
22.93562,40.64032,3.930435E-01
22.93603,40.64010,3.924632E-01
22.93644,40.63989,3.933854E-01
22.93686,40.63967,3.957872E-01
22.93727,40.63945,3.992482E-01
22.93768,40.63924,4.031210E-01
22.93810,40.63902,4.066507E-01
22.93851,40.63881,4.090857E-01
22.93892,40.63859,4.098364E-01
22.93934,40.63838,4.086814E-01
22.93975,40.63816,4.058896E-01
22.94016,40.63794,4.021729E-01
22.94058,40.63773,3.984116E-01
22.94099,40.63751,3.953556E-01
22.94140,40.63730,3.934751E-01
22.94182,40.63708,3.929479E-01
22.94223,40.63686,3.937717E-01
22.94263,40.63664,3.956916E-01
22.94303,40.63641,3.980172E-01
22.94345,40.63619,3.998373E-01
22.94386,40.63598,4.005181E-01
22.94427,40.63576,3.996557E-01
22.94468,40.63554,3.974258E-01
22.94509,40.63532,3.945204E-01
22.94550,40.63510,3.918191E-01
22.94592,40.63489,3.900008E-01
22.94633,40.63467,3.892957E-01
22.94674,40.63446,3.895315E-01
22.94716,40.63424,3.901902E-01
22.94757,40.63403,3.906652E-01
22.94799,40.63382,3.905225E-01
22.94840,40.63360,3.895854E-01
22.94882,40.63339,3.882616E-01
22.94923,40.63318,3.871474E-01
22.94965,40.63296,3.860342E-01
22.95007,40.63275,3.851525E-01
22.95048,40.63254,3.846725E-01
22.95090,40.63232,3.847155E-01
22.95131,40.63211,3.853056E-01
22.95173,40.63190,3.864835E-01
22.95214,40.63168,3.882285E-01
22.95256,40.63147,3.904793E-01
22.95297,40.63126,3.930275E-01
22.95339,40.63104,3.955268E-01
22.95384,40.63087,3.977204E-01
22.95429,40.63071,3.988493E-01
22.95474,40.63054,3.985901E-01
22.95519,40.63038,3.970581E-01
22.95562,40.63018,3.949983E-01
22.95603,40.62996,3.929716E-01
22.95644,40.62974,3.912720E-01
22.95685,40.62953,3.900827E-01
22.95726,40.62931,3.889796E-01
22.95768,40.62909,3.879899E-01
22.95809,40.62887,3.870875E-01
22.95849,40.62864,3.863049E-01
22.95884,40.62838,3.861997E-01
22.95915,40.62808,3.871319E-01
22.95940,40.62775,3.889003E-01
22.95965,40.62742,3.905025E-01
22.95990,40.62708,3.915340E-01
22.96015,40.62675,3.917538E-01
22.96040,40.62642,3.911206E-01
22.96065,40.62609,3.897815E-01
22.96090,40.62576,3.879830E-01
22.96115,40.62543,3.860286E-01
22.96140,40.62510,3.844568E-01
22.96165,40.62477,3.836231E-01
22.96188,40.62443,3.836720E-01
22.96207,40.62408,3.848211E-01
22.96220,40.62371,3.868653E-01
22.96228,40.62333,3.892544E-01
22.96235,40.62296,3.913927E-01
22.96242,40.62258,3.929032E-01
22.96250,40.62220,3.937755E-01
22.96257,40.62182,3.943036E-01
22.96264,40.62144,3.948550E-01
22.96271,40.62107,3.957591E-01
22.96279,40.62069,3.972545E-01
22.96286,40.62031,3.994221E-01
22.96293,40.61993,4.021615E-01
22.96300,40.61956,4.045803E-01
22.96307,40.61918,4.066281E-01
22.96313,40.61880,4.080305E-01
22.96306,40.61842,4.082931E-01
22.96293,40.61806,4.074309E-01
22.96274,40.61770,4.057450E-01
22.96249,40.61738,4.037573E-01
22.96214,40.61710,4.018782E-01
22.96177,40.61684,4.004754E-01
22.96141,40.61658,3.997915E-01
22.96104,40.61632,3.998712E-01
22.96068,40.61606,4.006234E-01
22.96031,40.61580,4.017209E-01
22.95994,40.61554,4.027449E-01
22.95958,40.61528,4.034308E-01
22.95921,40.61502,4.031830E-01
22.95885,40.61476,4.018578E-01
22.95848,40.61450,3.997059E-01
22.95812,40.61424,3.971916E-01
22.95775,40.61397,3.946965E-01
22.95741,40.61370,3.922917E-01
22.95725,40.61334,3.888618E-01
22.95721,40.61296,3.856017E-01
22.95724,40.61258,3.830518E-01
22.95726,40.61220,3.814945E-01
22.95729,40.61182,3.809645E-01
22.95732,40.61143,3.813673E-01
22.95735,40.61105,3.824711E-01
22.95738,40.61067,3.838880E-01
22.95741,40.61029,3.852970E-01
22.95744,40.60991,3.864667E-01
22.95747,40.60953,3.872952E-01
22.95750,40.60915,3.878807E-01
22.95753,40.60877,3.888255E-01
22.95756,40.60839,3.897689E-01
22.95759,40.60801,3.910724E-01
22.95762,40.60762,3.930894E-01
22.95765,40.60724,3.960116E-01
22.95768,40.60686,3.997082E-01
22.95774,40.60648,4.040383E-01
22.95783,40.60611,4.082849E-01
22.95793,40.60574,4.116881E-01
22.95804,40.60536,4.136488E-01
22.95814,40.60499,4.145637E-01
22.95825,40.60462,4.156152E-01
22.95835,40.60424,4.182062E-01
22.95846,40.60387,4.232048E-01
22.95856,40.60350,4.302853E-01
22.95867,40.60312,4.378000E-01
22.95877,40.60275,4.433547E-01
22.95879,40.60237,4.435811E-01
22.95870,40.60199,4.395550E-01
22.95861,40.60162,4.333837E-01
22.95851,40.60124,4.271121E-01
22.95842,40.60087,4.230778E-01
22.95832,40.60050,4.218727E-01
22.95815,40.60015,4.217225E-01
22.95785,40.59984,4.204259E-01
22.95747,40.59959,4.185587E-01
22.95721,40.59927,4.175715E-01
22.95716,40.59890,4.159294E-01
22.95731,40.59854,4.135004E-01
22.95766,40.59827,4.124164E-01
22.95811,40.59811,4.137585E-01
22.95852,40.59790,4.146222E-01
22.95887,40.59763,4.149484E-01
22.95921,40.59734,4.153516E-01
22.95954,40.59706,4.156860E-01
22.95983,40.59675,4.156393E-01
22.96002,40.59640,4.151336E-01
22.96022,40.59605,4.132342E-01
22.96038,40.59569,4.102499E-01
22.96051,40.59532,4.067071E-01
22.96064,40.59495,4.033023E-01
22.96077,40.59458,4.008126E-01
22.96090,40.59422,3.995793E-01
22.96106,40.59385,3.993400E-01
22.96135,40.59355,3.995176E-01
22.96174,40.59331,4.001327E-01
22.96213,40.59307,4.010996E-01
22.96256,40.59287,4.021128E-01
22.96301,40.59270,4.027675E-01
22.96350,40.59265,4.030096E-01
22.96399,40.59270,4.025292E-01
22.96449,40.59276,4.009005E-01
22.96498,40.59281,3.984829E-01
22.96548,40.59287,3.958493E-01
22.96598,40.59292,3.934977E-01
22.96647,40.59297,3.917286E-01
22.96697,40.59303,3.906116E-01
22.96746,40.59308,3.900378E-01
22.96796,40.59313,3.898636E-01
22.96845,40.59319,3.899607E-01
22.96895,40.59324,3.902580E-01
22.96945,40.59329,3.907240E-01
22.96995,40.59331,3.913224E-01
