sids,lon,lat,depth,vs30,xvf,vs30measured
0,22.92611,40.64528,0.00000,3.21977E+02,-1.50000E+02,0
1,22.92652,40.64506,0.00000,3.18479E+02,-1.50000E+02,0
2,22.92694,40.64484,0.00000,3.17724E+02,-1.50000E+02,0
3,22.92735,40.64463,0.00000,3.19175E+02,-1.50000E+02,0
4,22.92776,40.64441,0.00000,3.21672E+02,-1.50000E+02,0
5,22.92818,40.64420,0.00000,3.24081E+02,-1.50000E+02,0
6,22.92859,40.64398,0.00000,3.25859E+02,-1.50000E+02,0
7,22.92900,40.64377,0.00000,3.27192E+02,-1.50000E+02,0
8,22.92942,40.64355,0.00000,3.28714E+02,-1.50000E+02,0
9,22.92983,40.64333,0.00000,3.31032E+02,-1.50000E+02,0
10,22.93024,40.64312,0.00000,3.34326E+02,-1.50000E+02,0
11,22.93066,40.64290,0.00000,3.38204E+02,-1.50000E+02,0
12,22.93107,40.64269,0.00000,3.41771E+02,-1.50000E+02,0
13,22.93148,40.64247,0.00000,3.43856E+02,-1.50000E+02,0
14,22.93189,40.64225,0.00000,3.43345E+02,-1.50000E+02,0
15,22.93231,40.64204,0.00000,3.39595E+02,-1.50000E+02,0
16,22.93272,40.64182,0.00000,3.32842E+02,-1.50000E+02,0
17,22.93313,40.64161,0.00000,3.24386E+02,-1.50000E+02,0
18,22.93355,40.64139,0.00000,3.16435E+02,-1.50000E+02,0
19,22.93396,40.64118,0.00000,3.10921E+02,-1.50000E+02,0
20,22.93438,40.64096,0.00000,3.09255E+02,-1.50000E+02,0
21,22.93479,40.64075,0.00000,3.11277E+02,-1.50000E+02,0
22,22.93520,40.64053,0.00000,3.15390E+02,-1.50000E+02,0
23,22.93562,40.64032,0.00000,3.19252E+02,-1.50000E+02,0
24,22.93603,40.64010,0.00000,3.20756E+02,-1.50000E+02,0
25,22.93644,40.63989,0.00000,3.18784E+02,-1.50000E+02,0
26,22.93686,40.63967,0.00000,3.13420E+02,-1.50000E+02,0
27,22.93727,40.63945,0.00000,3.05691E+02,-1.50000E+02,0
28,22.93768,40.63924,0.00000,2.97130E+02,-1.50000E+02,0
29,22.93810,40.63902,0.00000,2.89435E+02,-1.50000E+02,0
30,22.93851,40.63881,0.00000,2.84227E+02,-1.50000E+02,0
31,22.93892,40.63859,0.00000,2.82745E+02,-1.50000E+02,0
32,22.93934,40.63838,0.00000,2.85460E+02,-1.50000E+02,0
33,22.93975,40.63816,0.00000,2.91804E+02,-1.50000E+02,0
34,22.94016,40.63794,0.00000,3.00274E+02,-1.50000E+02,0
35,22.94058,40.63773,0.00000,3.08950E+02,-1.50000E+02,0
36,22.94099,40.63751,0.00000,3.16106E+02,-1.50000E+02,0
37,22.94140,40.63730,0.00000,3.20613E+02,-1.50000E+02,0
38,22.94182,40.63708,0.00000,3.22011E+02,-1.50000E+02,0
39,22.94223,40.63686,0.00000,3.20281E+02,-1.50000E+02,0
40,22.94263,40.63664,0.00000,3.16034E+02,-1.50000E+02,0
41,22.94303,40.63641,0.00000,3.10897E+02,-1.50000E+02,0
42,22.94345,40.63619,0.00000,3.06958E+02,-1.50000E+02,0
43,22.94386,40.63598,0.00000,3.05605E+02,-1.50000E+02,0
44,22.94427,40.63576,0.00000,3.07737E+02,-1.50000E+02,0
45,22.94468,40.63554,0.00000,3.12985E+02,-1.50000E+02,0
46,22.94509,40.63532,0.00000,3.19825E+02,-1.50000E+02,0
47,22.94550,40.63510,0.00000,3.26258E+02,-1.50000E+02,0
