lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.395438E-01,9.158353E-01,8.833988E-01,8.410296E-01,7.882087E-01,7.252797E-01,6.535505E-01,5.752428E-01,4.933516E-01,4.114104E-01,3.330294E-01,2.614000E-01,1.988717E-01,1.466832E-01,1.049467E-01,7.288887E-02,4.917753E-02,3.224370E-02,2.054411E-02,1.271218E-02,7.629460E-03,4.431598E-03,2.483828E-03,1.336952E-03,6.869203E-04,3.338865E-04,1.520348E-04,6.395151E-05,2.446547E-05,8.267500E-06
22.92652,40.64506,0.00000,9.397556E-01,9.161341E-01,8.838055E-01,8.415604E-01,7.888703E-01,7.260657E-01,6.544387E-01,5.761988E-01,4.943331E-01,4.123735E-01,3.339314E-01,2.622067E-01,1.995618E-01,1.472475E-01,1.053884E-01,7.322126E-02,4.941861E-02,3.241279E-02,2.065937E-02,1.278873E-02,7.679116E-03,4.463042E-03,2.503232E-03,1.348591E-03,6.936496E-04,3.376216E-04,1.539820E-04,6.490793E-05,2.489176E-05,8.439813E-06
22.92694,40.64484,0.00000,9.398128E-01,9.162143E-01,8.839124E-01,8.416967E-01,7.890360E-01,7.262580E-01,6.546533E-01,5.764284E-01,4.945685E-01,4.126048E-01,3.341486E-01,2.624018E-01,1.997289E-01,1.473845E-01,1.054959E-01,7.330216E-02,4.947754E-02,3.245444E-02,2.068828E-02,1.280858E-02,7.692642E-03,4.472177E-03,2.509314E-03,1.352552E-03,6.961398E-04,3.391167E-04,1.548194E-04,6.534920E-05,2.509883E-05,8.529419E-06
22.92735,40.64463,0.00000,9.397227E-01,9.160885E-01,8.837445E-01,8.414828E-01,7.887756E-01,7.259552E-01,6.543159E-01,5.760687E-01,4.942018E-01,4.122470E-01,3.338155E-01,2.621056E-01,1.994771E-01,1.471794E-01,1.053356E-01,7.318159E-02,4.939004E-02,3.239337E-02,2.064737E-02,1.278244E-02,7.676791E-03,4.463128E-03,2.504502E-03,1.350214E-03,6.951310E-04,3.387554E-04,1.547323E-04,6.535724E-05,2.512015E-05,8.547687E-06
22.92776,40.64441,0.00000,9.397765E-01,9.160811E-01,8.836610E-01,8.413110E-01,7.885091E-01,7.255946E-01,6.538703E-01,5.755565E-01,4.936489E-01,4.116836E-01,3.332730E-01,2.616107E-01,1.990482E-01,1.468250E-01,1.050557E-01,7.296944E-02,4.923537E-02,3.228481E-02,2.057408E-02,1.273493E-02,7.647301E-03,4.445660E-03,2.494667E-03,1.344982E-03,6.925244E-04,3.375494E-04,1.542243E-04,6.516940E-05,2.505750E-05,8.533776E-06
22.92818,40.64420,0.00000,9.404407E-01,9.167923E-01,8.844088E-01,8.420728E-01,7.892497E-01,7.262698E-01,6.544337E-01,5.759690E-01,4.938901E-01,4.117585E-01,3.332087E-01,2.614498E-01,1.988372E-01,1.466038E-01,1.048524E-01,7.279906E-02,4.910271E-02,3.218761E-02,2.050663E-02,1.269048E-02,7.619471E-03,4.429124E-03,2.485368E-03,1.340059E-03,6.900942E-04,3.364430E-04,1.537680E-04,6.500759E-05,2.500635E-05,8.524535E-06
22.92859,40.64398,0.00000,9.403709E-01,9.166916E-01,8.842723E-01,8.418980E-01,7.890363E-01,7.260195E-01,6.541505E-01,5.756595E-01,4.935640E-01,4.114275E-01,3.328870E-01,2.611518E-01,1.985738E-01,1.463817E-01,1.046736E-01,7.266113E-02,4.900062E-02,3.211521E-02,2.045749E-02,1.265869E-02,7.599949E-03,4.417810E-03,2.479217E-03,1.336960E-03,6.886757E-04,3.358758E-04,1.535781E-04,6.496990E-05,2.500780E-05,8.535363E-06
22.92900,40.64377,0.00000,9.402987E-01,9.165903E-01,8.841368E-01,8.417251E-01,7.888255E-01,7.257733E-01,6.538746E-01,5.753626E-01,4.932582E-01,4.111256E-01,3.326024E-01,2.608957E-01,1.983538E-01,1.462011E-01,1.045315E-01,7.255355E-02,4.892238E-02,3.206055E-02,2.042096E-02,1.263548E-02,7.586023E-03,4.410012E-03,2.475194E-03,1.335099E-03,6.879479E-04,3.356773E-04,1.535734E-04,6.501878E-05,2.504795E-05,8.560669E-06
22.92942,40.64355,0.00000,9.402049E-01,9.164593E-01,8.839618E-01,8.415019E-01,7.885537E-01,7.254571E-01,6.535223E-01,5.749870E-01,4.928752E-01,4.107524E-01,3.322551E-01,2.605872E-01,1.980919E-01,1.459880E-01,1.043651E-01,7.242850E-02,4.883181E-02,3.199743E-02,2.037879E-02,1.260862E-02,7.569830E-03,4.400856E-03,2.470388E-03,1.332809E-03,6.869943E-04,3.353662E-04,1.535163E-04,6.504485E-05,2.507926E-05,8.582707E-06
22.92983,40.64333,0.00000,9.400573E-01,9.162531E-01,8.836864E-01,8.411508E-01,7.881262E-01,7.249596E-01,6.529679E-01,5.743957E-01,4.922718E-01,4.101636E-01,3.317069E-01,2.600999E-01,1.976779E-01,1.456513E-01,1.041024E-01,7.223124E-02,4.868903E-02,3.189785E-02,2.031193E-02,1.256557E-02,7.543327E-03,4.385333E-03,2.461773E-03,1.328315E-03,6.848155E-04,3.344032E-04,1.531320E-04,6.491665E-05,2.504519E-05,8.578839E-06
