lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.776154E-01,9.749696E-01,9.706978E-01,9.636908E-01,9.523082E-01,9.343106E-01,9.070491E-01,8.680564E-01,8.158958E-01,7.507541E-01,6.744125E-01,5.898218E-01,5.006987E-01,4.111952E-01,3.256790E-01,2.483064E-01,1.822222E-01,1.289027E-01,8.811258E-02,5.834652E-02,3.749548E-02,2.340513E-02,1.417893E-02,8.319250E-03,4.711768E-03,2.565758E-03,1.335234E-03,6.587248E-04,3.029698E-04,1.281092E-04
22.92652,40.64506,0.00000,9.776424E-01,9.750089E-01,9.707581E-01,9.637849E-01,9.524549E-01,9.345353E-01,9.073821E-01,8.685272E-01,8.165241E-01,7.515404E-01,6.753348E-01,5.908363E-01,5.017527E-01,4.122320E-01,3.266475E-01,2.491588E-01,1.829312E-01,1.294601E-01,8.852967E-02,5.864423E-02,3.769951E-02,2.354178E-02,1.426866E-02,8.376984E-03,4.748243E-03,2.588130E-03,1.348522E-03,6.662890E-04,3.070651E-04,1.301308E-04
22.92694,40.64484,0.00000,9.776490E-01,9.750187E-01,9.707735E-01,9.638096E-01,9.524943E-01,9.345964E-01,9.074725E-01,8.686531E-01,8.166877E-01,7.517393E-01,6.755622E-01,5.910830E-01,5.020077E-01,4.124832E-01,3.268825E-01,2.493662E-01,1.831037E-01,1.295952E-01,8.862989E-02,5.871532E-02,3.774859E-02,2.357559E-02,1.429226E-02,8.393672E-03,4.759964E-03,2.596093E-03,1.353737E-03,6.695472E-04,3.089659E-04,1.311334E-04
22.92735,40.64463,0.00000,9.776384E-01,9.750026E-01,9.707479E-01,9.637684E-01,9.524289E-01,9.344956E-01,9.073244E-01,8.684487E-01,8.164242E-01,7.514215E-01,6.752012E-01,5.906946E-01,5.016086E-01,4.120930E-01,3.265204E-01,2.490489E-01,1.828408E-01,1.293888E-01,8.847529E-02,5.860457E-02,3.767286E-02,2.352640E-02,1.426235E-02,8.376855E-03,4.751375E-03,2.592203E-03,1.352290E-03,6.692175E-04,3.090231E-04,1.312698E-04
22.92776,40.64441,0.00000,9.776193E-01,9.749739E-01,9.707024E-01,9.636955E-01,9.523130E-01,9.343170E-01,9.070619E-01,8.680858E-01,8.159556E-01,7.508554E-01,6.745570E-01,5.899996E-01,5.008935E-01,4.113930E-01,3.258701E-01,2.484792E-01,1.823692E-01,1.290196E-01,8.819968E-02,5.840787E-02,3.753834E-02,2.343837E-02,1.420752E-02,8.344579E-03,4.733505E-03,2.582952E-03,1.347856E-03,6.672990E-04,3.082719E-04,1.310271E-04
22.92818,40.64420,0.00000,9.776012E-01,9.749465E-01,9.706589E-01,9.636255E-01,9.522018E-01,9.341455E-01,9.068099E-01,8.677378E-01,8.155069E-01,7.503143E-01,6.739419E-01,5.893373E-01,5.002131E-01,4.107275E-01,3.252522E-01,2.479376E-01,1.819204E-01,1.286678E-01,8.793662E-02,5.821988E-02,3.740967E-02,2.335409E-02,1.415507E-02,8.313778E-03,4.716521E-03,2.574226E-03,1.343719E-03,6.655434E-04,3.076085E-04,1.308275E-04
22.92859,40.64398,0.00000,9.775881E-01,9.749265E-01,9.706271E-01,9.635744E-01,9.521205E-01,9.340203E-01,9.066260E-01,8.674840E-01,8.151798E-01,7.499200E-01,6.734939E-01,5.888551E-01,4.997179E-01,4.102433E-01,3.248029E-01,2.475443E-01,1.815949E-01,1.284129E-01,8.774597E-02,5.808363E-02,3.731658E-02,2.329355E-02,1.411804E-02,8.292690E-03,4.705488E-03,2.569000E-03,1.341572E-03,6.648668E-04,3.075005E-04,1.308876E-04
22.92900,40.64377,0.00000,9.775830E-01,9.749169E-01,9.706095E-01,9.635440E-01,9.520701E-01,9.339411E-01,9.065091E-01,8.673235E-01,8.149754E-01,7.496775E-01,6.732226E-01,5.885655E-01,4.994195E-01,4.099462E-01,3.245195E-01,2.472880E-01,1.813757E-01,1.282359E-01,8.761048E-02,5.798519E-02,3.724876E-02,2.324958E-02,1.409158E-02,8.278204E-03,4.698423E-03,2.566087E-03,1.340727E-03,6.648854E-04,3.077498E-04,1.311159E-04
22.92942,40.64355,0.00000,9.775720E-01,9.748999E-01,9.705826E-01,9.635005E-01,9.520011E-01,9.338347E-01,9.063532E-01,8.671085E-01,8.146988E-01,7.493445E-01,6.728449E-01,5.881594E-01,4.990029E-01,4.095392E-01,3.241423E-01,2.469580E-01,1.811026E-01,1.280219E-01,8.745033E-02,5.787065E-02,3.717054E-02,2.319897E-02,1.406101E-02,8.261241E-03,4.689960E-03,2.562423E-03,1.339498E-03,6.647215E-04,3.079464E-04,1.313089E-04
22.92983,40.64333,0.00000,9.775546E-01,9.748736E-01,9.705406E-01,9.634330E-01,9.518936E-01,9.336691E-01,9.061101E-01,8.667731E-01,8.142669E-01,7.488241E-01,6.722537E-01,5.875230E-01,4.983497E-01,4.089000E-01,3.235492E-01,2.464385E-01,1.806727E-01,1.276851E-01,8.719885E-02,5.769122E-02,3.704804E-02,2.311906E-02,1.401163E-02,8.232586E-03,4.674442E-03,2.554651E-03,1.335958E-03,6.633141E-04,3.075078E-04,1.311970E-04
22.93024,40.64312,0.00000,9.775298E-01,9.748358E-01,9.704804E-01,9.633360E-01,9.517393E-01,9.334313E-01,9.057608E-01,8.662913E-01,8.136464E-01,7.480766E-01,6.714051E-01,5.866100E-01,4.974132E-01,4.079841E-01,3.227000E-01,2.456946E-01,1.800574E-01,1.272035E-01,8.683936E-02,5.743477E-02,3.687269E-02,2.300404E-02,1.393957E-02,8.189738E-03,4.650301E-03,2.541842E-03,1.329568E-03,6.603690E-04,3.062844E-04,1.307106E-04
22.93066,40.64290,0.00000,9.775006E-01,9.747912E-01,9.704093E-01,9.632213E-01,9.515567E-01,9.331498E-01,9.053476E-01,8.657218E-01,8.129134E-01,7.471941E-01,6.704038E-01,5.855331E-01,4.963087E-01,4.069044E-01,3.216992E-01,2.448183E-01,1.793331E-01,1.266367E-01,8.641667E-02,5.713345E-02,3.666672E-02,2.286880E-02,1.385469E-02,8.139023E-03,4.621496E-03,2.526374E-03,1.321730E-03,6.566593E-04,3.046783E-04,1.300465E-04
22.93107,40.64269,0.00000,9.774738E-01,9.747502E-01,9.703437E-01,9.631156E-01,9.513885E-01,9.328905E-01,9.049672E-01,8.651978E-01,8.122397E-01,7.463837E-01,6.694848E-01,5.845453E-01,4.952963E-01,4.059156E-01,3.207833E-01,2.440171E-01,1.786713E-01,1.261190E-01,8.603079E-02,5.685850E-02,3.647885E-02,2.274567E-02,1.377753E-02,8.093101E-03,4.595560E-03,2.512549E-03,1.314798E-03,6.534251E-04,3.033087E-04,1.294920E-04
22.93148,40.64247,0.00000,9.774595E-01,9.747278E-01,9.703074E-01,9.630563E-01,9.512938E-01,9.327443E-01,9.047529E-01,8.649031E-01,8.118618E-01,7.459306E-01,6.689727E-01,5.839965E-01,4.947345E-01,4.053665E-01,3.202738E-01,2.435700E-01,1.783006E-01,1.258279E-01,8.581259E-02,5.670247E-02,3.637221E-02,2.267639E-02,1.373510E-02,8.068954E-03,4.582883E-03,2.506508E-03,1.312282E-03,6.525872E-04,3.031711E-04,1.295243E-04
22.93189,40.64225,0.00000,9.774643E-01,9.747348E-01,9.703184E-01,9.630740E-01,9.513221E-01,9.327883E-01,9.048179E-01,8.649934E-01,8.119787E-01,7.460721E-01,6.691342E-01,5.841710E-01,4.949143E-01,4.055434E-01,3.204387E-01,2.437154E-01,1.784211E-01,1.259217E-01,8.588176E-02,5.675118E-02,3.640592E-02,2.270011E-02,1.375248E-02,8.082142E-03,4.592842E-03,2.513707E-03,1.317252E-03,6.557964E-04,3.051086E-04,1.305457E-04
22.93231,40.64204,0.00000,9.774939E-01,9.747798E-01,9.703900E-01,9.631896E-01,9.515063E-01,9.330727E-01,9.052360E-01,8.655706E-01,8.127226E-01,7.469687E-01,6.701528E-01,5.852681E-01,4.960406E-01,4.066459E-01,3.214621E-01,2.446127E-01,1.791629E-01,1.265014E-01,8.631247E-02,5.705711E-02,3.661558E-02,2.284032E-02,1.384477E-02,8.142008E-03,4.631091E-03,2.537479E-03,1.331593E-03,6.640860E-04,3.096603E-04,1.328169E-04
22.93272,40.64182,0.00000,9.775494E-01,9.748630E-01,9.705210E-01,9.633994E-01,9.518392E-01,9.335859E-01,9.059904E-01,8.666130E-01,8.140678E-01,7.485937E-01,6.720034E-01,5.872663E-01,4.980961E-01,4.086604E-01,3.233323E-01,2.462504E-01,1.805141E-01,1.275541E-01,8.709247E-02,5.760967E-02,3.699293E-02,2.309125E-02,1.400812E-02,8.246306E-03,4.696416E-03,2.577188E-03,1.354978E-03,6.772931E-04,3.167507E-04,1.363063E-04
22.93313,40.64161,0.00000,9.776164E-01,9.749638E-01,9.706806E-01,9.636557E-01,9.522471E-01,9.342160E-01,9.069178E-01,8.678958E-01,8.157247E-01,7.505952E-01,6.742815E-01,5.897236E-01,5.006230E-01,4.111363E-01,3.256351E-01,2.482706E-01,1.821875E-01,1.288638E-01,8.806800E-02,5.830393E-02,3.746882E-02,2.340810E-02,1.421417E-02,8.377372E-03,4.778053E-03,2.626513E-03,1.383842E-03,6.934977E-04,3.254116E-04,1.406442E-04
22.93355,40.64139,0.00000,9.776791E-01,9.750579E-01,9.708293E-01,9.638945E-01,9.526273E-01,9.348035E-01,9.077837E-01,8.690957E-01,8.172768E-01,7.524729E-01,6.764215E-01,5.920348E-01,5.030038E-01,4.134721E-01,3.278114E-01,2.501842E-01,1.837767E-01,1.301097E-01,8.899753E-02,5.896635E-02,3.792341E-02,2.371105E-02,1.441152E-02,8.503211E-03,4.856755E-03,2.674319E-03,1.411911E-03,7.093461E-04,3.339410E-04,1.449570E-04
