lon,lat,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,1.996347E+00,1.100662E+00,5.062932E-01
22.92652,40.64506,2.006195E+00,1.105476E+00,5.081614E-01
22.92694,40.64484,2.010659E+00,1.107312E+00,5.087069E-01
22.92735,40.64463,2.010627E+00,1.106695E+00,5.081720E-01
22.92776,40.64441,2.008613E+00,1.104972E+00,5.071370E-01
22.92818,40.64420,2.006806E+00,1.103354E+00,5.061476E-01
22.92859,40.64398,2.006354E+00,1.102465E+00,5.054711E-01
22.92900,40.64377,2.006779E+00,1.102058E+00,5.050074E-01
22.92942,40.64355,2.007043E+00,1.101502E+00,5.044629E-01
22.92983,40.64333,2.005742E+00,1.100087E+00,5.035372E-01
22.93024,40.64312,2.002499E+00,1.097607E+00,5.021468E-01
22.93066,40.64290,1.998288E+00,1.094572E+00,5.004961E-01
22.93107,40.64269,1.994653E+00,1.091867E+00,4.989975E-01
22.93148,40.64247,1.994066E+00,1.090807E+00,4.982086E-01
22.93189,40.64225,1.998637E+00,1.092550E+00,4.986429E-01
22.93231,40.64204,2.009679E+00,1.097803E+00,5.006076E-01
22.93272,40.64182,2.026927E+00,1.106415E+00,5.040253E-01
22.93313,40.64161,2.047891E+00,1.117026E+00,5.083109E-01
22.93355,40.64139,2.068362E+00,1.127293E+00,5.124184E-01
22.93396,40.64118,2.083934E+00,1.134887E+00,5.153601E-01
22.93438,40.64096,2.091674E+00,1.138188E+00,5.164096E-01
22.93479,40.64075,2.091520E+00,1.137237E+00,5.156138E-01
22.93520,40.64053,2.087071E+00,1.133949E+00,5.137881E-01
22.93562,40.64032,2.083218E+00,1.130973E+00,5.120978E-01
22.93603,40.64010,2.084422E+00,1.130716E+00,5.115784E-01
22.93644,40.63989,2.092955E+00,1.134401E+00,5.127681E-01
22.93686,40.63967,2.108997E+00,1.142071E+00,5.156563E-01
22.93727,40.63945,2.130393E+00,1.152581E+00,5.197626E-01
22.93768,40.63924,2.153944E+00,1.164214E+00,5.243442E-01
22.93810,40.63902,2.176175E+00,1.175044E+00,5.285480E-01
22.93851,40.63881,2.192951E+00,1.182952E+00,5.314925E-01
22.93892,40.63859,2.201466E+00,1.186425E+00,5.325122E-01
22.93934,40.63838,2.200409E+00,1.184796E+00,5.313370E-01
22.93975,40.63816,2.191131E+00,1.178811E+00,5.282863E-01
22.94016,40.63794,2.177171E+00,1.170350E+00,5.241742E-01
22.94058,40.63773,2.162958E+00,1.161765E+00,5.200080E-01
22.94099,40.63751,2.152333E+00,1.155091E+00,5.166564E-01
22.94140,40.63730,2.147601E+00,1.151541E+00,5.146493E-01
22.94182,40.63708,2.149938E+00,1.151679E+00,5.142010E-01
22.94223,40.63686,2.159148E+00,1.155440E+00,5.153025E-01
22.94263,40.63664,2.173985E+00,1.162156E+00,5.176639E-01
22.94303,40.63641,2.191122E+00,1.170029E+00,5.204978E-01
22.94345,40.63619,2.205837E+00,1.176581E+00,5.227498E-01
22.94386,40.63598,2.214584E+00,1.180020E+00,5.236866E-01
22.94427,40.63576,2.215491E+00,1.179326E+00,5.228518E-01
22.94468,40.63554,2.209303E+00,1.174921E+00,5.204414E-01
22.94509,40.63532,2.199578E+00,1.168693E+00,5.172526E-01
22.94550,40.63510,2.190890E+00,1.163023E+00,5.142986E-01
22.94592,40.63489,2.186779E+00,1.159733E+00,5.123563E-01
22.94633,40.63467,2.188513E+00,1.159483E+00,5.116982E-01
22.94674,40.63446,2.195106E+00,1.161765E+00,5.121171E-01
22.94716,40.63424,2.204148E+00,1.165265E+00,5.130281E-01
22.94757,40.63403,2.212090E+00,1.168220E+00,5.137223E-01
22.94799,40.63382,2.216872E+00,1.169519E+00,5.137049E-01
22.94840,40.63360,2.217458E+00,1.168659E+00,5.127735E-01
22.94882,40.63339,2.214310E+00,1.165884E+00,5.110372E-01
22.94923,40.63318,2.208867E+00,1.161957E+00,5.088242E-01
22.94965,40.63296,2.203447E+00,1.157976E+00,5.065715E-01
22.95007,40.63275,2.199530E+00,1.154794E+00,5.046685E-01
22.95048,40.63254,2.198517E+00,1.153133E+00,5.034158E-01
22.95090,40.63232,2.201557E+00,1.153521E+00,5.030061E-01
22.95131,40.63211,2.208735E+00,1.156058E+00,5.035155E-01
22.95173,40.63190,2.220548E+00,1.160933E+00,5.049933E-01
22.95214,40.63168,2.235506E+00,1.168087E+00,5.074178E-01
22.95256,40.63147,2.253828E+00,1.177206E+00,5.106574E-01
22.95297,40.63126,2.274181E+00,1.187452E+00,5.143712E-01
22.95339,40.63104,2.294283E+00,1.197497E+00,5.179780E-01
22.95384,40.63087,2.312045E+00,1.206244E+00,5.210644E-01
22.95429,40.63071,2.322497E+00,1.210930E+00,5.224711E-01
22.95474,40.63054,2.323542E+00,1.210381E+00,5.216988E-01
22.95519,40.63038,2.315601E+00,1.204888E+00,5.188941E-01
22.95562,40.63018,2.302440E+00,1.196507E+00,5.148812E-01
22.95603,40.62996,2.288523E+00,1.187742E+00,5.107177E-01
22.95644,40.62974,2.277026E+00,1.180344E+00,5.072510E-01
22.95685,40.62953,2.269358E+00,1.175106E+00,5.046123E-01
22.95726,40.62931,2.265374E+00,1.171915E+00,5.027846E-01
22.95768,40.62909,2.263567E+00,1.169935E+00,5.014617E-01
22.95809,40.62887,2.262187E+00,1.168228E+00,5.002690E-01
22.95849,40.62864,2.261483E+00,1.166919E+00,4.992548E-01
22.95884,40.62838,2.264567E+00,1.167744E+00,4.991298E-01
22.95915,40.62808,2.273577E+00,1.171847E+00,5.003533E-01
22.95940,40.62775,2.287246E+00,1.178561E+00,5.026716E-01
22.95965,40.62742,2.299930E+00,1.184739E+00,5.047757E-01
22.95990,40.62708,2.309325E+00,1.189108E+00,5.061388E-01
22.96015,40.62675,2.313843E+00,1.190842E+00,5.064372E-01
22.96040,40.62642,2.313308E+00,1.189833E+00,5.056260E-01
22.96065,40.62609,2.308614E+00,1.186571E+00,5.039095E-01
22.96090,40.62576,2.301457E+00,1.181989E+00,5.016702E-01
22.96115,40.62543,2.293943E+00,1.177233E+00,4.993761E-01
22.96140,40.62510,2.288191E+00,1.173465E+00,4.975019E-01
22.96165,40.62477,2.286009E+00,1.171668E+00,4.964494E-01
22.96188,40.62443,2.288662E+00,1.172568E+00,4.965158E-01
22.96207,40.62408,2.297288E+00,1.176804E+00,4.979709E-01
22.96220,40.62371,2.310771E+00,1.183774E+00,5.005752E-01
22.96228,40.62333,2.325861E+00,1.191677E+00,5.035960E-01
22.96235,40.62296,2.338945E+00,1.198519E+00,5.062107E-01
22.96242,40.62258,2.348462E+00,1.203440E+00,5.080576E-01
22.96250,40.62220,2.354579E+00,1.206532E+00,5.091746E-01
22.96257,40.62182,2.358614E+00,1.208530E+00,5.098732E-01
22.96264,40.62144,2.362633E+00,1.210554E+00,5.106012E-01
22.96271,40.62107,2.368586E+00,1.213668E+00,5.117888E-01
22.96279,40.62069,2.377981E+00,1.218686E+00,5.137553E-01
22.96286,40.62031,2.391326E+00,1.225511E+00,5.166315E-01
22.96293,40.61993,2.408200E+00,1.234087E+00,5.203103E-01
22.96300,40.61956,2.426767E+00,1.243537E+00,5.243838E-01
22.96307,40.61918,2.443888E+00,1.252262E+00,5.281630E-01
22.96313,40.61880,2.455800E+00,1.258385E+00,5.308441E-01
22.96306,40.61842,2.458402E+00,1.259953E+00,5.316564E-01
22.96293,40.61806,2.451942E+00,1.257010E+00,5.305736E-01
22.96274,40.61770,2.438877E+00,1.250798E+00,5.281341E-01
22.96249,40.61738,2.423207E+00,1.243313E+00,5.251785E-01
22.96214,40.61710,2.408289E+00,1.236299E+00,5.224746E-01
22.96177,40.61684,2.397099E+00,1.231212E+00,5.206139E-01
22.96141,40.61658,2.391600E+00,1.229038E+00,5.200182E-01
22.96104,40.61632,2.392133E+00,1.229977E+00,5.207903E-01
22.96068,40.61606,2.397905E+00,1.233605E+00,5.227365E-01
22.96031,40.61580,2.406441E+00,1.238688E+00,5.253353E-01
22.95994,40.61554,2.414312E+00,1.243463E+00,5.278180E-01
22.95958,40.61528,2.417806E+00,1.246017E+00,5.293490E-01
22.95921,40.61502,2.414058E+00,1.244912E+00,5.293133E-01
22.95885,40.61476,2.402709E+00,1.239926E+00,5.275958E-01
22.95848,40.61450,2.385453E+00,1.231934E+00,5.245860E-01
22.95812,40.61424,2.365579E+00,1.222578E+00,5.209792E-01
22.95775,40.61397,2.345700E+00,1.212802E+00,5.173978E-01
22.95741,40.61370,2.326493E+00,1.203190E+00,5.139245E-01
22.95725,40.61334,2.299936E+00,1.189371E+00,5.086594E-01
22.95721,40.61296,2.274166E+00,1.175816E+00,5.034281E-01
22.95724,40.61258,2.253866E+00,1.165150E+00,4.993418E-01
22.95726,40.61220,2.241283E+00,1.158764E+00,4.970398E-01
22.95729,40.61182,2.236752E+00,1.156845E+00,4.965839E-01
22.95732,40.61143,2.239028E+00,1.158742E+00,4.977272E-01
22.95735,40.61105,2.246153E+00,1.163328E+00,4.999882E-01
22.95738,40.61067,2.255337E+00,1.169084E+00,5.027513E-01
22.95741,40.61029,2.264160E+00,1.174670E+00,5.054597E-01
22.95744,40.60991,2.271009E+00,1.179193E+00,5.077410E-01
22.95747,40.60953,2.275243E+00,1.182290E+00,5.094461E-01
22.95750,40.60915,2.277059E+00,1.184068E+00,5.106227E-01
22.95753,40.60877,2.277327E+00,1.185009E+00,5.114592E-01
22.95756,40.60839,2.277466E+00,1.185899E+00,5.122866E-01
22.95759,40.60801,2.279282E+00,1.187743E+00,5.135234E-01
22.95762,40.60762,2.284391E+00,1.191469E+00,5.155690E-01
22.95765,40.60724,2.293983E+00,1.197699E+00,5.186573E-01
22.95768,40.60686,2.307259E+00,1.206027E+00,5.226290E-01
22.95774,40.60648,2.323678E+00,1.216114E+00,5.273244E-01
22.95783,40.60611,2.339845E+00,1.225644E+00,5.319261E-01
22.95793,40.60574,2.351738E+00,1.232715E+00,5.355483E-01
22.95804,40.60536,2.356246E+00,1.235954E+00,5.374878E-01
22.95814,40.60499,2.355578E+00,1.236477E+00,5.382218E-01
22.95825,40.60462,2.355533E+00,1.237334E+00,5.391072E-01
22.95835,40.60424,2.362749E+00,1.242063E+00,5.417528E-01
22.95846,40.60387,2.381869E+00,1.253044E+00,5.471761E-01
22.95856,40.60350,2.411023E+00,1.269339E+00,5.549904E-01
22.95867,40.60312,2.442040E+00,1.286649E+00,5.632786E-01
22.95877,40.60275,2.463474E+00,1.298894E+00,5.693107E-01
22.95879,40.60237,2.460764E+00,1.298594E+00,5.698176E-01
22.95870,40.60199,2.433143E+00,1.285317E+00,5.645800E-01
22.95861,40.60162,2.394529E+00,1.266172E+00,5.566693E-01
22.95851,40.60124,2.357412E+00,1.247793E+00,5.490834E-01
22.95842,40.60087,2.331556E+00,1.235264E+00,5.440873E-01
22.95832,40.60050,2.319318E+00,1.229936E+00,5.423344E-01
22.95815,40.60015,2.312593E+00,1.227539E+00,5.419008E-01
22.95785,40.59984,2.301512E+00,1.222817E+00,5.404058E-01
22.95747,40.59959,2.287817E+00,1.216364E+00,5.381607E-01
22.95721,40.59927,2.278287E+00,1.212148E+00,5.370036E-01
22.95716,40.59890,2.265341E+00,1.205894E+00,5.349547E-01
22.95731,40.59854,2.248821E+00,1.197347E+00,5.318161E-01
22.95766,40.59827,2.240924E+00,1.193280E+00,5.303553E-01
22.95811,40.59811,2.247250E+00,1.196985E+00,5.319962E-01
22.95852,40.59790,2.250385E+00,1.199059E+00,5.330467E-01
22.95887,40.59763,2.249828E+00,1.199264E+00,5.334288E-01
22.95921,40.59734,2.249413E+00,1.199638E+00,5.339253E-01
22.95954,40.59706,2.248695E+00,1.199832E+00,5.343390E-01
22.95983,40.59675,2.245483E+00,1.198728E+00,5.342656E-01
22.96002,40.59640,2.239149E+00,1.196030E+00,5.336109E-01
22.96022,40.59605,2.225264E+00,1.188964E+00,5.310810E-01
22.96038,40.59569,2.203729E+00,1.178506E+00,5.271185E-01
22.96051,40.59532,2.178716E+00,1.166371E+00,5.224472E-01
22.96064,40.59495,2.154748E+00,1.154750E+00,5.179818E-01
22.96077,40.59458,2.136140E+00,1.145933E+00,5.147118E-01
22.96090,40.59422,2.124776E+00,1.140911E+00,5.130518E-01
