#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.92611,40.64528,0.00000,9.225879E-01,8.840599E-01,8.308056E-01,7.649943E-01,6.871251E-01,5.990580E-01,5.041746E-01,4.073295E-01,3.111523E-01,2.250246E-01,1.560399E-01,1.043669E-01,6.641490E-02,4.156996E-02,2.524190E-02,1.470999E-02,8.191553E-03,4.331983E-03,2.047702E-03,8.756109E-04,3.340397E-04,1.098956E-04,2.999574E-05,6.219645E-06,7.513286E-07
22.92871,40.64392,0.00000,9.228373E-01,8.842548E-01,8.308330E-01,7.650526E-01,6.872432E-01,5.992300E-01,5.043859E-01,4.075611E-01,3.120139E-01,2.255308E-01,1.562060E-01,1.044817E-01,6.648298E-02,4.161514E-02,2.527325E-02,1.473829E-02,8.221150E-03,4.360330E-03,2.048222E-03,8.752681E-04,3.335314E-04,1.095323E-04,2.981470E-05,6.156554E-06,7.252473E-07
22.92912,40.64370,0.00000,9.228460E-01,8.842987E-01,8.308939E-01,7.651353E-01,6.873357E-01,5.993248E-01,5.044707E-01,4.076294E-01,3.120414E-01,2.255561E-01,1.562311E-01,1.044996E-01,6.649314E-02,4.162163E-02,2.527804E-02,1.474288E-02,8.226056E-03,4.365091E-03,2.048320E-03,8.752248E-04,3.334580E-04,1.094779E-04,2.978773E-05,6.147085E-06,7.211939E-07
22.92994,40.64328,0.00000,9.228622E-01,8.843271E-01,8.309327E-01,7.651765E-01,6.873841E-01,5.993795E-01,5.045300E-01,4.076913E-01,3.120951E-01,2.256046E-01,1.562763E-01,1.045298E-01,6.651200E-02,4.163485E-02,2.528758E-02,1.475201E-02,8.235757E-03,4.374552E-03,2.048529E-03,8.751490E-04,3.333207E-04,1.093750E-04,2.973641E-05,6.128998E-06,7.134145E-07
22.93339,40.64147,0.00000,9.228240E-01,8.835474E-01,8.299445E-01,7.643694E-01,6.864967E-01,5.984229E-01,5.035210E-01,4.066607E-01,3.109289E-01,2.246115E-01,1.555753E-01,1.039888E-01,6.612752E-02,4.136230E-02,2.511470E-02,1.465817E-02,8.198863E-03,4.330224E-03,2.023413E-03,8.624267E-04,3.273624E-04,1.069209E-04,2.888476E-05,5.897926E-06,6.525099E-07
22.93354,40.64140,0.00000,9.228275E-01,8.835528E-01,8.299516E-01,7.643780E-01,6.865069E-01,5.984355E-01,5.035344E-01,4.066743E-01,3.109379E-01,2.246199E-01,1.555838E-01,1.039947E-01,6.613117E-02,4.136471E-02,2.511647E-02,1.465986E-02,8.200711E-03,4.330412E-03,2.023466E-03,8.624277E-04,3.273462E-04,1.069083E-04,2.887916E-05,5.895822E-06,6.513155E-07
22.93442,40.64094,0.00000,9.228447E-01,8.835762E-01,8.299834E-01,7.643989E-01,6.865293E-01,5.984608E-01,5.035671E-01,4.067162E-01,3.109964E-01,2.246729E-01,1.556297E-01,1.040254E-01,6.615013E-02,4.137863E-02,2.512667E-02,1.467017E-02,8.212246E-03,4.331543E-03,2.023780E-03,8.624281E-04,3.272568E-04,1.068297E-04,2.884421E-05,5.882583E-06,6.445272E-07
22.94191,40.63703,0.00000,9.203988E-01,8.805985E-01,8.265872E-01,7.611070E-01,6.832129E-01,5.952244E-01,5.004897E-01,4.038706E-01,3.081085E-01,2.223149E-01,1.539842E-01,1.028182E-01,6.529730E-02,4.077612E-02,2.474591E-02,1.446822E-02,8.141101E-03,4.231985E-03,1.970062E-03,8.357065E-04,3.151209E-04,1.020151E-04,2.722692E-05,5.443122E-06,5.443213E-07
22.94198,40.63700,0.00000,9.204006E-01,8.806012E-01,8.265902E-01,7.611110E-01,6.832178E-01,5.952305E-01,5.004956E-01,4.038768E-01,3.081127E-01,2.223185E-01,1.539885E-01,1.028209E-01,6.529903E-02,4.077723E-02,2.474678E-02,1.446903E-02,8.142047E-03,4.232083E-03,1.970102E-03,8.357200E-04,3.151228E-04,1.020149E-04,2.722631E-05,5.442820E-06,5.440922E-07
22.94209,40.63694,0.00000,9.204038E-01,8.806057E-01,8.265964E-01,7.611182E-01,6.832263E-01,5.952401E-01,5.005055E-01,4.038873E-01,3.081202E-01,2.223255E-01,1.539949E-01,1.028250E-01,6.530159E-02,4.077890E-02,2.474806E-02,1.447040E-02,8.143667E-03,4.232251E-03,1.970164E-03,8.357388E-04,3.151230E-04,1.020126E-04,2.722454E-05,5.442078E-06,5.435530E-07
