#,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='quantile-0.5', investigation_time=1.0"
lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.92611,40.64528,6.576447E-01,3.718479E-01,1.673341E-01
22.92871,40.64392,6.573207E-01,3.718636E-01,1.676898E-01
22.92912,40.64370,6.572743E-01,3.718675E-01,1.677490E-01
22.92994,40.64328,6.571878E-01,3.718765E-01,1.678665E-01
22.93339,40.64147,6.529237E-01,3.698445E-01,1.674142E-01
22.93354,40.64140,6.529141E-01,3.698477E-01,1.674350E-01
22.93442,40.64094,6.528613E-01,3.698667E-01,1.675642E-01
22.94191,40.63703,6.440694E-01,3.655254E-01,1.667034E-01
22.94198,40.63700,6.440713E-01,3.655284E-01,1.667139E-01
22.94209,40.63694,6.440728E-01,3.655330E-01,1.667318E-01
22.94297,40.63645,6.440864E-01,3.655708E-01,1.668766E-01
22.94643,40.63462,6.442079E-01,3.657348E-01,1.674287E-01
22.95341,40.63103,6.485482E-01,3.681571E-01,1.692456E-01
22.95416,40.63076,6.486385E-01,3.682069E-01,1.693381E-01
22.95514,40.63040,6.487595E-01,3.682728E-01,1.694575E-01
22.95538,40.63030,6.487887E-01,3.682890E-01,1.694873E-01
22.95691,40.62950,6.489586E-01,3.683945E-01,1.696841E-01
22.95773,40.62906,6.490527E-01,3.684523E-01,1.697861E-01
22.95838,40.62872,6.260300E-01,3.562945E-01,1.647943E-01
22.95880,40.62842,6.260694E-01,3.563245E-01,1.648652E-01
22.95916,40.62807,6.260982E-01,3.563513E-01,1.649323E-01
22.96053,40.62625,6.290905E-01,3.564620E-01,1.651813E-01
22.96185,40.62450,6.762541E-01,3.817691E-01,1.759162E-01
22.96207,40.62409,6.767518E-01,3.817953E-01,1.759422E-01
22.96222,40.62366,6.771001E-01,3.818180E-01,1.759606E-01
22.96297,40.61971,6.771545E-01,3.820221E-01,1.759934E-01
22.96314,40.61883,6.766453E-01,3.820794E-01,1.760141E-01
22.96304,40.61829,6.759443E-01,3.821021E-01,1.760146E-01
22.96281,40.61779,6.750413E-01,3.821149E-01,1.759737E-01
22.96245,40.61732,6.740956E-01,3.821177E-01,1.759206E-01
22.96041,40.61587,7.052300E-01,3.986129E-01,1.832272E-01
22.95807,40.61420,6.575761E-01,3.735865E-01,1.716796E-01
22.95760,40.61386,6.575375E-01,3.735813E-01,1.716103E-01
22.95740,40.61369,6.575248E-01,3.735816E-01,1.715781E-01
22.95729,40.61348,6.575334E-01,3.735916E-01,1.715494E-01
22.95723,40.61327,6.575518E-01,3.736053E-01,1.715247E-01
22.95720,40.61304,6.575786E-01,3.736230E-01,1.715002E-01
22.95728,40.61198,6.577521E-01,3.737226E-01,1.713994E-01
22.95768,40.60673,6.605541E-01,3.751669E-01,1.711158E-01
22.95780,40.60620,6.607120E-01,3.752390E-01,1.710427E-01
22.95790,40.60583,6.608279E-01,3.752916E-01,1.709917E-01
22.95811,40.60509,6.610682E-01,3.753998E-01,1.708869E-01
22.95878,40.60274,7.509174E-01,4.262429E-01,1.934591E-01
22.95880,40.60252,7.509933E-01,4.262808E-01,1.933978E-01
22.95878,40.60230,7.510617E-01,4.263153E-01,1.933320E-01
22.95847,40.60108,7.514126E-01,4.264926E-01,1.929394E-01
22.95838,40.60071,7.515237E-01,4.265477E-01,1.928199E-01
22.95827,40.60027,6.625999E-01,3.760790E-01,1.700052E-01
22.95793,40.59990,7.397342E-01,4.194181E-01,1.893328E-01
22.95772,40.59974,7.397491E-01,4.194268E-01,1.892629E-01
22.95749,40.59961,7.397491E-01,4.194285E-01,1.891996E-01
22.95730,40.59943,7.397751E-01,4.194428E-01,1.891260E-01
22.95719,40.59923,7.398247E-01,4.194678E-01,1.890554E-01
22.95714,40.59900,7.398980E-01,4.195035E-01,1.889826E-01
22.95715,40.59892,7.399292E-01,4.195182E-01,1.889604E-01
22.95718,40.59878,7.399860E-01,4.195456E-01,1.889224E-01
22.95728,40.59857,7.400828E-01,4.195914E-01,1.888716E-01
22.95746,40.59839,7.401851E-01,4.196396E-01,1.888380E-01
22.95769,40.59824,7.402869E-01,4.196872E-01,1.888185E-01
22.95825,40.59807,7.404644E-01,4.197686E-01,1.888277E-01
22.95870,40.59778,7.389097E-01,4.188033E-01,1.883207E-01
22.95975,40.59688,7.394740E-01,4.190659E-01,1.881802E-01
22.96031,40.59589,7.399846E-01,4.193035E-01,1.879386E-01
22.96061,40.59502,7.403988E-01,4.194978E-01,1.877069E-01
22.96101,40.59393,7.409332E-01,4.197483E-01,1.874195E-01
22.96114,40.59374,7.410406E-01,4.197980E-01,1.873750E-01
22.96131,40.59357,7.411492E-01,4.198480E-01,1.873400E-01
22.96228,40.59298,7.416148E-01,4.200594E-01,1.872519E-01
22.96292,40.59272,7.418703E-01,4.201739E-01,1.872303E-01
22.96319,40.59266,7.419574E-01,4.202124E-01,1.872357E-01
22.96348,40.59265,7.420280E-01,4.202428E-01,1.872571E-01
22.96738,40.59307,7.188762E-01,4.061850E-01,1.814119E-01
22.96837,40.59318,7.190388E-01,4.062537E-01,1.815123E-01
22.96886,40.59323,7.191194E-01,4.062883E-01,1.815599E-01
22.96947,40.59330,7.192159E-01,4.063292E-01,1.816204E-01
22.96995,40.59331,7.193097E-01,4.063701E-01,1.816543E-01
22.92619,40.64536,6.576495E-01,3.718491E-01,1.673282E-01
22.92879,40.64401,6.573296E-01,3.718655E-01,1.676831E-01
22.92920,40.64379,6.572833E-01,3.718694E-01,1.677423E-01
22.93002,40.64337,6.571979E-01,3.718787E-01,1.678602E-01
22.93364,40.64148,6.529261E-01,3.698511E-01,1.674328E-01
22.93450,40.64103,6.528756E-01,3.698699E-01,1.675592E-01
22.93720,40.63962,6.527832E-01,3.699404E-01,1.679632E-01
22.94217,40.63703,6.440940E-01,3.655373E-01,1.667286E-01
22.94655,40.63474,6.442403E-01,3.657420E-01,1.674273E-01
22.95068,40.63259,6.483248E-01,3.679830E-01,1.689089E-01
22.95084,40.63251,6.483384E-01,3.679929E-01,1.689321E-01
22.95348,40.63113,6.485725E-01,3.681616E-01,1.692436E-01
22.95422,40.63085,6.486601E-01,3.682107E-01,1.693362E-01
22.95546,40.63040,6.488148E-01,3.682941E-01,1.694865E-01
22.95700,40.62958,6.489838E-01,3.684002E-01,1.696862E-01
22.95781,40.62915,6.490770E-01,3.684572E-01,1.697869E-01
22.95849,40.62879,6.260561E-01,3.563014E-01,1.647997E-01
22.95891,40.62849,6.260958E-01,3.563314E-01,1.648709E-01
22.95927,40.62815,6.261400E-01,3.563579E-01,1.649375E-01
22.96065,40.62631,6.292157E-01,3.564693E-01,1.651883E-01
22.96195,40.62458,6.763835E-01,3.817742E-01,1.759233E-01
22.96218,40.62417,6.769028E-01,3.818012E-01,1.759506E-01
22.96233,40.62374,6.772576E-01,3.818235E-01,1.759693E-01
22.96309,40.61972,6.773390E-01,3.820302E-01,1.760040E-01
22.96326,40.61884,6.768273E-01,3.820875E-01,1.760186E-01
22.96313,40.61823,6.760071E-01,3.821119E-01,1.760197E-01
22.96290,40.61772,6.750866E-01,3.821256E-01,1.759783E-01
22.96254,40.61725,6.741173E-01,3.821287E-01,1.759251E-01
22.96051,40.61579,7.052543E-01,3.986266E-01,1.832331E-01
22.95828,40.61422,6.576102E-01,3.735993E-01,1.716991E-01
22.95818,40.61415,6.576015E-01,3.735979E-01,1.716849E-01
22.95812,40.61408,6.575997E-01,3.735993E-01,1.716737E-01
22.95770,40.61379,6.575639E-01,3.735939E-01,1.716126E-01
22.95752,40.61366,6.575496E-01,3.735923E-01,1.715857E-01
22.95742,40.61349,6.575548E-01,3.735998E-01,1.715616E-01
22.95734,40.61328,6.575695E-01,3.736119E-01,1.715351E-01
22.95732,40.61305,6.575980E-01,3.736303E-01,1.715116E-01
22.95731,40.61260,6.576617E-01,3.736688E-01,1.714663E-01
22.95740,40.61199,6.577715E-01,3.737299E-01,1.714107E-01
22.95778,40.60661,6.606023E-01,3.751882E-01,1.711056E-01
22.95789,40.60621,6.607252E-01,3.752443E-01,1.710518E-01
22.95800,40.60584,6.608433E-01,3.752976E-01,1.710017E-01
22.95821,40.60511,6.610810E-01,3.754045E-01,1.708986E-01
22.95889,40.60270,7.509522E-01,4.262593E-01,1.934601E-01
22.95893,40.60249,7.510288E-01,4.262973E-01,1.934041E-01
22.95889,40.60226,7.510968E-01,4.263318E-01,1.933328E-01
22.95859,40.60107,7.514400E-01,4.265050E-01,1.929500E-01
22.95850,40.60070,7.515514E-01,4.265602E-01,1.928304E-01
22.95838,40.60025,7.516869E-01,4.266270E-01,1.926830E-01
22.95832,40.59984,7.398334E-01,4.194635E-01,1.893576E-01
22.95829,40.59957,7.399235E-01,4.195077E-01,1.892750E-01
22.95825,40.59939,7.399800E-01,4.195353E-01,1.892178E-01
22.95821,40.59916,7.400547E-01,4.195720E-01,1.891458E-01
22.95819,40.59906,7.400870E-01,4.195878E-01,1.891140E-01
22.95819,40.59887,7.401559E-01,4.196211E-01,1.890580E-01
22.95822,40.59873,7.402135E-01,4.196486E-01,1.890198E-01
22.95827,40.59856,7.402861E-01,4.196832E-01,1.889749E-01
22.95838,40.59836,7.386278E-01,4.186706E-01,1.884590E-01
22.95849,40.59815,7.387278E-01,4.187180E-01,1.884086E-01
22.95859,40.59801,7.388008E-01,4.187520E-01,1.883775E-01
22.95879,40.59784,7.389061E-01,4.188008E-01,1.883476E-01
22.95986,40.59690,7.394895E-01,4.190724E-01,1.881927E-01
22.96044,40.59592,7.400009E-01,4.193102E-01,1.879601E-01
22.96075,40.59506,7.404137E-01,4.195034E-01,1.877321E-01
22.96113,40.59399,7.409356E-01,4.197482E-01,1.874481E-01
22.96126,40.59380,7.410430E-01,4.197980E-01,1.874037E-01
22.96144,40.59364,7.411497E-01,4.198468E-01,1.873723E-01
22.96236,40.59307,7.415954E-01,4.200494E-01,1.872854E-01
22.96291,40.59285,7.418132E-01,4.201470E-01,1.872680E-01
22.96330,40.59276,7.419405E-01,4.202030E-01,1.872744E-01
22.96369,40.59274,7.420380E-01,4.202452E-01,1.873014E-01
22.96737,40.59314,7.188450E-01,4.061704E-01,1.814314E-01
22.96836,40.59325,7.190073E-01,4.062391E-01,1.815318E-01
22.96885,40.59330,7.190881E-01,4.062735E-01,1.815793E-01
22.96946,40.59337,7.191842E-01,4.063146E-01,1.816400E-01
22.96993,40.59342,7.192591E-01,4.063466E-01,1.816847E-01
