#,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473"
sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
0,22.92611,40.64528,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
1,22.92871,40.64392,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
2,22.92912,40.64370,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
3,22.92994,40.64328,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
4,22.93339,40.64147,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
5,22.93354,40.64140,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
6,22.93442,40.64094,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
7,22.94191,40.63703,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
8,22.94198,40.63700,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
9,22.94209,40.63694,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
10,22.94297,40.63645,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
11,22.94643,40.63462,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
12,22.95341,40.63103,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
13,22.95416,40.63076,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
14,22.95514,40.63040,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
15,22.95538,40.63030,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
16,22.95691,40.62950,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
17,22.95773,40.62906,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
18,22.95838,40.62872,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
19,22.95880,40.62842,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
20,22.95916,40.62807,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
21,22.96053,40.62625,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
22,22.96185,40.62450,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
23,22.96207,40.62409,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
24,22.96222,40.62366,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
25,22.96297,40.61971,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
26,22.96314,40.61883,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
27,22.96304,40.61829,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
28,22.96281,40.61779,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
29,22.96245,40.61732,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
30,22.96041,40.61587,0.00000,CENOZOIC,2,2.66517E-02,3.91938E+02,-1.50000E+02,0
31,22.95807,40.61420,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
32,22.95760,40.61386,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
33,22.95740,40.61369,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
34,22.95729,40.61348,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
35,22.95723,40.61327,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
36,22.95720,40.61304,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
37,22.95728,40.61198,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
38,22.95768,40.60673,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
39,22.95780,40.60620,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
40,22.95790,40.60583,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
41,22.95811,40.60509,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
42,22.95878,40.60274,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
43,22.95880,40.60252,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
44,22.95878,40.60230,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
45,22.95847,40.60108,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
46,22.95838,40.60071,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
47,22.95827,40.60027,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
48,22.95793,40.59990,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
49,22.95772,40.59974,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
50,22.95749,40.59961,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
51,22.95730,40.59943,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
52,22.95719,40.59923,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
53,22.95714,40.59900,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
54,22.95715,40.59892,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
55,22.95718,40.59878,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
56,22.95728,40.59857,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
57,22.95746,40.59839,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
58,22.95769,40.59824,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
59,22.95825,40.59807,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
60,22.95870,40.59778,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
61,22.95975,40.59688,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
62,22.96031,40.59589,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
63,22.96061,40.59502,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
64,22.96101,40.59393,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
65,22.96114,40.59374,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
66,22.96131,40.59357,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
67,22.96228,40.59298,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
68,22.96292,40.59272,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
69,22.96319,40.59266,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
70,22.96348,40.59265,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
71,22.96738,40.59307,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
72,22.96837,40.59318,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
73,22.96886,40.59323,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
74,22.96947,40.59330,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
75,22.96995,40.59331,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
76,22.92619,40.64536,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
77,22.92879,40.64401,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
78,22.92920,40.64379,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
79,22.93002,40.64337,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
80,22.93364,40.64148,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
81,22.93450,40.64103,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
82,22.93720,40.63962,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
